subject,file,N_target,frame,mode,base_n,fps_shape_p50_diff,fps_shape_p90_diff,fps_centroid_drift,fps_nn_mean,fps_nn_p95,fps_unique_ratio,fps_max_dup,wrs_shape_p50_diff,wrs_shape_p90_diff,wrs_centroid_drift,wrs_nn_mean,wrs_nn_p95,wrs_unique_ratio,wrs_max_dup
G,Jalan2.csv,48,1,up,43,0.0018156655132770538,0.005464234948158314,0.007967423647642136,0.0,0.0,0.8958333333333334,2,0.0018156655132770538,0.005464234948158314,0.007967423647642136,0.0,0.0,0.8958333333333334,2
G,Jalan2.csv,48,2,up,36,0.007645003497600555,0.10070824921131166,0.007678755093365908,0.0,0.0,0.75,3,0.007645003497600555,0.10070824921131166,0.007678755093365908,0.0,0.0,0.75,3
G,Jalan2.csv,48,3,down,53,0.016416601836681366,0.002880592644214558,0.005047011189162731,0.001133391674264105,0.012071142664000898,1.0,1,0.004737395793199539,0.002880592644214558,0.012297067791223526,0.00169509649696309,0.015360143991180072,1.0,1
G,Jalan2.csv,48,4,up,46,0.0,0.03271020650863643,0.02108803577721119,0.0,0.0,0.9583333333333334,2,0.0,0.03271020650863643,0.02108803577721119,0.0,0.0,0.9583333333333334,2
G,Jalan2.csv,48,5,down,58,0.003291003406047821,0.010838234424591114,0.015296636149287224,0.001812876071762436,0.01234745349412455,1.0,1,0.007101625204086304,0.01610764116048813,0.0028758703265339136,0.00435329929405226,0.02739561621739106,1.0,1
G,Jalan2.csv,48,6,up,38,0.0020928531885147095,0.022809267044067272,0.01930088922381401,0.0,0.0,0.7916666666666666,3,0.0020928531885147095,0.022809267044067272,0.01930088922381401,0.0,0.0,0.7916666666666666,3
G,Jalan2.csv,48,7,up,39,0.0,0.009817862510681119,0.002353584161028266,0.0,0.0,0.8125,2,0.0,0.009817862510681119,0.002353584161028266,0.0,0.0,0.8125,2
G,Jalan2.csv,48,8,equal,48,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1
G,Jalan2.csv,48,9,up,42,0.000738091766834259,0.00183024480938912,0.007972321473062038,0.0,0.0,0.875,2,0.000738091766834259,0.00183024480938912,0.007972321473062038,0.0,0.0,0.875,2
G,Jalan2.csv,48,10,up,16,0.0,0.028608739376068115,0.06697916984558105,0.0,0.0,0.3333333333333333,5,0.0,0.028608739376068115,0.06697916984558105,0.0,0.0,0.3333333333333333,5
G,Jalan2.csv,48,11,up,34,0.003085121512413025,0.013694706559181397,0.006808927748352289,0.0,0.0,0.7083333333333334,3,0.003085121512413025,0.013694706559181397,0.006808927748352289,0.0,0.0,0.7083333333333334,3
G,Jalan2.csv,48,12,up,11,0.18946760892868042,0.026100075244903875,0.07543443888425827,0.0,0.0,0.22916666666666666,7,0.18946760892868042,0.026100075244903875,0.07543443888425827,0.0,0.0,0.22916666666666666,7
G,Jalan2.csv,48,13,up,28,0.01734965294599533,0.015345335006713923,0.016525033861398697,0.0,0.0,0.5833333333333334,4,0.01734965294599533,0.015345335006713923,0.016525033861398697,0.0,0.0,0.5833333333333334,4
G,Jalan2.csv,48,14,up,26,0.009083334356546402,0.02628493309020996,0.028391290456056595,0.0,0.0,0.5416666666666666,4,0.009083334356546402,0.02628493309020996,0.028391290456056595,0.0,0.0,0.5416666666666666,4
G,Jalan2.csv,48,15,up,30,0.0026192758232355118,0.0026790440082549993,0.004441956058144569,0.0,0.0,0.625,4,0.0026192758232355118,0.0026790440082549993,0.004441956058144569,0.0,0.0,0.625,4
G,Jalan2.csv,48,16,up,47,0.0016389712691307068,0.0001457601785659346,0.009677974507212639,0.0,0.0,0.9791666666666666,2,0.0016389712691307068,0.0001457601785659346,0.009677974507212639,0.0,0.0,0.9791666666666666,2
G,Jalan2.csv,48,17,down,59,0.0006108619272708893,0.0017232254147529769,0.012473192997276783,0.0015831774396262812,0.008634046973847963,1.0,1,0.004381138831377029,0.004569397866725944,0.005203301552683115,0.0019257154142181241,0.00946778605179611,1.0,1
G,Jalan2.csv,48,18,down,53,0.0006507933139801025,0.0035750806331634466,0.008727498352527618,0.0007692017725150118,0.007948872682265176,1.0,1,0.0006507933139801025,0.001469537615776062,0.0029746622312813997,0.0008550086032338824,0.008730044339608101,1.0,1
G,Jalan2.csv,48,19,up,38,0.0008446946740150452,0.0005621634423732674,0.002390436362475157,0.0,0.0,0.7916666666666666,3,0.0008446946740150452,0.0005621634423732674,0.002390436362475157,0.0,0.0,0.7916666666666666,3
G,Jalan2.csv,48,20,down,67,0.009211547672748566,6.680339574813288e-05,0.020189763978123665,0.002673453925517715,0.00965844322480982,1.0,1,0.019525401294231415,0.002074232697486883,0.005691515281796455,0.003888439141354785,0.015866450473674198,1.0,1
G,Jalan2.csv,48,21,down,61,0.0007275864481925964,0.005733935534954077,0.019702235236763954,0.0020316211867867358,0.009777416372110877,1.0,1,0.003351893275976181,0.005733935534954077,0.004364991560578346,0.002987613984196198,0.010871697669961246,1.0,1
G,Jalan2.csv,48,22,up,30,0.03397735208272934,0.01603201031684892,0.03644073009490967,0.0,0.0,0.625,4,0.03397735208272934,0.01603201031684892,0.03644073009490967,0.0,0.0,0.625,4
G,Jalan2.csv,48,23,down,101,0.004542440176010132,0.0004218548536300548,0.018613409250974655,0.0062665279061194365,0.01955455635676649,1.0,1,0.008812367916107178,0.00014812946319581188,0.01523524522781372,0.013022383084846191,0.05038185247509769,1.0,1
G,Jalan2.csv,48,24,down,86,0.006802156567573547,0.00833636522293102,0.007987810298800468,0.005979826266242689,0.020473896237078903,1.0,1,0.012168817222118378,0.002322237193584431,0.016595205292105675,0.01175954999993117,0.04956148093187557,1.0,1
G,Jalan2.csv,48,25,down,96,0.0008515268564224243,0.007542753219604403,0.029186982661485672,0.006755589350901121,0.02239542675787502,1.0,1,0.03297536075115204,0.019619500637054532,0.11123363673686981,0.01918109924516509,0.06566839312102862,1.0,1
G,Jalan2.csv,48,26,down,74,0.005703970789909363,0.013103592395782682,0.010602973401546478,0.004171562107750187,0.012304988538560907,1.0,1,0.005703970789909363,0.013103592395782682,0.007721802219748497,0.006059283145170229,0.024560570324997318,1.0,1
G,Jalan2.csv,48,27,down,54,0.0005011782050132751,0.004509365558624273,0.011603089049458504,0.001326687710762144,0.011921089027168888,1.0,1,0.0017717927694320679,0.0031144022941589355,0.0017496747896075249,0.002942029346383455,0.013436145389217294,1.0,1
G,Jalan2.csv,48,28,down,77,0.005447350442409515,0.005566191673278764,0.0023952287156134844,0.0050384979501595754,0.013925053660758748,1.0,1,0.00036553293466567993,0.009493887424468994,0.016695894300937653,0.010050761355321762,0.06221431927036015,1.0,1
G,Jalan2.csv,48,29,down,102,0.00301920622587204,0.002294042706489585,0.033044103533029556,0.008172815309295804,0.02564736139017279,1.0,1,0.0,0.006657585501670782,0.010688943788409233,0.013777495075167998,0.05089540861687229,1.0,1
G,Jalan2.csv,48,30,down,119,0.009904876351356506,0.038680425286292786,0.009514318779110909,0.012821783566270973,0.030866351095816945,1.0,1,0.014839686453342438,0.00347325801849363,0.026304585859179497,0.01876309380388158,0.06495478840257068,1.0,1
G,Jalan2.csv,48,31,down,98,0.0038841068744659424,0.009261539578437783,0.054704874753952026,0.009307240263890893,0.026715878510287307,1.0,1,0.019389331340789795,0.0032675147056578924,0.05413689464330673,0.017877300627838454,0.06344704337334016,1.0,1
G,Jalan2.csv,48,32,down,97,0.0007171332836151123,0.009402021765708923,0.0334826298058033,0.00987480954196669,0.031038343068379607,1.0,1,0.02873477339744568,0.005540728569030706,0.013454142957925797,0.01790243725146045,0.06600151380515287,1.0,1
G,Jalan2.csv,48,33,down,121,0.01563553512096405,0.05689355731010459,0.04477850720286369,0.01589628690477935,0.038409030362763955,1.0,1,0.009274259209632874,0.0034906506538391335,0.014319853857159615,0.023625762990978984,0.07021792113647243,1.0,1
G,Jalan2.csv,48,34,down,138,0.0053732991218566895,0.05945308208465583,0.07955373078584671,0.01649486066318561,0.039506809074292715,1.0,1,0.0233585387468338,0.0015417575836181863,0.03687421604990959,0.029466347407221892,0.07897592647063906,1.0,1
G,Jalan2.csv,48,35,down,104,0.007355481386184692,0.003433740139007657,0.031067440286278725,0.011073478271658978,0.032877834891816976,1.0,1,0.028052791953086853,0.0289258271455764,0.06714161485433578,0.016477902805967018,0.06521319387214827,1.0,1
G,Jalan2.csv,48,36,down,71,0.0035726018249988556,0.010619780421257025,0.026916390284895897,0.005268980154507385,0.016902883261086594,1.0,1,0.0010487399995326996,0.007400476932525657,0.003317840863019228,0.006899362047494823,0.02680060663179581,1.0,1
G,Jalan2.csv,48,37,down,120,0.0027038753032684326,0.007377693057060319,0.02593773789703846,0.013959910665322534,0.0364030424815801,1.0,1,0.000309675931930542,0.0016581952571868563,0.04222969338297844,0.021586140803643673,0.0710101987959327,1.0,1
G,Jalan2.csv,48,38,down,108,0.006178498268127441,0.01564460396766676,0.03724486753344536,0.01228594611327704,0.03618134460574294,1.0,1,0.007752358913421631,0.00020732283592228562,0.041708581149578094,0.020424061490535595,0.07228675039676016,1.0,1
G,Jalan2.csv,48,39,down,140,0.07714363932609558,0.027258574962615745,0.005411140155047178,0.022285582819338297,0.057961974024991855,1.0,1,0.0662255734205246,0.006870841979980558,0.04350201413035393,0.03133798802755025,0.1019310864685912,1.0,1
G,Jalan2.csv,48,40,down,84,0.005612947046756744,0.0006849557161330844,0.016075681895017624,0.00844451311651523,0.020148306332112398,1.0,1,0.04122597724199295,0.07260289490222926,0.025232097133994102,0.014391653311186739,0.06347692359077797,1.0,1
G,Jalan2.csv,48,41,up,42,0.007447466254234314,0.03137464821338698,0.022690970450639725,0.0,0.0,0.875,2,0.007447466254234314,0.03137464821338698,0.022690970450639725,0.0,0.0,0.875,2
G,Jalan2.csv,48,42,down,106,0.03460541367530823,0.012793403863906927,0.102124884724617,0.013127980234508832,0.03786048483733789,1.0,1,0.008036494255065918,0.0036972761154175915,0.11116670072078705,0.02179836391989648,0.07146051367316954,1.0,1
G,Jalan2.csv,48,43,down,56,0.005592256784439087,0.019666063785553023,0.09122574329376221,0.0028259576929920735,0.019719195083978035,1.0,1,0.0,0.019666063785553023,0.004400160629302263,0.0030722342174161815,0.021386119678117595,1.0,1
G,Jalan2.csv,48,44,down,118,0.011822938919067383,0.0032423794269561546,0.1042548194527626,0.016502787196963437,0.0439941664385338,1.0,1,0.00251615047454834,0.0012492954730987105,0.011404520832002163,0.026928591063440453,0.09003036972865817,1.0,1
G,Jalan2.csv,48,45,down,127,0.007279574871063232,0.07310983538627658,0.0581417940557003,0.018918060389827213,0.0464342820536954,1.0,1,0.0026408880949020386,0.051428121328353615,0.08294716477394104,0.0354937547514569,0.13076704605046824,1.0,1
G,Jalan2.csv,48,46,down,133,0.02269643545150757,0.0059036135673522505,0.07747524231672287,0.021911392525297405,0.06049246005981553,1.0,1,0.01743265986442566,0.011000299453735485,0.0791197419166565,0.029868143218853706,0.09832062782844406,1.0,1
G,Jalan2.csv,48,47,down,106,0.26617494225502014,0.274360764026643,0.036363981664180756,0.015691312623654433,0.045385519552020546,1.0,1,0.19861647486686707,0.274360764026643,0.18717007339000702,0.020888110222509564,0.07197694270736466,1.0,1
G,Jalan2.csv,48,48,down,80,0.008987002074718475,0.008088102936744779,0.023377586156129837,0.009628216324661737,0.02426116932895793,1.0,1,0.0,0.02953389286994934,0.03164141997694969,0.014550193289479568,0.06343272155348788,1.0,1
