subject,file,N_target,frame,mode,base_n,fps_shape_p50_diff,fps_shape_p90_diff,fps_centroid_drift,fps_nn_mean,fps_nn_p95,fps_unique_ratio,fps_max_dup,wrs_shape_p50_diff,wrs_shape_p90_diff,wrs_centroid_drift,wrs_nn_mean,wrs_nn_p95,wrs_unique_ratio,wrs_max_dup
C,Jalan63.csv,56,4,up,5,0.010364711284637451,0.004944777488708474,0.04265892878174782,0.0,0.0,0.08928571428571429,15,0.010364711284637451,0.004944777488708474,0.04265892878174782,0.0,0.0,0.08928571428571429,15
C,Jalan63.csv,56,11,up,5,0.0,0.005179637670516962,0.029091956093907356,0.0,0.0,0.08928571428571429,15,0.0,0.005179637670516962,0.029091956093907356,0.0,0.0,0.08928571428571429,15
C,Jalan63.csv,56,13,up,19,0.002115964889526367,0.03867519497871397,0.017121531069278717,0.0,0.0,0.3392857142857143,5,0.002115964889526367,0.03867519497871397,0.017121531069278717,0.0,0.0,0.3392857142857143,5
C,Jalan63.csv,56,17,up,12,0.004228007048368454,0.0008600085973739513,0.0020380967762321234,0.0,0.0,0.21428571428571427,8,0.004228007048368454,0.0008600085973739513,0.0020380967762321234,0.0,0.0,0.21428571428571427,8
C,Jalan63.csv,56,18,up,24,0.024148326367139816,0.003847235441207908,0.018731368705630302,0.0,0.0,0.42857142857142855,6,0.024148326367139816,0.003847235441207908,0.018731368705630302,0.0,0.0,0.42857142857142855,6
C,Jalan63.csv,56,19,up,32,0.007006458938121796,0.0005313038825988936,0.008988967165350914,0.0,0.0,0.5714285714285714,3,0.007006458938121796,0.0005313038825988936,0.008988967165350914,0.0,0.0,0.5714285714285714,3
C,Jalan63.csv,56,21,up,21,0.0,0.0,0.006926811300218105,0.0,0.0,0.375,5,0.0,0.0,0.006926811300218105,0.0,0.0,0.375,5
C,Jalan63.csv,56,22,up,30,0.0,0.0012312680482864657,0.008139722980558872,0.0,0.0,0.5357142857142857,6,0.0,0.0012312680482864657,0.008139722980558872,0.0,0.0,0.5357142857142857,6
C,Jalan63.csv,56,23,up,19,0.017175257205963135,0.06536172628402714,0.011344857513904572,0.0,0.0,0.3392857142857143,8,0.017175257205963135,0.06536172628402714,0.011344857513904572,0.0,0.0,0.3392857142857143,8
C,Jalan63.csv,56,24,up,7,0.0,0.04128320217132564,0.007593609858304262,0.0,0.0,0.125,10,0.0,0.04128320217132564,0.007593609858304262,0.0,0.0,0.125,10
C,Jalan63.csv,56,25,up,16,0.0,0.11379772424697876,0.021553322672843933,0.0,0.0,0.2857142857142857,6,0.0,0.11379772424697876,0.021553322672843933,0.0,0.0,0.2857142857142857,6
C,Jalan63.csv,56,26,up,19,0.0,0.22040581703186057,0.029446300119161606,0.0,0.0,0.3392857142857143,8,0.0,0.22040581703186057,0.029446300119161606,0.0,0.0,0.3392857142857143,8
C,Jalan63.csv,56,27,up,37,0.0027256086468696594,3.481060266494196e-05,0.012744084000587463,0.0,0.0,0.6607142857142857,3,0.0027256086468696594,3.481060266494196e-05,0.012744084000587463,0.0,0.0,0.6607142857142857,3
C,Jalan63.csv,56,28,up,10,0.010671436786651611,0.01459244489669792,0.010717340745031834,0.0,0.0,0.17857142857142858,10,0.010671436786651611,0.01459244489669792,0.010717340745031834,0.0,0.0,0.17857142857142858,10
C,Jalan63.csv,56,30,up,6,0.0,0.02381710708141327,0.012595055624842644,0.0,0.0,0.10714285714285714,12,0.0,0.02381710708141327,0.012595055624842644,0.0,0.0,0.10714285714285714,12
C,Jalan63.csv,56,31,up,9,0.0,0.007676905393600469,0.006458701565861702,0.0,0.0,0.16071428571428573,10,0.0,0.007676905393600469,0.006458701565861702,0.0,0.0,0.16071428571428573,10
C,Jalan63.csv,56,32,up,26,0.0,0.11845807731151581,0.038098644465208054,0.0,0.0,0.4642857142857143,4,0.0,0.11845807731151581,0.038098644465208054,0.0,0.0,0.4642857142857143,4
C,Jalan63.csv,56,33,up,9,0.0,0.0417474508285523,0.005107376724481583,0.0,0.0,0.16071428571428573,9,0.0,0.0417474508285523,0.005107376724481583,0.0,0.0,0.16071428571428573,9
C,Jalan63.csv,56,34,up,13,0.0,0.039687061309814475,0.0032436291221529245,0.0,0.0,0.23214285714285715,7,0.0,0.039687061309814475,0.0032436291221529245,0.0,0.0,0.23214285714285715,7
C,Jalan63.csv,56,35,up,19,0.0033777952194213867,0.014056700468063288,0.018091322854161263,0.0,0.0,0.3392857142857143,6,0.0033777952194213867,0.014056700468063288,0.018091322854161263,0.0,0.0,0.3392857142857143,6
C,Jalan63.csv,56,36,up,19,0.0,0.04794048219919195,0.03754076734185219,0.0,0.0,0.3392857142857143,6,0.0,0.04794048219919195,0.03754076734185219,0.0,0.0,0.3392857142857143,6
C,Jalan63.csv,56,37,up,37,0.016341205686330795,0.01695790290832519,0.012599246576428413,0.0,0.0,0.6607142857142857,3,0.016341205686330795,0.01695790290832519,0.012599246576428413,0.0,0.0,0.6607142857142857,3
C,Jalan63.csv,56,38,up,8,0.017528578639030457,0.01016893982887268,0.009426520206034184,0.0,0.0,0.14285714285714285,10,0.017528578639030457,0.01016893982887268,0.009426520206034184,0.0,0.0,0.14285714285714285,10
C,Jalan63.csv,56,39,up,16,0.015615895390510559,0.002102196216583252,0.00826011411845684,0.0,0.0,0.2857142857142857,6,0.015615895390510559,0.002102196216583252,0.00826011411845684,0.0,0.0,0.2857142857142857,6
C,Jalan63.csv,56,40,up,18,0.00473804771900177,0.10827387422323231,0.034760504961013794,0.0,0.0,0.32142857142857145,5,0.00473804771900177,0.10827387422323231,0.034760504961013794,0.0,0.0,0.32142857142857145,5
