subject,file,N_target,frame,mode,base_n,fps_shape_p50_diff,fps_shape_p90_diff,fps_centroid_drift,fps_nn_mean,fps_nn_p95,fps_unique_ratio,fps_max_dup,wrs_shape_p50_diff,wrs_shape_p90_diff,wrs_centroid_drift,wrs_nn_mean,wrs_nn_p95,wrs_unique_ratio,wrs_max_dup
F,Jalan30.csv,56,3,up,5,0.0,0.010612443089485168,0.0016689086332917213,0.0,0.0,0.08928571428571429,15,0.0,0.010612443089485168,0.0016689086332917213,0.0,0.0,0.08928571428571429,15
F,Jalan30.csv,56,7,up,14,0.011764615774154663,0.019153350591659568,0.012585251592099667,0.0,0.0,0.25,8,0.011764615774154663,0.019153350591659568,0.012585251592099667,0.0,0.0,0.25,8
F,Jalan30.csv,56,8,up,22,0.0021305009722709656,0.008629763126373091,0.02154593914747238,0.0,0.0,0.39285714285714285,5,0.0021305009722709656,0.008629763126373091,0.02154593914747238,0.0,0.0,0.39285714285714285,5
F,Jalan30.csv,56,9,up,23,0.008648902177810669,0.004869818687438965,0.02274017222225666,0.0,0.0,0.4107142857142857,5,0.008648902177810669,0.004869818687438965,0.02274017222225666,0.0,0.0,0.4107142857142857,5
F,Jalan30.csv,56,11,up,7,0.0,0.060495507717132524,0.015124117024242878,0.0,0.0,0.125,11,0.0,0.060495507717132524,0.015124117024242878,0.0,0.0,0.125,11
F,Jalan30.csv,56,12,up,27,0.0,0.014174261689186118,0.0055658831261098385,0.0,0.0,0.48214285714285715,5,0.0,0.014174261689186118,0.0055658831261098385,0.0,0.0,0.48214285714285715,5
F,Jalan30.csv,56,13,up,21,0.005469147115945816,0.014853343367576599,0.014822808094322681,0.0,0.0,0.375,5,0.005469147115945816,0.014853343367576599,0.014822808094322681,0.0,0.0,0.375,5
F,Jalan30.csv,56,14,up,38,0.038062624633312225,0.005144011974334617,0.0199646707624197,0.0,0.0,0.6785714285714286,3,0.038062624633312225,0.005144011974334617,0.0199646707624197,0.0,0.0,0.6785714285714286,3
F,Jalan30.csv,56,16,up,19,0.012492582201957703,0.0035509407520294134,0.017048412933945656,0.0,0.0,0.3392857142857143,5,0.012492582201957703,0.0035509407520294134,0.017048412933945656,0.0,0.0,0.3392857142857143,5
F,Jalan30.csv,56,17,up,8,0.027431100606918335,0.032638931274414085,0.07519963383674622,0.0,0.0,0.14285714285714285,11,0.027431100606918335,0.032638931274414085,0.07519963383674622,0.0,0.0,0.14285714285714285,11
F,Jalan30.csv,56,18,up,8,0.09696047008037567,0.002915462851524331,0.005206674803048372,0.0,0.0,0.14285714285714285,12,0.09696047008037567,0.002915462851524331,0.005206674803048372,0.0,0.0,0.14285714285714285,12
F,Jalan30.csv,56,19,up,26,0.0015071481466293335,0.0,0.006114684510976076,0.0,0.0,0.4642857142857143,6,0.0015071481466293335,0.0,0.006114684510976076,0.0,0.0,0.4642857142857143,6
F,Jalan30.csv,56,20,down,66,0.015554539859294891,0.01580210030078888,0.010779236443340778,0.005639990442572885,0.03751977206319829,1.0,1,0.008870348334312439,0.04689371585845947,0.010432583279907703,0.010572464710633852,0.06061586595264312,1.0,1
F,Jalan30.csv,56,21,down,62,0.001114867627620697,0.0023747533559799194,0.02269899845123291,0.003506442719637195,0.03603794001405011,1.0,1,0.0,0.03377985954284668,0.014892300590872765,0.005863949386706405,0.05436880055970223,1.0,1
F,Jalan30.csv,56,22,up,51,8.682161569595337e-05,0.0010743141174316406,0.011363087221980095,0.0,0.0,0.9107142857142857,2,8.682161569595337e-05,0.0010743141174316406,0.011363087221980095,0.0,0.0,0.9107142857142857,2
F,Jalan30.csv,56,23,down,58,0.00596020370721817,0.0010293304920196422,0.010229535400867462,0.001219083555339939,0.0,1.0,1,0.00596020370721817,0.010755833983421337,0.002938920632004738,0.0014942901418642201,0.0,1.0,1
F,Jalan30.csv,56,24,down,70,0.010546579957008362,0.007997620105743397,0.019983777776360512,0.007076342401573214,0.035638819668162576,1.0,1,0.011412546038627625,0.003219458460807789,0.02948641963303089,0.010159809270523422,0.06313747738281154,1.0,1
F,Jalan30.csv,56,25,up,41,0.022088438272476196,7.233023643493652e-05,0.018898488953709602,0.0,0.0,0.7321428571428571,4,0.022088438272476196,7.233023643493652e-05,0.018898488953709602,0.0,0.0,0.7321428571428571,4
F,Jalan30.csv,56,26,down,70,0.006303451955318451,0.00023925304412841797,0.026625292375683784,0.006919823692461057,0.03509008615825279,1.0,1,0.03189525753259659,0.00023925304412841797,0.006237939465790987,0.010316903340205947,0.06313753660502879,1.0,1
F,Jalan30.csv,56,27,down,60,0.0034687817096710205,0.0007936120033263938,0.009673403576016426,0.002210297054571791,0.03303456023509807,1.0,1,0.010024942457675934,0.0007936120033263938,0.005499902181327343,0.0025676177336612484,0.0344429219890328,1.0,1
F,Jalan30.csv,56,28,up,29,0.0,0.043227428197860684,0.014517090283334255,0.0,0.0,0.5178571428571429,5,0.0,0.043227428197860684,0.014517090283334255,0.0,0.0,0.5178571428571429,5
F,Jalan30.csv,56,29,up,38,0.01882452517747879,0.03156674504280077,0.052027806639671326,0.0,0.0,0.6785714285714286,3,0.01882452517747879,0.03156674504280077,0.052027806639671326,0.0,0.0,0.6785714285714286,3
F,Jalan30.csv,56,30,down,58,0.006734617054462433,0.0008408129215240479,0.00482622254639864,0.001130387994882716,0.0,1.0,1,0.006734617054462433,0.0008408129215240479,0.004859376698732376,0.0011303887385072375,0.0,1.0,1
F,Jalan30.csv,56,31,up,41,0.008512496948242188,0.0027948617935180664,0.008724489249289036,0.0,0.0,0.7321428571428571,4,0.008512496948242188,0.0027948617935180664,0.008724489249289036,0.0,0.0,0.7321428571428571,4
F,Jalan30.csv,56,32,up,38,0.016039788722991943,0.0018423199653625488,0.021352272480726242,0.0,0.0,0.6785714285714286,5,0.016039788722991943,0.0018423199653625488,0.021352272480726242,0.0,0.0,0.6785714285714286,5
F,Jalan30.csv,56,33,down,60,0.0009660124778747559,0.005271267890930131,0.009330732747912407,0.00218092682167405,0.03227001182136196,1.0,1,0.0009660124778747559,0.005271267890930131,0.004738070536404848,0.0022645886195439917,0.032936880219117386,1.0,1
F,Jalan30.csv,56,34,up,44,0.0003618597984313965,0.0056306779384612815,0.032497894018888474,0.0,0.0,0.7857142857142857,3,0.0003618597984313965,0.0056306779384612815,0.032497894018888474,0.0,0.0,0.7857142857142857,3
F,Jalan30.csv,56,35,up,50,0.007244236767292023,0.01011240780353545,0.006007710471749306,0.0,0.0,0.8928571428571429,2,0.007244236767292023,0.01011240780353545,0.006007710471749306,0.0,0.0,0.8928571428571429,2
F,Jalan30.csv,56,36,up,38,0.0007929131388664246,0.0015381306409835982,0.0051395767368376255,0.0,0.0,0.6785714285714286,3,0.0007929131388664246,0.0015381306409835982,0.0051395767368376255,0.0,0.0,0.6785714285714286,3
F,Jalan30.csv,56,37,up,48,0.010702379047870636,0.01086779236793528,0.023755241185426712,0.0,0.0,0.8571428571428571,4,0.010702379047870636,0.01086779236793528,0.023755241185426712,0.0,0.0,0.8571428571428571,4
F,Jalan30.csv,56,38,down,57,0.0002527162432670593,0.00319694280624383,0.004845137242227793,0.0005654455276593298,0.0,1.0,1,0.0002527162432670593,0.0032349199056626032,0.004445107653737068,0.0005654455276593298,0.0,1.0,1
F,Jalan30.csv,56,39,down,58,0.001399122178554535,0.003983762860298168,0.008422324433922768,0.0011113916040753715,0.0,1.0,1,0.001013346016407013,2.0611286163318976e-05,0.0025437958538532257,0.0011445497793991213,0.0,1.0,1
F,Jalan30.csv,56,40,down,75,0.001080445945262909,0.002274322509765614,0.02413763292133808,0.00816650277074078,0.03284416643769667,1.0,1,0.007203161716461182,0.0016706615686416515,0.01454169861972332,0.01029773147196469,0.05277203750981877,1.0,1
F,Jalan30.csv,56,41,down,66,0.007351838052272797,0.004214152693748474,0.02040659449994564,0.004844788789277714,0.032230353405721106,1.0,1,0.009128190577030182,0.0,0.009133038111031055,0.005007106517739195,0.03349478186798663,1.0,1
F,Jalan30.csv,56,42,up,32,0.0026526302099227905,0.010799562931060769,0.025577621534466743,0.0,0.0,0.5714285714285714,4,0.0026526302099227905,0.010799562931060769,0.025577621534466743,0.0,0.0,0.5714285714285714,4
F,Jalan30.csv,56,43,up,46,0.003637358546257019,0.0,0.0037833931855857372,0.0,0.0,0.8214285714285714,3,0.003637358546257019,0.0,0.0037833931855857372,0.0,0.0,0.8214285714285714,3
F,Jalan30.csv,56,44,up,35,0.009035952389240265,0.0061312198638915905,0.014483856968581676,0.0,0.0,0.625,5,0.009035952389240265,0.0061312198638915905,0.014483856968581676,0.0,0.0,0.625,5
F,Jalan30.csv,56,45,up,48,0.002253517508506775,0.000409543514251709,0.004601793829351664,0.0,0.0,0.8571428571428571,3,0.002253517508506775,0.000409543514251709,0.004601793829351664,0.0,0.0,0.8571428571428571,3
F,Jalan30.csv,56,46,up,12,0.0020998716354370117,0.7251199424266819,0.1565190553665161,0.0,0.0,0.21428571428571427,7,0.0020998716354370117,0.7251199424266819,0.1565190553665161,0.0,0.0,0.21428571428571427,7
F,Jalan30.csv,56,47,up,41,0.002081245183944702,1.1622905731201172e-05,0.007183298468589783,0.0,0.0,0.7321428571428571,3,0.002081245183944702,1.1622905731201172e-05,0.007183298468589783,0.0,0.0,0.7321428571428571,3
F,Jalan30.csv,56,48,up,37,0.0,0.0020293951034546787,0.07202694565057755,0.0,0.0,0.6607142857142857,3,0.0,0.0020293951034546787,0.07202694565057755,0.0,0.0,0.6607142857142857,3
F,Jalan30.csv,56,49,down,64,0.0,0.03252671062946316,0.014895595610141754,0.003968102653626375,0.031610787187388856,1.0,1,0.0024358555674552917,0.031111755967140164,0.006620492320507765,0.0043253568408458945,0.03349613458574109,1.0,1
F,Jalan30.csv,56,50,up,49,0.0006057620048522949,0.0004403740167617798,0.01540914736688137,0.0,0.0,0.875,2,0.0006057620048522949,0.0004403740167617798,0.01540914736688137,0.0,0.0,0.875,2
F,Jalan30.csv,56,51,up,26,6.927549839019775e-05,0.023593902587890625,0.014722581021487713,0.0,0.0,0.4642857142857143,5,6.927549839019775e-05,0.023593902587890625,0.014722581021487713,0.0,0.0,0.4642857142857143,5
F,Jalan30.csv,56,52,down,69,0.013394370675086975,0.013880819082260132,0.08548936247825623,0.00619203550797838,0.03324515816108777,1.0,1,0.00017341971397399902,0.0036236047744750977,0.0037648866418749094,0.007667005289997431,0.03543982177960729,1.0,1
F,Jalan30.csv,56,53,up,9,0.0,0.008184516429901145,0.0350920706987381,0.0,0.0,0.16071428571428573,9,0.0,0.008184516429901145,0.0350920706987381,0.0,0.0,0.16071428571428573,9
F,Jalan30.csv,56,54,up,25,0.01440148800611496,0.44265356063842876,0.08009427785873413,0.0,0.0,0.44642857142857145,6,0.01440148800611496,0.44265356063842876,0.08009427785873413,0.0,0.0,0.44642857142857145,6
F,Jalan30.csv,56,55,up,46,0.0,0.0,0.009768805466592312,0.0,0.0,0.8214285714285714,3,0.0,0.0,0.009768805466592312,0.0,0.0,0.8214285714285714,3
F,Jalan30.csv,56,56,up,10,0.014770522713661194,0.03334248661994932,0.03283156827092171,0.0,0.0,0.17857142857142858,10,0.014770522713661194,0.03334248661994932,0.03283156827092171,0.0,0.0,0.17857142857142858,10
F,Jalan30.csv,56,57,up,24,0.0,0.0017269253730773926,0.044136811047792435,0.0,0.0,0.42857142857142855,4,0.0,0.0017269253730773926,0.044136811047792435,0.0,0.0,0.42857142857142855,4
F,Jalan30.csv,56,58,up,26,0.001122400164604187,0.006001926958560944,0.018950605764985085,0.0,0.0,0.4642857142857143,5,0.001122400164604187,0.006001926958560944,0.018950605764985085,0.0,0.0,0.4642857142857143,5
