subject,file,N_target,frame,mode,base_n,fps_shape_p50_diff,fps_shape_p90_diff,fps_centroid_drift,fps_nn_mean,fps_nn_p95,fps_unique_ratio,fps_max_dup,wrs_shape_p50_diff,wrs_shape_p90_diff,wrs_centroid_drift,wrs_nn_mean,wrs_nn_p95,wrs_unique_ratio,wrs_max_dup
I,Jalan43.csv,56,1,up,33,0.026983335614204407,0.21310626864433296,0.05537722259759903,0.0,0.0,0.5892857142857143,5,0.026983335614204407,0.21310626864433296,0.05537722259759903,0.0,0.0,0.5892857142857143,5
I,Jalan43.csv,56,2,up,28,0.005544185638427734,0.003394643962383287,0.023849651217460632,0.0,0.0,0.5,5,0.005544185638427734,0.003394643962383287,0.023849651217460632,0.0,0.0,0.5,5
I,Jalan43.csv,56,3,up,26,0.006866227835416794,0.0339953750371933,0.019402120262384415,0.0,0.0,0.4642857142857143,5,0.006866227835416794,0.0339953750371933,0.019402120262384415,0.0,0.0,0.4642857142857143,5
I,Jalan43.csv,56,4,up,36,0.0,0.0057601481676101685,0.004826902877539396,0.0,0.0,0.6428571428571429,3,0.0,0.0057601481676101685,0.004826902877539396,0.0,0.0,0.6428571428571429,3
I,Jalan43.csv,56,5,up,26,0.0,0.0,0.011552047915756702,0.0,0.0,0.4642857142857143,4,0.0,0.0,0.011552047915756702,0.0,0.0,0.4642857142857143,4
I,Jalan43.csv,56,6,up,8,0.03968589007854462,0.007913774251937844,0.022730089724063873,0.0,0.0,0.14285714285714285,13,0.03968589007854462,0.007913774251937844,0.022730089724063873,0.0,0.0,0.14285714285714285,13
I,Jalan43.csv,56,7,up,40,0.0,0.05711925625801084,0.021595466881990433,0.0,0.0,0.7142857142857143,4,0.0,0.05711925625801084,0.021595466881990433,0.0,0.0,0.7142857142857143,4
I,Jalan43.csv,56,8,up,8,0.013291336596012115,0.011146903038024902,0.10392221063375473,0.0,0.0,0.14285714285714285,14,0.013291336596012115,0.011146903038024902,0.10392221063375473,0.0,0.0,0.14285714285714285,14
I,Jalan43.csv,56,9,up,36,0.0,0.0,0.008604004979133606,0.0,0.0,0.6428571428571429,4,0.0,0.0,0.008604004979133606,0.0,0.0,0.6428571428571429,4
I,Jalan43.csv,56,10,down,78,0.0,0.0015778064727783314,0.02943134680390358,0.005044926966295928,0.018390505032721764,1.0,1,0.00818796455860138,1.729726791382946e-05,0.009965003468096256,0.009029959380967175,0.03678062614958134,1.0,1
I,Jalan43.csv,56,11,down,83,0.007792040705680847,0.0030514627695084062,0.012479336000978947,0.006548408940092177,0.030686207476966147,1.0,1,8.795410394668579e-05,0.005527806282043413,0.02339986339211464,0.010130926742325045,0.04682506849381865,1.0,1
I,Jalan43.csv,56,12,down,76,0.01164025068283081,0.0,0.02492501586675644,0.004129239627169225,0.016090937767181995,1.0,1,0.017255514860153198,0.004626721143722534,0.03522081300616264,0.009237760360293118,0.06235754205061582,1.0,1
I,Jalan43.csv,56,13,up,39,0.001862652599811554,0.01969732940196972,0.009894784539937973,0.0,0.0,0.6964285714285714,3,0.001862652599811554,0.01969732940196972,0.009894784539937973,0.0,0.0,0.6964285714285714,3
I,Jalan43.csv,56,14,up,31,0.0009232684969902039,0.0745159164071083,0.007516882382333279,0.0,0.0,0.5535714285714286,3,0.0009232684969902039,0.0745159164071083,0.007516882382333279,0.0,0.0,0.5535714285714286,3
I,Jalan43.csv,56,15,up,34,0.0005746744573116302,0.06724440306425089,0.019082868471741676,0.0,0.0,0.6071428571428571,4,0.0005746744573116302,0.06724440306425089,0.019082868471741676,0.0,0.0,0.6071428571428571,4
I,Jalan43.csv,56,16,up,53,0.0034279748797416687,0.0007751137018203735,0.006740926764905453,0.0,0.0,0.9464285714285714,2,0.0034279748797416687,0.0007751137018203735,0.006740926764905453,0.0,0.0,0.9464285714285714,2
I,Jalan43.csv,56,17,up,44,0.004376489669084549,0.0026271104812622403,0.003973740618675947,0.0,0.0,0.7857142857142857,3,0.004376489669084549,0.0026271104812622403,0.003973740618675947,0.0,0.0,0.7857142857142857,3
I,Jalan43.csv,56,18,up,40,0.0,0.016482883691787742,0.008404577150940895,0.0,0.0,0.7142857142857143,3,0.0,0.016482883691787742,0.008404577150940895,0.0,0.0,0.7142857142857143,3
I,Jalan43.csv,56,19,down,73,0.010761678218841553,0.02783995270729034,0.08286041021347046,0.002872492275751737,0.012957423006466077,1.0,1,0.0030966773629188538,0.021415090560913397,0.015383242629468441,0.008812907812285272,0.02887505238902255,1.0,1
I,Jalan43.csv,56,20,down,71,0.004925847053527832,0.00791187584400177,0.00827810075134039,0.002384404651619562,0.011665845337112273,1.0,1,0.0017559751868247986,0.02146860957145691,0.05406348034739494,0.007390984695196809,0.05466490408347529,1.0,1
I,Jalan43.csv,56,21,down,80,0.011046171188354492,0.00888681411743164,0.017576118931174278,0.003309340220883522,0.011913139550569,1.0,1,0.020093277096748352,0.007121443748474121,0.008160981349647045,0.017358103501813056,0.0636126079919178,1.0,1
I,Jalan43.csv,56,22,down,82,0.005240093916654587,0.0007340297102928217,0.012879932299256325,0.003445450801479386,0.011722946354574132,1.0,1,0.005954451858997345,0.0012690439820289556,0.01448607724159956,0.014843625870934005,0.021943785757960993,1.0,1
I,Jalan43.csv,56,23,equal,56,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1
I,Jalan43.csv,56,24,up,46,0.0,0.0039200931787490845,0.005051315762102604,0.0,0.0,0.8214285714285714,3,0.0,0.0039200931787490845,0.005051315762102604,0.0,0.0,0.8214285714285714,3
I,Jalan43.csv,56,25,down,115,0.00023794174194335938,0.0052685797214507835,0.04173703119158745,0.0064233021854782565,0.019946435939452518,1.0,1,0.0033595263957977295,0.0004742085933685525,0.007100355811417103,0.016169968610255638,0.0357153987877432,1.0,1
I,Jalan43.csv,56,26,down,84,0.010122239589691162,0.0019359469413757768,0.04466036334633827,0.0033986008574361133,0.010656755174058266,1.0,1,0.001176983118057251,0.001445364952087358,0.07785037904977798,0.014719836957146824,0.08172092393448772,1.0,1
I,Jalan43.csv,56,27,up,38,0.00011346861720085144,0.0023397564888000405,0.006779382936656475,0.0,0.0,0.6785714285714286,3,0.00011346861720085144,0.0023397564888000405,0.006779382936656475,0.0,0.0,0.6785714285714286,3
I,Jalan43.csv,56,28,down,57,5.7443976402282715e-05,7.664114236832775e-05,0.0018412225181236863,0.0001649986576848847,0.0,1.0,1,0.0004360117018222809,7.664114236832775e-05,0.0013133237371221185,0.00017600140685165343,0.0,1.0,1
I,Jalan43.csv,56,29,down,62,0.002418026328086853,0.004644566774368308,0.01902453415095806,0.0009442373124403077,0.009953996828004895,1.0,1,0.003342576324939728,0.044301068782806374,0.05368245393037796,0.0014842055456647544,0.01381415785246017,1.0,1
I,Jalan43.csv,56,30,down,103,0.005256481468677521,0.01600963473320005,0.03130500018596649,0.005178979791085506,0.013391970581340564,1.0,1,0.005256481468677521,0.006854033470153786,0.01367289200425148,0.008216477371481673,0.03331813427435344,1.0,1
I,Jalan43.csv,56,31,down,80,0.002472415566444397,0.008344095945358232,0.04949368163943291,0.003258616673883435,0.011323624194888953,1.0,1,0.007963612675666809,0.39312311559915547,0.039350830018520355,0.006723202155802371,0.03020117167506561,1.0,1
I,Jalan43.csv,56,32,up,54,0.0007287561893463135,0.00046153366565704346,0.0014135815436020494,0.0,0.0,0.9642857142857143,2,0.0007287561893463135,0.00046153366565704346,0.0014135815436020494,0.0,0.0,0.9642857142857143,2
I,Jalan43.csv,56,33,down,58,0.0002800785005092621,2.4169683456448654e-06,0.003473982447758317,0.0003459335075117832,0.0,1.0,1,0.0,2.4169683456448654e-06,0.0012794017093256116,0.00036785363179301137,0.0,1.0,1
I,Jalan43.csv,56,34,down,62,0.0,0.00040959715843202904,0.01335535105317831,0.0010248213080144436,0.01069190879435818,1.0,1,0.007490802556276321,0.0005642682313918845,0.01608910970389843,0.0011563949544008464,0.0113166236029313,1.0,1
I,Jalan43.csv,56,35,down,66,0.0003770701587200165,0.0011623650789260864,0.017556805163621902,0.0015765263785555935,0.010726464891161979,1.0,1,0.0,0.0009369030594825745,0.004031813237816095,0.0017073428935906203,0.011814272743040168,1.0,1
I,Jalan43.csv,56,36,down,138,0.010262981057167053,0.00797144770622249,0.05906802788376808,0.009482598013725665,0.02459142587950239,1.0,1,0.0028181076049804688,0.014828044176101729,0.06197776645421982,0.018445329581306815,0.0752878347372449,1.0,1
I,Jalan43.csv,56,37,down,110,0.04681836813688278,0.00026946067810063035,0.006432064808905125,0.008000406429448834,0.025019320612143108,1.0,1,0.002078339457511902,0.0016075491905211958,0.007500120438635349,0.011182951905772868,0.038915842575003946,1.0,1
I,Jalan43.csv,56,38,down,99,0.011576473712921143,0.02997927665710448,0.03759108856320381,0.006573466583673086,0.024014748946099135,1.0,1,0.006757356226444244,0.030165386199951183,0.024626662954688072,0.014823939666622776,0.06324998381660543,1.0,1
I,Jalan43.csv,56,39,down,118,0.004098102450370789,0.0197548389434814,0.030437536537647247,0.010058152797404647,0.027435647291344643,1.0,1,0.005151838064193726,0.012972307205200151,0.05260024964809418,0.01739341039562819,0.06342761212076602,1.0,1
I,Jalan43.csv,56,40,down,115,0.00361517071723938,0.0001918792724608931,0.05039501562714577,0.009964577534819273,0.028140464648394096,1.0,1,0.031490445137023926,0.008820044994354292,0.10580172389745712,0.021226084969205375,0.06681893570108523,1.0,1
I,Jalan43.csv,56,41,down,93,0.0160609632730484,0.02503232955932616,0.03162708505988121,0.007757527100826415,0.028004221191708204,1.0,1,0.0015196427702903748,0.0073727548122405895,0.006149020511657,0.012023405144705195,0.056051330065135935,1.0,1
I,Jalan43.csv,56,42,down,105,0.018893860280513763,0.05332213938236213,0.015421786345541477,0.009126884433767553,0.03009339334370515,1.0,1,0.0006531178951263428,0.017605540156364674,0.032529693096876144,0.017916227841658167,0.06861394046426002,1.0,1
I,Jalan43.csv,56,43,down,86,0.02049737423658371,0.08985042572021484,0.02810717560350895,0.005825642132657685,0.016407863322835566,1.0,1,0.025651536881923676,0.08985042572021484,0.02403850108385086,0.010110207834010836,0.040891275044496994,1.0,1
I,Jalan43.csv,56,44,down,106,0.010175518691539764,0.3480254262685776,0.011586003936827183,0.011159551191516258,0.034096782656794875,1.0,1,0.009030066430568695,0.7723062187433243,0.09766130149364471,0.018580641792108093,0.06809342233743786,1.0,1
I,Jalan43.csv,56,45,down,150,0.006791219115257263,0.05035126209259033,0.018407082185149193,0.021472835715916204,0.059847552436667124,1.0,1,0.0009908080101013184,0.02377888560295105,0.11962462216615677,0.03877673479151085,0.18189151388387745,1.0,1
I,Jalan43.csv,56,46,down,130,0.035571515560150146,0.01065771579742436,0.11799956858158112,0.01640397484366584,0.04478963660271021,1.0,1,0.01414477825164795,0.11185623407363887,0.09832848608493805,0.02977272343581462,0.0761893553783506,1.0,1
I,Jalan43.csv,56,47,down,128,0.005940750241279602,0.0018771529197693093,0.015976285561919212,0.0180389203873949,0.049905371472945874,1.0,1,0.009572163224220276,0.009666284918785073,0.02791065163910389,0.025088222447046726,0.0861028182857056,1.0,1
I,Jalan43.csv,56,48,down,90,0.011934436857700348,0.004854112863540594,0.014874272048473358,0.010230859256294163,0.036009529473929304,1.0,1,0.0010281577706336975,0.007663190364837702,0.019307702779769897,0.015461913315664932,0.06422201677800267,1.0,1
I,Jalan43.csv,56,49,down,83,0.008757740259170532,0.0034794151782989724,0.011408484540879726,0.007171931977243832,0.03352848364955605,1.0,1,0.004717789590358734,0.00293610095977781,0.01509308721870184,0.01213993974901685,0.05662580987390416,1.0,1
I,Jalan43.csv,56,50,down,123,0.004368916153907776,0.04626355171203622,0.02961762621998787,0.01807958836404744,0.04433867023358878,1.0,1,0.007897138595581055,0.04171625673770896,0.041570331901311874,0.028163148457710986,0.1075288188357667,1.0,1
