subject,file,N_target,frame,mode,base_n,fps_shape_p50_diff,fps_shape_p90_diff,fps_centroid_drift,fps_nn_mean,fps_nn_p95,fps_unique_ratio,fps_max_dup,wrs_shape_p50_diff,wrs_shape_p90_diff,wrs_centroid_drift,wrs_nn_mean,wrs_nn_p95,wrs_unique_ratio,wrs_max_dup
H,Jalan72.csv,64,13,up,6,0.00777893140912056,0.015364858508110257,0.008639339357614517,0.0,0.0,0.09375,17,0.00777893140912056,0.015364858508110257,0.008639339357614517,0.0,0.0,0.09375,17
H,Jalan72.csv,64,17,up,12,0.01783672720193863,0.0016232997179031483,0.01144196093082428,0.0,0.0,0.1875,8,0.01783672720193863,0.0016232997179031483,0.01144196093082428,0.0,0.0,0.1875,8
H,Jalan72.csv,64,18,up,10,0.0010884292423725128,0.0032936602830886674,0.023191336542367935,0.0,0.0,0.15625,11,0.0010884292423725128,0.0032936602830886674,0.023191336542367935,0.0,0.0,0.15625,11
H,Jalan72.csv,64,19,up,17,0.002850249409675598,0.0005331635475158691,0.003678862936794758,0.0,0.0,0.265625,6,0.002850249409675598,0.0005331635475158691,0.003678862936794758,0.0,0.0,0.265625,6
H,Jalan72.csv,64,20,up,5,0.0,0.00026865005493165173,0.03378094360232353,0.0,0.0,0.078125,17,0.0,0.00026865005493165173,0.03378094360232353,0.0,0.0,0.078125,17
H,Jalan72.csv,64,21,up,27,0.009433895349502563,0.008421277999877907,0.012401174753904343,0.0,0.0,0.421875,5,0.009433895349502563,0.008421277999877907,0.012401174753904343,0.0,0.0,0.421875,5
H,Jalan72.csv,64,22,up,40,0.0005525648593902588,0.00953198671340938,0.006680932827293873,0.0,0.0,0.625,4,0.0005525648593902588,0.00953198671340938,0.006680932827293873,0.0,0.0,0.625,4
H,Jalan72.csv,64,23,up,32,0.014934994280338287,0.0011916249990463479,0.00607922300696373,0.0,0.0,0.5,4,0.014934994280338287,0.0011916249990463479,0.00607922300696373,0.0,0.0,0.5,4
H,Jalan72.csv,64,24,up,27,0.0,0.027886331081390436,0.03541651740670204,0.0,0.0,0.421875,6,0.0,0.027886331081390436,0.03541651740670204,0.0,0.0,0.421875,6
H,Jalan72.csv,64,25,up,5,0.0,0.04117183685302733,0.026124758645892143,0.0,0.0,0.078125,20,0.0,0.04117183685302733,0.026124758645892143,0.0,0.0,0.078125,20
H,Jalan72.csv,64,26,up,5,0.0,0.2961854219436728,0.47777771949768066,0.0,0.0,0.078125,20,0.0,0.2961854219436728,0.47777771949768066,0.0,0.0,0.078125,20
H,Jalan72.csv,64,27,up,32,0.0008632764220237732,0.002471143007278409,0.008032825775444508,0.0,0.0,0.5,4,0.0008632764220237732,0.002471143007278409,0.008032825775444508,0.0,0.0,0.5,4
H,Jalan72.csv,64,28,up,39,0.0,0.0016942471265792847,0.02476588822901249,0.0,0.0,0.609375,4,0.0,0.0016942471265792847,0.02476588822901249,0.0,0.0,0.609375,4
H,Jalan72.csv,64,29,up,6,0.08618985116481781,0.2859961986541748,0.0513298325240612,0.0,0.0,0.09375,16,0.08618985116481781,0.2859961986541748,0.0513298325240612,0.0,0.0,0.09375,16
H,Jalan72.csv,64,30,up,12,0.003336198627948761,0.0029694825410842562,0.04279344156384468,0.0,0.0,0.1875,9,0.003336198627948761,0.0029694825410842562,0.04279344156384468,0.0,0.0,0.1875,9
H,Jalan72.csv,64,31,up,48,0.0074816495180130005,0.012330597639083785,0.010582104325294495,0.0,0.0,0.75,3,0.0074816495180130005,0.012330597639083785,0.010582104325294495,0.0,0.0,0.75,3
H,Jalan72.csv,64,32,up,35,0.0,0.002415078878402699,0.030282726511359215,0.0,0.0,0.546875,5,0.0,0.002415078878402699,0.030282726511359215,0.0,0.0,0.546875,5
H,Jalan72.csv,64,33,up,20,0.010606393218040466,0.004933714866638239,0.008612141944468021,0.0,0.0,0.3125,6,0.010606393218040466,0.004933714866638239,0.008612141944468021,0.0,0.0,0.3125,6
H,Jalan72.csv,64,34,up,14,0.008048422634601593,0.012097641825675964,0.034662291407585144,0.0,0.0,0.21875,9,0.008048422634601593,0.012097641825675964,0.034662291407585144,0.0,0.0,0.21875,9
H,Jalan72.csv,64,36,up,56,0.015239991247653961,0.004506742954254239,0.02066653221845627,0.0,0.0,0.875,2,0.015239991247653961,0.004506742954254239,0.02066653221845627,0.0,0.0,0.875,2
H,Jalan72.csv,64,37,up,35,0.014524251222610474,0.01668760776519773,0.01540245022624731,0.0,0.0,0.546875,5,0.014524251222610474,0.01668760776519773,0.01540245022624731,0.0,0.0,0.546875,5
H,Jalan72.csv,64,38,up,39,0.010745927691459656,0.0010390013456344493,0.019449828192591667,0.0,0.0,0.609375,4,0.010745927691459656,0.0010390013456344493,0.019449828192591667,0.0,0.0,0.609375,4
H,Jalan72.csv,64,39,up,49,0.009315401315689087,0.0023029744625091553,0.01667901687324047,0.0,0.0,0.765625,4,0.009315401315689087,0.0023029744625091553,0.01667901687324047,0.0,0.0,0.765625,4
H,Jalan72.csv,64,40,up,46,0.006820149719715118,0.023974725604057334,0.006092054769396782,0.0,0.0,0.71875,4,0.006820149719715118,0.023974725604057334,0.006092054769396782,0.0,0.0,0.71875,4
H,Jalan72.csv,64,41,up,21,0.0,0.0005865693092346191,0.006620813626796007,0.0,0.0,0.328125,6,0.0,0.0005865693092346191,0.006620813626796007,0.0,0.0,0.328125,6
H,Jalan72.csv,64,42,down,67,0.002188637852668762,0.0025712460279465055,0.00901004672050476,0.002094461584232371,0.0,1.0,1,0.006255581974983215,0.0025712460279465055,0.003416815074160695,0.0021322158741734513,0.0,1.0,1
H,Jalan72.csv,64,43,up,57,0.0037916600704193115,0.0018954634666443204,0.021304216235876083,0.0,0.0,0.890625,3,0.0037916600704193115,0.0018954634666443204,0.021304216235876083,0.0,0.0,0.890625,3
H,Jalan72.csv,64,44,up,39,0.0005925744771957397,0.025431814789772023,0.018779056146740913,0.0,0.0,0.609375,4,0.0005925744771957397,0.025431814789772023,0.018779056146740913,0.0,0.0,0.609375,4
H,Jalan72.csv,64,45,up,20,0.006236135959625244,0.0858180642127993,0.010744950734078884,0.0,0.0,0.3125,5,0.006236135959625244,0.0858180642127993,0.010744950734078884,0.0,0.0,0.3125,5
H,Jalan72.csv,64,46,up,33,0.0026871562004089355,0.00025992393493656785,0.08224890381097794,0.0,0.0,0.515625,4,0.0026871562004089355,0.00025992393493656785,0.08224890381097794,0.0,0.0,0.515625,4
H,Jalan72.csv,64,47,up,62,0.004045367240905762,0.002971172332763672,0.007561349309980869,0.0,0.0,0.96875,2,0.004045367240905762,0.002971172332763672,0.007561349309980869,0.0,0.0,0.96875,2
H,Jalan72.csv,64,48,up,55,0.0028245747089385986,0.0010962545871734397,0.007168700452893972,0.0,0.0,0.859375,2,0.0028245747089385986,0.0010962545871734397,0.007168700452893972,0.0,0.0,0.859375,2
H,Jalan72.csv,64,49,down,66,0.002438172698020935,0.0006228148937225675,0.005001396872103214,0.0013214437479987947,0.0,1.0,1,0.002438172698020935,0.0006228148937225675,0.0037290628533810377,0.0016479252633280494,0.0,1.0,1
H,Jalan72.csv,64,50,up,58,0.011164285242557526,0.005853062868118375,0.004774250090122223,0.0,0.0,0.90625,3,0.011164285242557526,0.005853062868118375,0.004774250090122223,0.0,0.0,0.90625,3
H,Jalan72.csv,64,51,up,45,0.01567331701517105,0.012526857852935724,0.010498197749257088,0.0,0.0,0.703125,4,0.01567331701517105,0.012526857852935724,0.010498197749257088,0.0,0.0,0.703125,4
H,Jalan72.csv,64,52,up,43,0.0071364641189575195,0.0016571640968322532,0.02233784645795822,0.0,0.0,0.671875,3,0.0071364641189575195,0.0016571640968322532,0.02233784645795822,0.0,0.0,0.671875,3
H,Jalan72.csv,64,53,up,7,0.0,0.004964876174926747,0.03999694436788559,0.0,0.0,0.109375,17,0.0,0.004964876174926747,0.03999694436788559,0.0,0.0,0.109375,17
H,Jalan72.csv,64,54,up,62,0.0,0.001255279779434182,0.005551832262426615,0.0,0.0,0.96875,2,0.0,0.001255279779434182,0.005551832262426615,0.0,0.0,0.96875,2
H,Jalan72.csv,64,55,equal,64,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1
H,Jalan72.csv,64,56,up,26,0.00011298060417175293,0.009768038988113403,0.02108556032180786,0.0,0.0,0.40625,5,0.00011298060417175293,0.009768038988113403,0.02108556032180786,0.0,0.0,0.40625,5
