subject,file,N_target,frame,mode,base_n,fps_shape_p50_diff,fps_shape_p90_diff,fps_centroid_drift,fps_nn_mean,fps_nn_p95,fps_unique_ratio,fps_max_dup,wrs_shape_p50_diff,wrs_shape_p90_diff,wrs_centroid_drift,wrs_nn_mean,wrs_nn_p95,wrs_unique_ratio,wrs_max_dup
J,Jalan20.csv,64,1,up,29,0.0010115839540958405,0.0076548546552658026,0.025167977437376976,0.0,0.0,0.453125,6,0.0010115839540958405,0.0076548546552658026,0.025167977437376976,0.0,0.0,0.453125,6
J,Jalan20.csv,64,2,up,5,0.0,0.008439874649047857,0.0014241087483242154,0.0,0.0,0.078125,15,0.0,0.008439874649047857,0.0014241087483242154,0.0,0.0,0.078125,15
J,Jalan20.csv,64,4,up,21,0.0006151646375656128,0.0065001904964447355,0.021432431414723396,0.0,0.0,0.328125,7,0.0006151646375656128,0.0065001904964447355,0.021432431414723396,0.0,0.0,0.328125,7
J,Jalan20.csv,64,5,up,6,0.014442995190620422,0.05933673679828644,0.06405208259820938,0.0,0.0,0.09375,17,0.014442995190620422,0.05933673679828644,0.06405208259820938,0.0,0.0,0.09375,17
J,Jalan20.csv,64,7,up,51,0.016149014234542847,0.0009442985057830922,0.008738472126424313,0.0,0.0,0.796875,3,0.016149014234542847,0.0009442985057830922,0.008738472126424313,0.0,0.0,0.796875,3
J,Jalan20.csv,64,8,up,5,0.0,0.6836683273315427,0.22215375304222107,0.0,0.0,0.078125,18,0.0,0.6836683273315427,0.22215375304222107,0.0,0.0,0.078125,18
J,Jalan20.csv,64,10,up,19,0.0,0.007865780591964633,0.012114906683564186,0.0,0.0,0.296875,6,0.0,0.007865780591964633,0.012114906683564186,0.0,0.0,0.296875,6
J,Jalan20.csv,64,12,up,18,0.021376512944698334,0.0008053541183471735,0.009753781370818615,0.0,0.0,0.28125,8,0.021376512944698334,0.0008053541183471735,0.009753781370818615,0.0,0.0,0.28125,8
J,Jalan20.csv,64,13,up,21,0.0,0.03297328054904952,0.007650020532310009,0.0,0.0,0.328125,6,0.0,0.03297328054904952,0.007650020532310009,0.0,0.0,0.328125,6
J,Jalan20.csv,64,14,up,46,0.0026928558945655823,0.014460006356239313,0.0022402906324714422,0.0,0.0,0.71875,2,0.0026928558945655823,0.014460006356239313,0.0022402906324714422,0.0,0.0,0.71875,2
J,Jalan20.csv,64,15,up,28,0.023306265473365784,0.018506869673728915,0.01791059784591198,0.0,0.0,0.4375,5,0.023306265473365784,0.018506869673728915,0.01791059784591198,0.0,0.0,0.4375,5
J,Jalan20.csv,64,16,up,32,0.010746929794549942,0.006062139570713054,0.021092217415571213,0.0,0.0,0.5,5,0.010746929794549942,0.006062139570713054,0.021092217415571213,0.0,0.0,0.5,5
J,Jalan20.csv,64,17,up,51,0.002480529248714447,0.0011950582265853882,0.016752343624830246,0.0,0.0,0.796875,3,0.002480529248714447,0.0011950582265853882,0.016752343624830246,0.0,0.0,0.796875,3
J,Jalan20.csv,64,18,up,14,0.022478356957435608,0.029874220490455516,0.008052580058574677,0.0,0.0,0.21875,7,0.022478356957435608,0.029874220490455516,0.008052580058574677,0.0,0.0,0.21875,7
J,Jalan20.csv,64,19,up,6,0.11432120949029922,0.16847792267799377,0.08964280039072037,0.0,0.0,0.09375,13,0.11432120949029922,0.16847792267799377,0.08964280039072037,0.0,0.0,0.09375,13
J,Jalan20.csv,64,20,up,56,0.002237066626548767,0.005164113640785228,0.021877028048038483,0.0,0.0,0.875,4,0.002237066626548767,0.005164113640785228,0.021877028048038483,0.0,0.0,0.875,4
J,Jalan20.csv,64,21,up,39,0.0017919912934303284,0.011266446113586404,0.010898243635892868,0.0,0.0,0.609375,6,0.0017919912934303284,0.011266446113586404,0.010898243635892868,0.0,0.0,0.609375,6
J,Jalan20.csv,64,22,up,23,0.0051216185092926025,0.0006385236978530828,0.016225919127464294,0.0,0.0,0.359375,6,0.0051216185092926025,0.0006385236978530828,0.016225919127464294,0.0,0.0,0.359375,6
J,Jalan20.csv,64,23,up,25,0.0020037367939949036,0.04605138599872591,0.02087649144232273,0.0,0.0,0.390625,6,0.0020037367939949036,0.04605138599872591,0.02087649144232273,0.0,0.0,0.390625,6
J,Jalan20.csv,64,24,up,32,0.0,0.011065015196800254,0.01336618047207594,0.0,0.0,0.5,5,0.0,0.011065015196800254,0.01336618047207594,0.0,0.0,0.5,5
J,Jalan20.csv,64,25,up,59,0.00010680407285690308,0.004298013448715221,0.004374530166387558,0.0,0.0,0.921875,2,0.00010680407285690308,0.004298013448715221,0.004374530166387558,0.0,0.0,0.921875,2
J,Jalan20.csv,64,26,down,81,0.036391764879226685,0.011668491363525435,0.02882474660873413,0.005897185587486421,0.028614891543625492,1.0,1,0.022597476840019226,0.011476516723632812,0.09424319118261337,0.026161243723307886,0.06981093349242389,1.0,1
J,Jalan20.csv,64,27,up,51,0.004231162369251251,0.0001873835921287481,0.0209837406873703,0.0,0.0,0.796875,3,0.004231162369251251,0.0001873835921287481,0.0209837406873703,0.0,0.0,0.796875,3
J,Jalan20.csv,64,28,down,76,0.0009940043091773987,0.002816206216812167,0.027013598009943962,0.004322784568296492,0.027585116254846696,1.0,1,0.0,0.0009622752666473278,0.011748125776648521,0.005659879826418484,0.029387595495430213,1.0,1
J,Jalan20.csv,64,29,down,69,0.000494144856929779,0.0013255923986434937,0.00960149709135294,0.0019268212711779458,0.02659007401238052,1.0,1,0.003233887255191803,0.004798373579978921,0.0023896778002381325,0.002817149911683468,0.0269613056565218,1.0,1
