input_path,points_before,points_after,frames_total,frames_invalid,mean_conf,min_conf,subject,trial
E:\0.TA_Teguh\dataset3\J\Jalan1.csv,4994,4365,110,19,0.8140061087704374,0.0,J,1
E:\0.TA_Teguh\dataset3\J\Jalan2.csv,6745,6375,105,5,0.9279113002769848,0.0,J,2
E:\0.TA_Teguh\dataset3\J\Jalan3.csv,6898,5943,119,28,0.7417408098684879,0.0,J,3
E:\0.TA_Teguh\dataset3\J\Jalan4.csv,1354,1180,98,21,0.7768798621140522,0.0,J,4
E:\0.TA_Teguh\dataset3\J\Jalan5.csv,2442,1665,122,44,0.6285007367722223,0.0,J,5
E:\0.TA_Teguh\dataset3\J\Jalan6.csv,4879,3013,120,30,0.7334863749561866,0.0,J,6
E:\0.TA_Teguh\dataset3\J\Jalan7.csv,5028,4056,108,17,0.8188967976221814,0.0,J,7
E:\0.TA_Teguh\dataset3\J\Jalan8.csv,3938,3698,98,15,0.8250743651512824,0.0,J,8
E:\0.TA_Teguh\dataset3\J\Jalan9.csv,5710,4806,115,17,0.8265595999069302,0.0,J,9
E:\0.TA_Teguh\dataset3\J\Jalan10.csv,4724,4208,130,39,0.683494392105808,0.0,J,10
E:\0.TA_Teguh\dataset3\J\Jalan11.csv,5916,5454,127,16,0.8572635424674319,0.0,J,11
E:\0.TA_Teguh\dataset3\J\Jalan12.csv,4939,4660,112,14,0.8520975849560651,0.0,J,12
E:\0.TA_Teguh\dataset3\J\Jalan13.csv,6107,5344,134,26,0.7838539480262218,0.0,J,13
E:\0.TA_Teguh\dataset3\J\Jalan14.csv,4291,3984,115,21,0.7990587309496142,0.0,J,14
E:\0.TA_Teguh\dataset3\J\Jalan15.csv,9992,8014,320,63,0.7884107471840467,0.0,J,15
E:\0.TA_Teguh\dataset3\J\Jalan16.csv,10075,9636,244,11,0.9337400482310225,0.0,J,16
E:\0.TA_Teguh\dataset3\J\Jalan17.csv,9776,9310,228,14,0.9148075633185205,0.0,J,17
E:\0.TA_Teguh\dataset3\J\Jalan18.csv,11686,11265,178,1,0.9640061749896475,0.0,J,18
E:\0.TA_Teguh\dataset3\J\Jalan19.csv,10180,9536,250,27,0.8733379245823144,0.0,J,19
E:\0.TA_Teguh\dataset3\J\Jalan20.csv,11936,11528,233,8,0.9438814045651565,0.0,J,20
E:\0.TA_Teguh\dataset3\J\Jalan21.csv,12496,11970,206,2,0.9569408716379166,0.0,J,21
E:\0.TA_Teguh\dataset3\J\Jalan22.csv,11082,10684,184,3,0.9554911880042991,0.0,J,22
E:\0.TA_Teguh\dataset3\J\Jalan23.csv,19496,16791,541,66,0.8594879257633364,0.0,J,23
E:\0.TA_Teguh\dataset3\J\Jalan24.csv,26649,24610,525,57,0.872408741888487,0.0,J,24
E:\0.TA_Teguh\dataset3\J\Jalan25.csv,3952,3341,96,25,0.7254821145765495,0.0,J,25
E:\0.TA_Teguh\dataset3\J\Jalan26.csv,4468,4241,89,14,0.8155340776363401,0.0,J,26
E:\0.TA_Teguh\dataset3\J\Jalan27.csv,5363,4698,94,14,0.830288740043929,0.0,J,27
E:\0.TA_Teguh\dataset3\J\Jalan28.csv,1064,871,87,28,0.6700910552371777,0.0,J,28
E:\0.TA_Teguh\dataset3\J\Jalan29.csv,1820,1364,94,33,0.6328889846484334,0.0,J,29
E:\0.TA_Teguh\dataset3\J\Jalan30.csv,3353,2277,91,24,0.7198512241063272,0.0,J,30
E:\0.TA_Teguh\dataset3\J\Jalan31.csv,4488,3531,93,24,0.7243687716713381,0.0,J,31
E:\0.TA_Teguh\dataset3\J\Jalan32.csv,3070,2829,79,15,0.7893887977624399,0.0,J,32
E:\0.TA_Teguh\dataset3\J\Jalan33.csv,4087,3646,92,17,0.7979398875885252,0.0,J,33
E:\0.TA_Teguh\dataset3\J\Jalan34.csv,3606,3168,98,27,0.7110038487443144,0.0,J,34
E:\0.TA_Teguh\dataset3\J\Jalan35.csv,4526,3794,96,20,0.7703586632032337,0.0,J,35
E:\0.TA_Teguh\dataset3\J\Jalan36.csv,2894,2602,85,17,0.78501757197303,0.0,J,36
E:\0.TA_Teguh\dataset3\J\Jalan37.csv,3929,3591,98,14,0.8369572563664495,0.0,J,37
E:\0.TA_Teguh\dataset3\J\Jalan38.csv,3636,3382,97,23,0.745803064931161,0.0,J,38
E:\0.TA_Teguh\dataset3\J\Jalan39.csv,8986,8648,198,3,0.961729491383452,0.0,J,39
E:\0.TA_Teguh\dataset3\J\Jalan40.csv,8986,8648,198,3,0.961729491383452,0.0,J,40
E:\0.TA_Teguh\dataset3\J\Jalan41.csv,8912,8501,159,2,0.9563812934939432,0.0,J,41
E:\0.TA_Teguh\dataset3\J\Jalan42.csv,8927,8616,134,2,0.9572365281756247,0.0,J,42
E:\0.TA_Teguh\dataset3\J\Jalan43.csv,9986,9509,193,2,0.9655348461754998,0.0,J,43
E:\0.TA_Teguh\dataset3\J\Jalan44.csv,11224,10779,193,4,0.9528467865683343,0.0,J,44
E:\0.TA_Teguh\dataset3\J\Jalan45.csv,10242,9889,151,0,0.9696867225413761,0.9,J,45
E:\0.TA_Teguh\dataset3\J\Jalan46.csv,9296,8978,123,0,0.9702156177119076,0.9090909090909091,J,46
E:\0.TA_Teguh\dataset3\J\Jalan47.csv,15211,13806,386,54,0.839785510354317,0.0,J,47
E:\0.TA_Teguh\dataset3\J\Jalan48.csv,18564,17308,418,45,0.8721274857282019,0.0,J,48
E:\0.TA_Teguh\dataset3\J\Jalan49.csv,6008,5217,138,26,0.7979466050304994,0.0,J,49
E:\0.TA_Teguh\dataset3\J\Jalan50.csv,6693,6290,130,21,0.8129538886953216,0.0,J,50
E:\0.TA_Teguh\dataset3\J\Jalan51.csv,7635,6590,139,26,0.7897799211783421,0.0,J,51
E:\0.TA_Teguh\dataset3\J\Jalan52.csv,1809,1621,112,24,0.7755444211370263,0.0,J,52
E:\0.TA_Teguh\dataset3\J\Jalan53.csv,2958,1899,148,50,0.654033080444708,0.0,J,53
E:\0.TA_Teguh\dataset3\J\Jalan54.csv,3942,2803,146,42,0.6996119225472334,0.0,J,54
E:\0.TA_Teguh\dataset3\J\Jalan55.csv,7236,6279,138,29,0.7682984612856968,0.0,J,55
E:\0.TA_Teguh\dataset3\J\Jalan56.csv,4484,4264,113,16,0.8352260868314495,0.0,J,56
E:\0.TA_Teguh\dataset3\J\Jalan57.csv,5898,5274,136,28,0.7786769256461769,0.0,J,57
E:\0.TA_Teguh\dataset3\J\Jalan58.csv,4973,4428,140,36,0.7236772337580084,0.0,J,58
E:\0.TA_Teguh\dataset3\J\Jalan59.csv,8155,6520,155,43,0.7024095417655336,0.0,J,59
E:\0.TA_Teguh\dataset3\J\Jalan60.csv,4593,4177,126,19,0.831540484396723,0.0,J,60
E:\0.TA_Teguh\dataset3\J\Jalan61.csv,7183,6430,150,18,0.8575252900554421,0.0,J,61
E:\0.TA_Teguh\dataset3\J\Jalan62.csv,5707,5341,153,32,0.7717771476493193,0.0,J,62
E:\0.TA_Teguh\dataset3\J\Jalan63.csv,10069,7843,361,76,0.7744364590818825,0.0,J,63
E:\0.TA_Teguh\dataset3\J\Jalan64.csv,11515,11083,281,13,0.9333960818617869,0.0,J,64
E:\0.TA_Teguh\dataset3\J\Jalan65.csv,11471,11051,239,11,0.9283830505344804,0.0,J,65
E:\0.TA_Teguh\dataset3\J\Jalan66.csv,11203,10806,191,0,0.9672442733349952,0.9056603773584906,J,66
E:\0.TA_Teguh\dataset3\J\Jalan67.csv,13172,12433,260,1,0.9755581612731211,0.0,J,67
E:\0.TA_Teguh\dataset3\J\Jalan68.csv,13115,12696,233,1,0.9692686249018148,0.0,J,68
E:\0.TA_Teguh\dataset3\J\Jalan69.csv,13514,13078,197,1,0.9655175176845101,0.0,J,69
E:\0.TA_Teguh\dataset3\J\Jalan70.csv,12232,11868,164,1,0.9634904441292228,0.0,J,70
E:\0.TA_Teguh\dataset3\J\Jalan71.csv,21653,19608,597,78,0.8521599777326606,0.0,J,71
E:\0.TA_Teguh\dataset3\J\Jalan72.csv,29003,26673,515,27,0.9273086208535021,0.0,J,72
