timestamp,frame,N_raw,N_roi,valid_minpts,N_inlier,conf
16:27:56.518400,1,5,5,1,5,1.0
16:27:56.578434,2,38,38,1,37,0.9736842105263158
16:27:56.628146,3,5,5,1,5,1.0
16:27:56.684451,4,6,6,1,6,1.0
16:27:56.747869,5,70,70,1,69,0.9857142857142858
16:27:56.797905,6,41,41,1,40,0.975609756097561
16:27:56.853998,7,36,36,1,33,0.9166666666666666
16:27:56.909466,8,26,26,1,24,0.9230769230769231
16:27:56.964446,9,34,34,1,33,0.9705882352941176
16:27:57.020097,10,37,37,1,36,0.972972972972973
16:27:57.073776,11,23,23,1,21,0.9130434782608695
16:27:57.128221,12,23,22,1,21,0.9545454545454546
16:27:57.181832,13,7,7,1,7,1.0
16:27:57.240715,14,35,35,1,35,1.0
16:27:57.295604,15,27,27,1,26,0.9629629629629629
16:27:57.349725,16,18,18,1,18,1.0
16:27:57.401462,17,12,12,1,12,1.0
16:27:57.461314,18,45,45,1,42,0.9333333333333333
16:27:57.511951,19,12,12,1,12,1.0
16:27:57.571443,20,41,41,1,40,0.975609756097561
16:27:57.624443,21,19,19,1,18,0.9473684210526315
16:27:57.676844,22,8,8,1,8,1.0
16:27:57.731856,23,9,9,1,9,1.0
16:27:57.788753,24,23,23,1,22,0.9565217391304348
16:27:57.844709,25,29,29,1,28,0.9655172413793104
16:27:57.898713,26,18,18,1,18,1.0
16:27:57.959297,27,65,65,1,64,0.9846153846153847
16:27:58.014951,28,57,57,1,54,0.9473684210526315
16:27:58.069596,29,57,57,1,56,0.9824561403508771
16:27:58.134425,30,124,124,1,123,0.9919354838709677
16:27:58.178262,31,45,45,1,45,1.0
16:27:58.238494,32,79,79,1,78,0.9873417721518988
16:27:58.296176,33,95,95,1,95,1.0
16:27:58.345461,34,61,61,1,56,0.9180327868852459
16:27:58.400719,35,71,71,1,70,0.9859154929577465
16:27:58.449925,36,25,25,1,25,1.0
16:27:58.510686,37,73,73,1,68,0.9315068493150684
16:27:58.556939,38,9,9,1,9,1.0
16:27:58.619134,39,54,54,1,51,0.9444444444444444
16:27:58.674744,40,52,52,1,48,0.9230769230769231
16:27:58.729006,41,54,54,1,52,0.9629629629629629
16:27:58.785335,42,62,62,1,59,0.9516129032258065
16:27:58.848013,43,116,116,1,112,0.9655172413793104
16:27:58.899540,44,81,81,1,77,0.9506172839506173
16:27:58.958535,45,115,115,1,111,0.9652173913043478
16:27:59.019640,46,150,150,1,146,0.9733333333333334
16:27:59.075077,47,150,150,1,146,0.9733333333333334
16:27:59.129730,48,150,150,1,149,0.9933333333333333
16:27:59.176546,49,94,94,1,90,0.9574468085106383
16:27:59.236270,50,131,131,1,127,0.9694656488549618
16:27:59.292633,51,142,142,1,142,1.0
16:27:59.345635,52,123,123,1,122,0.991869918699187
16:27:59.400752,53,135,135,1,133,0.9851851851851852
16:27:59.449862,54,80,80,1,77,0.9625
16:27:59.510920,55,131,131,1,130,0.9923664122137404
16:27:59.563736,56,111,111,1,106,0.954954954954955
16:27:59.610951,57,60,60,1,56,0.9333333333333333
16:27:59.667600,58,80,80,1,76,0.95
16:27:59.718066,59,45,44,1,42,0.9545454545454546
16:27:59.780405,60,97,97,1,93,0.9587628865979382
16:27:59.823180,61,15,15,1,15,1.0
16:27:59.878768,62,22,22,1,21,0.9545454545454546
16:27:59.931192,63,8,8,1,8,1.0
16:27:59.987377,64,13,13,1,13,1.0
16:28:00.047933,65,51,51,1,51,1.0
16:28:00.107605,66,80,80,1,76,0.95
16:28:00.168832,67,120,120,1,117,0.975
16:28:00.217886,68,75,75,1,71,0.9466666666666667
16:28:00.273047,69,76,76,1,76,1.0
16:28:00.323503,70,49,49,1,46,0.9387755102040817
16:28:00.383635,71,82,82,1,78,0.9512195121951219
16:28:00.436724,72,71,71,1,67,0.9436619718309859
16:28:00.491620,73,72,72,1,68,0.9444444444444444
16:28:00.548213,74,86,86,1,85,0.9883720930232558
16:28:00.604132,75,82,82,1,78,0.9512195121951219
16:28:00.658210,76,80,80,1,76,0.95
16:28:00.713122,77,81,81,1,79,0.9753086419753086
16:28:00.766127,78,67,67,1,66,0.9850746268656716
16:28:00.816842,79,42,42,1,40,0.9523809523809523
16:28:00.876806,80,74,74,1,70,0.9459459459459459
16:28:00.934328,81,89,89,1,87,0.9775280898876404
16:28:00.989412,82,91,91,1,87,0.9560439560439561
16:28:01.048538,83,109,109,1,105,0.963302752293578
16:28:01.102809,84,111,111,1,108,0.972972972972973
16:28:01.159553,85,117,116,1,113,0.9741379310344828
16:28:01.214172,86,121,121,1,118,0.9752066115702479
16:28:01.271953,87,136,136,1,135,0.9926470588235294
16:28:01.326733,88,133,133,1,131,0.9849624060150376
16:28:01.380905,89,127,126,1,125,0.9920634920634921
16:28:01.426782,90,67,65,1,62,0.9538461538461539
16:28:01.486835,91,105,105,1,104,0.9904761904761905
16:28:01.538112,92,86,86,1,82,0.9534883720930233
16:28:01.592569,93,75,75,1,71,0.9466666666666667
16:28:01.646111,94,67,67,1,63,0.9402985074626866
16:28:01.708766,95,123,123,1,121,0.983739837398374
16:28:01.759527,96,86,86,1,81,0.9418604651162791
16:28:01.816426,97,105,105,1,103,0.9809523809523809
16:28:01.873393,98,112,112,1,108,0.9642857142857143
16:28:01.926119,99,105,105,1,103,0.9809523809523809
16:28:02.130136,100,87,87,1,86,0.9885057471264368
16:28:02.147109,101,79,79,1,77,0.9746835443037974
16:28:02.178109,102,63,63,1,62,0.9841269841269841
16:28:02.213212,103,11,11,1,10,0.9090909090909091
16:28:02.245441,104,65,65,1,62,0.9538461538461539
16:28:02.277034,105,46,46,1,45,0.9782608695652174
16:28:02.308859,106,41,41,1,40,0.975609756097561
16:28:02.356289,107,42,42,1,38,0.9047619047619048
16:28:02.412858,108,39,38,1,36,0.9473684210526315
16:28:02.466703,109,40,40,1,38,0.95
16:28:02.526761,110,68,68,1,67,0.9852941176470589
16:28:02.576367,111,25,25,1,24,0.96
16:28:02.630832,112,33,33,1,32,0.9696969696969697
16:28:02.689740,113,63,63,1,59,0.9365079365079365
16:28:02.744996,114,57,57,1,53,0.9298245614035088
