timestamp,frame,N_raw,N_roi,valid_minpts,N_inlier,conf
17:14:27.215428,1,19,0,0,0,0.0
17:14:27.273054,2,35,0,0,0,0.0
17:14:27.326542,3,26,0,0,0,0.0
17:14:27.379661,4,18,0,0,0,0.0
17:14:27.435631,5,26,0,0,0,0.0
17:14:27.491218,6,24,0,0,0,0.0
17:14:27.542820,7,5,0,0,0,0.0
17:14:27.598783,8,5,0,0,0,0.0
17:14:27.653845,9,8,0,0,0,0.0
17:14:27.712350,10,31,0,0,0,0.0
17:14:27.766819,11,30,0,0,0,0.0
17:14:27.824290,12,47,0,0,0,0.0
17:14:27.879347,13,42,9,1,9,1.0
17:14:27.937482,14,65,34,1,34,1.0
17:14:27.990594,15,35,31,1,30,0.967741935483871
17:14:28.044819,16,35,26,1,25,0.9615384615384616
17:14:28.098179,17,24,20,1,19,0.95
17:14:28.156474,18,47,44,1,43,0.9772727272727273
17:14:28.212432,19,54,54,1,53,0.9814814814814815
17:14:28.262708,20,14,12,1,12,1.0
17:14:28.318902,21,20,18,1,17,0.9444444444444444
17:14:28.374924,22,35,33,1,33,1.0
17:14:28.430992,23,36,36,1,34,0.9444444444444444
17:14:28.485350,24,36,36,1,35,0.9722222222222222
17:14:28.540229,25,33,30,1,30,1.0
17:14:28.596749,26,44,40,1,39,0.975
17:14:28.648969,27,30,28,1,27,0.9642857142857143
17:14:28.705183,28,38,37,1,37,1.0
17:14:28.755088,29,5,5,1,5,1.0
17:14:28.813130,30,21,21,1,21,1.0
17:14:28.867329,31,19,19,1,19,1.0
17:14:28.923314,32,20,20,1,19,0.95
17:14:28.982817,33,61,61,1,60,0.9836065573770492
17:14:29.036344,34,42,42,1,41,0.9761904761904762
17:14:29.084937,35,5,5,1,5,1.0
17:14:29.140816,36,8,8,1,8,1.0
17:14:29.196149,37,7,7,1,7,1.0
17:14:29.257289,38,50,50,1,48,0.96
17:14:29.311435,39,45,45,1,45,1.0
17:14:29.365181,40,36,34,1,33,0.9705882352941176
17:14:29.421849,41,44,44,1,43,0.9772727272727273
17:14:29.479038,42,55,53,1,52,0.9811320754716981
17:14:29.530468,43,36,36,1,36,1.0
17:14:29.584989,44,40,40,1,40,1.0
17:14:29.643920,45,59,59,1,59,1.0
17:14:29.698057,46,54,54,1,53,0.9814814814814815
17:14:29.752882,47,49,49,1,49,1.0
17:14:29.806197,48,43,43,1,42,0.9767441860465116
17:14:29.861888,49,41,41,1,40,0.975609756097561
17:14:29.919293,50,60,60,1,59,0.9833333333333333
17:14:29.972932,51,49,46,1,45,0.9782608695652174
17:14:30.027991,52,54,54,1,53,0.9814814814814815
17:14:30.082544,53,46,46,1,45,0.9782608695652174
17:14:30.135638,54,35,35,1,32,0.9142857142857143
17:14:30.195958,55,73,73,1,73,1.0
17:14:30.246929,56,41,41,1,39,0.9512195121951219
17:14:30.304406,57,65,64,1,63,0.984375
17:14:30.351755,58,6,6,1,6,1.0
17:14:30.410870,59,36,36,1,35,0.9722222222222222
17:14:30.461430,60,6,6,1,6,1.0
17:14:30.514435,61,4,4,0,0,0.0
17:14:30.576311,62,36,36,1,35,0.9722222222222222
17:14:30.634501,63,66,66,1,65,0.9848484848484849
17:14:30.689025,64,56,56,1,55,0.9821428571428571
17:14:30.743837,65,49,49,1,47,0.9591836734693877
17:14:30.798916,66,57,57,1,56,0.9824561403508771
17:14:30.850649,67,34,34,1,33,0.9705882352941176
17:14:30.906986,68,54,30,1,30,1.0
17:14:30.966785,69,74,62,1,59,0.9516129032258065
17:14:31.018007,70,52,38,1,37,0.9736842105263158
17:14:31.072379,71,49,48,1,48,1.0
17:14:31.123390,72,21,20,1,19,0.95
17:14:31.177813,73,22,22,1,19,0.8636363636363636
17:14:31.233101,74,25,9,1,8,0.8888888888888888
17:14:31.294892,75,75,65,1,64,0.9846153846153847
17:14:31.353722,76,94,89,1,85,0.9550561797752809
17:14:31.417119,77,149,145,1,144,0.993103448275862
17:14:31.463128,78,80,80,1,77,0.9625
17:14:31.515027,79,64,64,1,62,0.96875
17:14:31.562656,80,14,14,1,14,1.0
17:14:31.617591,81,17,17,1,16,0.9411764705882353
17:14:31.675032,82,29,29,1,28,0.9655172413793104
17:14:31.739211,83,94,94,1,93,0.9893617021276596
17:14:31.794175,84,94,94,1,93,0.9893617021276596
17:14:31.845450,85,68,68,1,68,1.0
17:14:31.901522,86,75,75,1,73,0.9733333333333334
17:14:31.960067,87,96,96,1,96,1.0
17:14:32.011567,88,70,70,1,67,0.9571428571428572
17:14:32.069074,89,93,93,1,93,1.0
17:14:32.122718,90,82,82,1,82,1.0
17:14:32.180061,91,96,96,1,96,1.0
17:14:32.231295,92,70,70,1,70,1.0
17:14:32.288110,93,87,87,1,86,0.9885057471264368
17:14:32.344048,94,95,95,1,93,0.9789473684210527
17:14:32.397886,95,81,81,1,80,0.9876543209876543
17:14:32.451388,96,74,74,1,74,1.0
17:14:32.503864,97,62,62,1,62,1.0
17:14:32.560756,98,70,70,1,70,1.0
17:14:32.612767,99,50,50,1,50,1.0
17:14:32.777507,100,60,60,1,57,0.95
17:14:32.783339,101,61,61,1,61,1.0
17:14:32.818907,102,30,30,1,30,1.0
17:14:32.854346,103,64,64,1,62,0.96875
17:14:33.006506,104,47,47,1,45,0.9574468085106383
17:14:33.036677,105,32,32,1,32,1.0
17:14:33.068351,106,63,63,1,62,0.9841269841269841
17:14:33.098230,107,51,51,1,48,0.9411764705882353
17:14:33.129236,108,35,35,1,34,0.9714285714285714
17:14:33.160844,109,1,1,0,0,0.0
17:14:33.212246,110,18,18,1,18,1.0
