input_path,points_before,points_after,frames_total,frames_invalid,mean_conf,min_conf,subject,trial
E:\0.TA_Teguh\dataset3\G\Jalan1.csv,4709,4514,100,7,0.9055058875685201,0.0,G,1
E:\0.TA_Teguh\dataset3\G\Jalan2.csv,7398,6957,113,12,0.8650711655767469,0.0,G,2
E:\0.TA_Teguh\dataset3\G\Jalan3.csv,5237,4955,108,11,0.8689983687136374,0.0,G,3
E:\0.TA_Teguh\dataset3\G\Jalan4.csv,769,368,105,56,0.45797306397306403,0.0,G,4
E:\0.TA_Teguh\dataset3\G\Jalan5.csv,1819,1453,106,29,0.7112406063015007,0.0,G,5
E:\0.TA_Teguh\dataset3\G\Jalan6.csv,2868,2201,131,43,0.6506514549301634,0.0,G,6
E:\0.TA_Teguh\dataset3\G\Jalan7.csv,5771,4872,124,15,0.8458651658940081,0.0,G,7
E:\0.TA_Teguh\dataset3\G\Jalan8.csv,4287,3968,99,14,0.8324155627324976,0.0,G,8
E:\0.TA_Teguh\dataset3\G\Jalan9.csv,6052,5432,117,20,0.7991599638427177,0.0,G,9
E:\0.TA_Teguh\dataset3\G\Jalan10.csv,4292,3830,133,35,0.7118928157312853,0.0,G,10
E:\0.TA_Teguh\dataset3\G\Jalan11.csv,4554,3799,123,49,0.5800244005881154,0.0,G,11
E:\0.TA_Teguh\dataset3\G\Jalan12.csv,4927,4531,135,38,0.6941249307366401,0.0,G,12
E:\0.TA_Teguh\dataset3\G\Jalan13.csv,6916,6127,131,22,0.8060526594461799,0.0,G,13
E:\0.TA_Teguh\dataset3\G\Jalan14.csv,4636,4119,135,29,0.7617215061215412,0.0,G,14
E:\0.TA_Teguh\dataset3\G\Jalan15.csv,8608,7709,295,60,0.7737832421908283,0.0,G,15
E:\0.TA_Teguh\dataset3\G\Jalan16.csv,10528,9986,245,9,0.9292869810028755,0.0,G,16
E:\0.TA_Teguh\dataset3\G\Jalan17.csv,10857,10270,221,7,0.9280850372572482,0.0,G,17
E:\0.TA_Teguh\dataset3\G\Jalan18.csv,12818,12340,193,2,0.954165801729349,0.0,G,18
E:\0.TA_Teguh\dataset3\G\Jalan19.csv,7979,7406,253,22,0.8840804389559773,0.0,G,19
E:\0.TA_Teguh\dataset3\G\Jalan20.csv,7516,7084,207,11,0.9152475055524113,0.0,G,20
E:\0.TA_Teguh\dataset3\G\Jalan21.csv,9023,8578,176,2,0.9468912023725338,0.0,G,21
E:\0.TA_Teguh\dataset3\G\Jalan22.csv,10568,10146,156,1,0.954484043589453,0.0,G,22
E:\0.TA_Teguh\dataset3\G\Jalan23.csv,15323,13945,449,62,0.8320017444470886,0.0,G,23
E:\0.TA_Teguh\dataset3\G\Jalan24.csv,19988,18704,421,45,0.8631577803406574,0.0,G,24
E:\0.TA_Teguh\dataset3\G\Jalan25.csv,3089,2730,80,16,0.782117007117904,0.0,G,25
E:\0.TA_Teguh\dataset3\G\Jalan26.csv,5952,5389,94,17,0.7932326343900126,0.0,G,26
E:\0.TA_Teguh\dataset3\G\Jalan27.csv,4222,3829,84,17,0.7674821765530795,0.0,G,27
E:\0.TA_Teguh\dataset3\G\Jalan28.csv,595,406,84,41,0.5082230957769018,0.0,G,28
E:\0.TA_Teguh\dataset3\G\Jalan29.csv,1715,990,105,48,0.5292158266311441,0.0,G,29
E:\0.TA_Teguh\dataset3\G\Jalan30.csv,3235,2387,95,25,0.7082326461710855,0.0,G,30
E:\0.TA_Teguh\dataset3\G\Jalan31.csv,4302,3223,92,33,0.6173032691139703,0.0,G,31
E:\0.TA_Teguh\dataset3\G\Jalan32.csv,2976,2832,70,7,0.8743144880828794,0.0,G,32
E:\0.TA_Teguh\dataset3\G\Jalan33.csv,3965,3072,101,37,0.6047091113318255,0.0,G,33
E:\0.TA_Teguh\dataset3\G\Jalan34.csv,2923,2574,92,33,0.6200200567443097,0.0,G,34
E:\0.TA_Teguh\dataset3\G\Jalan35.csv,3756,3058,112,47,0.560305714360279,0.0,G,35
E:\0.TA_Teguh\dataset3\G\Jalan36.csv,4055,3713,93,3,0.933784620444421,0.0,G,36
E:\0.TA_Teguh\dataset3\G\Jalan37.csv,4846,4369,95,10,0.8605524300237855,0.0,G,37
E:\0.TA_Teguh\dataset3\G\Jalan38.csv,3391,3103,90,18,0.7732556946432562,0.0,G,38
E:\0.TA_Teguh\dataset3\G\Jalan39.csv,8017,7044,202,17,0.8875589888337211,0.0,G,39
E:\0.TA_Teguh\dataset3\G\Jalan40.csv,7984,7540,195,16,0.8878027532868746,0.0,G,40
E:\0.TA_Teguh\dataset3\G\Jalan41.csv,9806,9322,170,1,0.950381364423818,0.0,G,41
E:\0.TA_Teguh\dataset3\G\Jalan42.csv,10431,9955,148,1,0.9508168503408554,0.0,G,42
E:\0.TA_Teguh\dataset3\G\Jalan43.csv,7273,6513,187,16,0.8865994125723033,0.0,G,43
E:\0.TA_Teguh\dataset3\G\Jalan44.csv,7417,7009,179,3,0.9470960316242497,0.0,G,44
E:\0.TA_Teguh\dataset3\G\Jalan45.csv,9042,8587,151,2,0.9440612370964908,0.0,G,45
E:\0.TA_Teguh\dataset3\G\Jalan46.csv,7088,6745,102,0,0.9534727934553912,0.8611111111111112,G,46
E:\0.TA_Teguh\dataset3\G\Jalan47.csv,13381,12196,335,39,0.854065236673502,0.0,G,47
