input_path,points_before,points_after,frames_total,frames_invalid,mean_conf,min_conf,subject,trial
E:\0.TA_Teguh\dataset3\E\Jalan1.csv,4712,4167,134,46,0.6371764871728626,0.0,E,1
E:\0.TA_Teguh\dataset3\E\Jalan2.csv,7331,6659,125,32,0.718329902836812,0.0,E,2
E:\0.TA_Teguh\dataset3\E\Jalan3.csv,6059,5410,123,34,0.6979971210610068,0.0,E,3
E:\0.TA_Teguh\dataset3\E\Jalan4.csv,1372,794,109,76,0.29089252510183017,0.0,E,4
E:\0.TA_Teguh\dataset3\E\Jalan5.csv,2384,1422,119,71,0.39351703153882267,0.0,E,5
E:\0.TA_Teguh\dataset3\E\Jalan6.csv,3757,2291,117,59,0.4751638381436165,0.0,E,6
E:\0.TA_Teguh\dataset3\E\Jalan7.csv,5054,4101,117,41,0.6282187012095148,0.0,E,7
E:\0.TA_Teguh\dataset3\E\Jalan8.csv,3883,3567,103,35,0.6386774501046921,0.0,E,8
E:\0.TA_Teguh\dataset3\E\Jalan9.csv,8688,4310,142,71,0.48086628118048946,0.0,E,9
E:\0.TA_Teguh\dataset3\E\Jalan10.csv,4247,3797,120,45,0.603151866225098,0.0,E,10
E:\0.TA_Teguh\dataset3\E\Jalan11.csv,4183,3392,123,53,0.5474909439265548,0.0,E,11
E:\0.TA_Teguh\dataset3\E\Jalan12.csv,4737,4313,105,22,0.7575803435512881,0.0,E,12
E:\0.TA_Teguh\dataset3\E\Jalan13.csv,5841,5108,126,37,0.6806865142848431,0.0,E,13
E:\0.TA_Teguh\dataset3\E\Jalan14.csv,4027,3550,124,50,0.5747125383776003,0.0,E,14
E:\0.TA_Teguh\dataset3\E\Jalan15.csv,9093,7335,323,136,0.5592341483771398,0.0,E,15
E:\0.TA_Teguh\dataset3\E\Jalan16.csv,10169,9267,269,82,0.672584685468284,0.0,E,16
E:\0.TA_Teguh\dataset3\E\Jalan17.csv,11378,10602,253,51,0.7683470932800074,0.0,E,17
E:\0.TA_Teguh\dataset3\E\Jalan18.csv,10119,9607,171,12,0.889987022552431,0.0,E,18
E:\0.TA_Teguh\dataset3\E\Jalan19.csv,9508,7943,269,80,0.6776607939164856,0.0,E,19
E:\0.TA_Teguh\dataset3\E\Jalan20.csv,10107,9439,234,42,0.7935062293283229,0.0,E,20
E:\0.TA_Teguh\dataset3\E\Jalan21.csv,8889,8296,204,38,0.7833681497677663,0.0,E,21
E:\0.TA_Teguh\dataset3\E\Jalan22.csv,10470,10021,161,9,0.9107482615299536,0.0,E,22
E:\0.TA_Teguh\dataset3\E\Jalan23.csv,15683,13838,452,136,0.6743887477297844,0.0,E,23
E:\0.TA_Teguh\dataset3\E\Jalan24.csv,21102,19440,429,77,0.7986193754121766,0.0,E,24
E:\0.TA_Teguh\dataset3\E\Jalan25.csv,2447,2086,74,18,0.7380905374046233,0.0,E,25
E:\0.TA_Teguh\dataset3\E\Jalan26.csv,5112,4680,85,11,0.8319479504686961,0.0,E,26
E:\0.TA_Teguh\dataset3\E\Jalan27.csv,5642,4873,98,30,0.6691442157545292,0.0,E,27
E:\0.TA_Teguh\dataset3\E\Jalan28.csv,895,484,83,60,0.2672814971137844,0.0,E,28
E:\0.TA_Teguh\dataset3\E\Jalan29.csv,2059,1377,82,40,0.49156776215562686,0.0,E,29
E:\0.TA_Teguh\dataset3\E\Jalan30.csv,3528,2544,93,38,0.5629417122929665,0.0,E,30
E:\0.TA_Teguh\dataset3\E\Jalan31.csv,4788,4095,86,14,0.8063989687986917,0.0,E,31
E:\0.TA_Teguh\dataset3\E\Jalan32.csv,2600,2361,74,25,0.637346124522409,0.0,E,32
E:\0.TA_Teguh\dataset3\E\Jalan33.csv,4236,3204,97,43,0.5325839217429803,0.0,E,33
E:\0.TA_Teguh\dataset3\E\Jalan34.csv,3387,2815,100,42,0.5568629152488969,0.0,E,34
E:\0.TA_Teguh\dataset3\E\Jalan35.csv,3591,3255,88,26,0.6851763705542445,0.0,E,35
E:\0.TA_Teguh\dataset3\E\Jalan36.csv,3475,3192,80,13,0.7976803460606118,0.0,E,36
E:\0.TA_Teguh\dataset3\E\Jalan37.csv,4071,3745,100,26,0.7151334626527438,0.0,E,37
E:\0.TA_Teguh\dataset3\E\Jalan38.csv,3147,2811,92,34,0.6108238697395764,0.0,E,38
E:\0.TA_Teguh\dataset3\E\Jalan39.csv,7246,5775,231,92,0.5819011901574515,0.0,E,39
E:\0.TA_Teguh\dataset3\E\Jalan40.csv,7642,7030,180,47,0.7127409270041672,0.0,E,40
E:\0.TA_Teguh\dataset3\E\Jalan41.csv,9452,8972,167,10,0.9040319461941937,0.0,E,41
E:\0.TA_Teguh\dataset3\E\Jalan42.csv,10043,9639,143,5,0.929254897356024,0.0,E,42
E:\0.TA_Teguh\dataset3\E\Jalan43.csv,8037,6384,210,59,0.6955514386306547,0.0,E,43
E:\0.TA_Teguh\dataset3\E\Jalan44.csv,9409,8708,187,19,0.8696032402318234,0.0,E,44
E:\0.TA_Teguh\dataset3\E\Jalan45.csv,8538,8051,147,9,0.8954729452585296,0.0,E,45
E:\0.TA_Teguh\dataset3\E\Jalan46.csv,8921,8509,122,2,0.9400354135436677,0.0,E,46
E:\0.TA_Teguh\dataset3\E\Jalan47.csv,13840,12427,345,80,0.7406697163837237,0.0,E,47
E:\0.TA_Teguh\dataset3\E\Jalan48.csv,15873,14760,351,69,0.7793132510480434,0.0,E,48
E:\0.TA_Teguh\dataset3\E\Jalan49.csv,4519,4139,114,19,0.8166714592655153,0.0,E,49
E:\0.TA_Teguh\dataset3\E\Jalan50.csv,6569,6048,120,30,0.7231888416420135,0.0,E,50
E:\0.TA_Teguh\dataset3\E\Jalan51.csv,7914,7286,148,25,0.8039990073936298,0.0,E,51
E:\0.TA_Teguh\dataset3\E\Jalan52.csv,1799,1282,125,70,0.42421819064622895,0.0,E,52
E:\0.TA_Teguh\dataset3\E\Jalan53.csv,4042,2509,163,86,0.4561425726845304,0.0,E,53
E:\0.TA_Teguh\dataset3\E\Jalan54.csv,4881,3598,158,70,0.5311806936501099,0.0,E,54
E:\0.TA_Teguh\dataset3\E\Jalan55.csv,8199,6837,158,39,0.7238847602566453,0.0,E,55
E:\0.TA_Teguh\dataset3\E\Jalan56.csv,5847,5333,132,35,0.7091247349165224,0.0,E,56
E:\0.TA_Teguh\dataset3\E\Jalan57.csv,5956,4781,152,62,0.5719597432505297,0.0,E,57
E:\0.TA_Teguh\dataset3\E\Jalan58.csv,5480,4928,148,53,0.6160680686339867,0.0,E,58
E:\0.TA_Teguh\dataset3\E\Jalan59.csv,7080,5920,150,54,0.6157217328113538,0.0,E,59
E:\0.TA_Teguh\dataset3\E\Jalan60.csv,6599,6116,135,25,0.7820664659453617,0.0,E,60
E:\0.TA_Teguh\dataset3\E\Jalan61.csv,9524,8968,184,21,0.8527130206498306,0.0,E,61
E:\0.TA_Teguh\dataset3\E\Jalan62.csv,7127,6517,180,41,0.7513122811154667,0.0,E,62
E:\0.TA_Teguh\dataset3\E\Jalan63.csv,13485,10613,386,135,0.6305245454407041,0.0,E,63
E:\0.TA_Teguh\dataset3\E\Jalan64.csv,13081,12066,330,79,0.7345921253123527,0.0,E,64
E:\0.TA_Teguh\dataset3\E\Jalan65.csv,14339,13586,270,25,0.87087222896072,0.0,E,65
E:\0.TA_Teguh\dataset3\E\Jalan66.csv,14836,14178,237,9,0.9206363982693176,0.0,E,66
E:\0.TA_Teguh\dataset3\E\Jalan67.csv,9630,8434,295,94,0.6604656595584497,0.0,E,67
E:\0.TA_Teguh\dataset3\E\Jalan68.csv,12901,12344,204,13,0.9070644711006489,0.0,E,68
E:\0.TA_Teguh\dataset3\E\Jalan69.csv,10699,10073,234,35,0.8212168717083485,0.0,E,69
E:\0.TA_Teguh\dataset3\E\Jalan70.csv,11399,10909,164,7,0.9205255720319551,0.0,E,70
E:\0.TA_Teguh\dataset3\E\Jalan71.csv,20533,18341,549,155,0.69292686217463,0.0,E,71
E:\0.TA_Teguh\dataset3\E\Jalan72.csv,26550,24987,474,61,0.8451626930533408,0.0,E,72
