input_path,points_before,points_after,frames_total,frames_invalid,mean_conf,min_conf,subject,trial
E:\0.TA_Teguh\dataset3\C\Jalan1.csv,4900,4322,158,28,0.7813099896677462,0.0,C,1
E:\0.TA_Teguh\dataset3\C\Jalan2.csv,7355,6852,149,21,0.8057596141733819,0.0,C,2
E:\0.TA_Teguh\dataset3\C\Jalan3.csv,10578,9269,183,36,0.7643177456585432,0.0,C,3
E:\0.TA_Teguh\dataset3\C\Jalan4.csv,1451,1118,126,47,0.5930769452462309,0.0,C,4
E:\0.TA_Teguh\dataset3\C\Jalan5.csv,1830,1099,160,95,0.3863339377989433,0.0,C,5
E:\0.TA_Teguh\dataset3\C\Jalan6.csv,3008,2208,161,68,0.5497564669997844,0.0,C,6
E:\0.TA_Teguh\dataset3\C\Jalan7.csv,5889,4353,180,42,0.7162432844026319,0.0,C,7
E:\0.TA_Teguh\dataset3\C\Jalan8.csv,5192,4876,141,32,0.7369464258980039,0.0,C,8
E:\0.TA_Teguh\dataset3\C\Jalan9.csv,4357,3817,155,51,0.6435464195547351,0.0,C,9
E:\0.TA_Teguh\dataset3\C\Jalan10.csv,5260,4718,176,62,0.6174909957794011,0.0,C,10
E:\0.TA_Teguh\dataset3\C\Jalan11.csv,6301,5175,160,50,0.6525261426086326,0.0,C,11
E:\0.TA_Teguh\dataset3\C\Jalan12.csv,5562,5079,149,25,0.7812693981897818,0.0,C,12
E:\0.TA_Teguh\dataset3\C\Jalan13.csv,7144,6192,187,48,0.7064146989964548,0.0,C,13
E:\0.TA_Teguh\dataset3\C\Jalan14.csv,4385,3963,156,37,0.7289533094593665,0.0,C,14
E:\0.TA_Teguh\dataset3\C\Jalan15.csv,13239,11552,450,90,0.7565712794197657,0.0,C,15
E:\0.TA_Teguh\dataset3\C\Jalan16.csv,14787,13630,348,15,0.9020920374341693,0.0,C,16
E:\0.TA_Teguh\dataset3\C\Jalan17.csv,14834,13903,320,15,0.8980759349462115,0.0,C,17
E:\0.TA_Teguh\dataset3\C\Jalan18.csv,12298,11547,231,7,0.9155064044994504,0.0,C,18
E:\0.TA_Teguh\dataset3\C\Jalan19.csv,12702,11554,370,44,0.8359091960003082,0.0,C,19
E:\0.TA_Teguh\dataset3\C\Jalan20.csv,11493,10686,334,32,0.8568997076624791,0.0,C,20
E:\0.TA_Teguh\dataset3\C\Jalan21.csv,14260,13447,272,11,0.9119440411359641,0.0,C,21
E:\0.TA_Teguh\dataset3\C\Jalan22.csv,14056,13244,228,4,0.9248363918265158,0.0,C,22
E:\0.TA_Teguh\dataset3\C\Jalan23.csv,19531,16052,658,139,0.7476270534088976,0.0,C,23
E:\0.TA_Teguh\dataset3\C\Jalan24.csv,25393,23237,664,88,0.8232536534880496,0.0,C,24
E:\0.TA_Teguh\dataset3\C\Jalan25.csv,3772,3139,134,44,0.64343753423427,0.0,C,25
E:\0.TA_Teguh\dataset3\C\Jalan26.csv,7483,6972,153,26,0.7870085397175206,0.0,C,26
E:\0.TA_Teguh\dataset3\C\Jalan27.csv,6355,5360,123,29,0.7222806679823568,0.0,C,27
E:\0.TA_Teguh\dataset3\C\Jalan28.csv,942,717,93,29,0.6626115670323,0.0,C,28
E:\0.TA_Teguh\dataset3\C\Jalan29.csv,1389,939,117,57,0.4948279162274288,0.0,C,29
E:\0.TA_Teguh\dataset3\C\Jalan30.csv,2342,1566,131,54,0.547903143838933,0.0,C,30
E:\0.TA_Teguh\dataset3\C\Jalan31.csv,3938,2619,136,41,0.6563899489960567,0.0,C,31
E:\0.TA_Teguh\dataset3\C\Jalan32.csv,4713,4419,104,24,0.7292703546970541,0.0,C,32
E:\0.TA_Teguh\dataset3\C\Jalan33.csv,4802,3932,122,37,0.6529629754636428,0.0,C,33
E:\0.TA_Teguh\dataset3\C\Jalan34.csv,3835,3085,136,48,0.6053886377292299,0.0,C,34
E:\0.TA_Teguh\dataset3\C\Jalan35.csv,3030,2638,120,32,0.6917118689800584,0.0,C,35
E:\0.TA_Teguh\dataset3\C\Jalan36.csv,5084,4572,140,39,0.6853451382086677,0.0,C,36
E:\0.TA_Teguh\dataset3\C\Jalan37.csv,4794,4106,125,31,0.7133168281854882,0.0,C,37
E:\0.TA_Teguh\dataset3\C\Jalan38.csv,2855,2379,132,54,0.5602657898835062,0.0,C,38
E:\0.TA_Teguh\dataset3\C\Jalan39.csv,8928,7702,278,38,0.8175007575578566,0.0,C,39
E:\0.TA_Teguh\dataset3\C\Jalan40.csv,10908,10117,260,14,0.8909963376392033,0.0,C,40
E:\0.TA_Teguh\dataset3\C\Jalan41.csv,9820,9111,205,5,0.9190814202980463,0.0,C,41
E:\0.TA_Teguh\dataset3\C\Jalan42.csv,8401,7913,144,0,0.9441663546124283,0.8125,C,42
E:\0.TA_Teguh\dataset3\C\Jalan43.csv,9929,8825,263,26,0.8599303072964051,0.0,C,43
E:\0.TA_Teguh\dataset3\C\Jalan44.csv,12201,11326,265,14,0.8942714174390463,0.0,C,44
E:\0.TA_Teguh\dataset3\C\Jalan45.csv,9976,9251,210,4,0.9169594105684111,0.0,C,45
E:\0.TA_Teguh\dataset3\C\Jalan46.csv,11636,10955,199,1,0.9389196284501,0.0,C,46
E:\0.TA_Teguh\dataset3\C\Jalan47.csv,13863,11519,486,92,0.7653339811096984,0.0,C,47
E:\0.TA_Teguh\dataset3\C\Jalan48.csv,18076,16629,478,50,0.8465784849372202,0.0,C,48
E:\0.TA_Teguh\dataset3\C\Jalan49.csv,5067,4549,143,22,0.8080402505748034,0.0,C,49
E:\0.TA_Teguh\dataset3\C\Jalan50.csv,8062,7514,172,17,0.8473208656409924,0.0,C,50
E:\0.TA_Teguh\dataset3\C\Jalan51.csv,10243,8881,176,36,0.7594545087404583,0.0,C,51
E:\0.TA_Teguh\dataset3\C\Jalan52.csv,1782,1377,155,69,0.5214453544229063,0.0,C,52
E:\0.TA_Teguh\dataset3\C\Jalan53.csv,2174,1414,155,77,0.48100797286065755,0.0,C,53
E:\0.TA_Teguh\dataset3\C\Jalan54.csv,3836,2469,161,51,0.6476049084799097,0.0,C,54
