timestamp,frame,N_raw,N_roi,valid_minpts,N_inlier,conf
14:50:08.463643,1,13,13,1,13,1.0
14:50:08.517292,2,6,6,0,0,0.0
14:50:08.575351,3,28,28,1,28,1.0
14:50:08.628893,4,7,7,1,7,1.0
14:50:08.683759,5,6,6,0,0,0.0
14:50:08.741560,6,22,22,1,21,0.9545454545454546
14:50:08.794179,7,6,6,0,0,0.0
14:50:08.850420,8,10,10,1,10,1.0
14:50:08.905077,9,9,9,1,9,1.0
14:50:08.959114,10,7,7,1,7,1.0
14:50:09.016937,11,23,23,1,22,0.9565217391304348
14:50:09.071745,12,26,26,1,25,0.9615384615384616
14:50:09.128669,13,35,35,1,34,0.9714285714285714
14:50:09.180814,14,18,18,1,18,1.0
14:50:09.235369,15,9,9,1,9,1.0
14:50:09.289064,16,5,5,0,0,0.0
14:50:09.344447,17,5,5,0,0,0.0
14:50:09.397585,18,3,3,0,0,0.0
14:50:09.454438,19,5,5,0,0,0.0
14:50:09.508961,20,6,6,0,0,0.0
14:50:09.564237,21,6,6,0,0,0.0
14:50:09.620066,22,8,8,1,8,1.0
14:50:09.675589,23,8,8,1,8,1.0
14:50:09.729553,24,8,8,1,8,1.0
14:50:09.783782,25,5,5,0,0,0.0
14:50:09.838753,26,6,6,0,0,0.0
14:50:09.894353,27,10,10,1,10,1.0
14:50:09.949793,28,8,8,1,8,1.0
14:50:10.006107,29,20,20,1,20,1.0
14:50:10.059575,30,12,12,1,12,1.0
14:50:10.118318,31,33,33,1,33,1.0
14:50:10.170750,32,13,13,1,12,0.9230769230769231
14:50:10.225323,33,13,13,1,13,1.0
14:50:10.280136,34,9,9,1,9,1.0
14:50:10.333829,35,8,8,1,8,1.0
14:50:10.391939,36,27,27,1,26,0.9629629629629629
14:50:10.446872,37,28,28,1,28,1.0
14:50:10.502294,38,27,27,1,26,0.9629629629629629
14:50:10.559715,39,41,41,1,38,0.926829268292683
14:50:10.613750,40,32,32,1,30,0.9375
14:50:10.666610,41,17,17,1,16,0.9411764705882353
14:50:10.720577,42,20,20,1,19,0.95
14:50:10.778437,43,34,34,1,33,0.9705882352941176
14:50:10.833560,44,32,32,1,31,0.96875
14:50:10.891407,45,55,55,1,53,0.9636363636363636
14:50:10.942347,46,22,22,1,21,0.9545454545454546
14:50:11.003016,47,70,70,1,66,0.9428571428571428
14:50:11.051905,48,22,22,1,22,1.0
14:50:11.109052,49,34,34,1,33,0.9705882352941176
14:50:11.169251,50,73,73,1,69,0.9452054794520548
14:50:11.232223,51,132,132,1,127,0.9621212121212122
14:50:11.283208,52,84,84,1,82,0.9761904761904762
14:50:11.334674,53,72,72,1,67,0.9305555555555556
14:50:11.385377,54,42,42,1,40,0.9523809523809523
14:50:11.445100,55,82,82,1,80,0.975609756097561
14:50:11.492945,56,26,26,1,24,0.9230769230769231
14:50:11.553712,57,72,72,1,68,0.9444444444444444
14:50:11.607384,58,58,58,1,56,0.9655172413793104
14:50:11.664037,59,71,71,1,69,0.971830985915493
14:50:11.719982,60,67,67,1,64,0.9552238805970149
14:50:11.766358,61,19,19,1,19,1.0
14:50:11.820770,62,16,16,1,16,1.0
14:50:11.881221,63,55,55,1,51,0.9272727272727272
14:50:11.941264,64,88,88,1,85,0.9659090909090909
14:50:12.003319,65,127,127,1,122,0.9606299212598425
14:50:12.052701,66,85,85,1,81,0.9529411764705882
14:50:12.115837,67,147,147,1,143,0.9727891156462585
14:50:12.166445,68,113,113,1,113,1.0
14:50:12.213203,69,63,63,1,63,1.0
14:50:12.268647,70,72,72,1,72,1.0
14:50:12.327245,71,99,99,1,99,1.0
14:50:12.377501,72,55,52,1,51,0.9807692307692307
14:50:12.436226,73,79,77,1,73,0.948051948051948
14:50:12.491001,74,77,77,1,74,0.961038961038961
14:50:12.539728,75,40,40,1,39,0.975
14:50:12.596254,76,53,53,1,50,0.9433962264150944
14:50:12.650255,77,44,44,1,40,0.9090909090909091
14:50:12.707016,78,63,63,1,61,0.9682539682539683
14:50:12.755201,79,11,11,1,11,1.0
14:50:12.820899,80,92,92,1,89,0.967391304347826
14:50:12.881864,81,117,117,1,116,0.9914529914529915
14:50:12.928614,82,59,59,1,58,0.9830508474576272
14:50:12.986317,83,81,81,1,79,0.9753086419753086
14:50:13.038846,84,71,71,1,68,0.9577464788732394
14:50:13.095462,85,81,81,1,78,0.9629629629629629
14:50:13.151023,86,87,87,1,86,0.9885057471264368
14:50:13.206576,87,88,88,1,85,0.9659090909090909
14:50:13.262508,88,96,96,1,94,0.9791666666666666
14:50:13.314804,89,69,69,1,65,0.9420289855072463
14:50:13.371493,90,87,87,1,82,0.9425287356321839
14:50:13.425614,91,83,83,1,82,0.9879518072289156
14:50:13.479180,92,68,68,1,67,0.9852941176470589
14:50:13.538690,93,103,103,1,102,0.9902912621359223
14:50:13.595340,94,111,111,1,111,1.0
14:50:13.645825,95,78,78,1,75,0.9615384615384616
14:50:13.700306,96,84,84,1,79,0.9404761904761905
14:50:13.752909,97,66,66,1,63,0.9545454545454546
14:50:13.809017,98,73,73,1,71,0.9726027397260274
14:50:13.863861,99,71,71,1,70,0.9859154929577465
14:50:14.021297,100,26,26,1,26,1.0
14:50:14.036914,101,52,52,1,52,1.0
14:50:14.068937,102,38,38,1,36,0.9473684210526315
14:50:14.099443,103,33,32,1,32,1.0
14:50:14.134353,104,42,42,1,39,0.9285714285714286
14:50:14.194861,105,77,77,1,75,0.974025974025974
14:50:14.249951,106,74,74,1,74,1.0
14:50:14.298121,107,30,30,1,30,1.0
14:50:14.362691,108,98,98,1,94,0.9591836734693877
14:50:14.412406,109,56,56,1,55,0.9821428571428571
14:50:14.464683,110,45,45,1,44,0.9777777777777777
