input_path,points_before,points_after,frames_total,frames_invalid,mean_conf,min_conf,subject,trial
E:\0.TA_Teguh\dataset3\I\Jalan1.csv,4231,3776,120,34,0.7040544584555956,0.0,I,1
E:\0.TA_Teguh\dataset3\I\Jalan2.csv,7582,7114,113,16,0.8288335617948034,0.0,I,2
E:\0.TA_Teguh\dataset3\I\Jalan3.csv,6845,6062,111,22,0.7793909016266343,0.0,I,3
E:\0.TA_Teguh\dataset3\I\Jalan4.csv,1565,1135,102,48,0.5169145731825258,0.0,I,4
E:\0.TA_Teguh\dataset3\I\Jalan5.csv,3098,1581,129,62,0.5075974175855953,0.0,I,5
E:\0.TA_Teguh\dataset3\I\Jalan6.csv,4601,3646,117,30,0.7216109166848885,0.0,I,6
E:\0.TA_Teguh\dataset3\I\Jalan7.csv,5206,4409,117,30,0.7209818750918158,0.0,I,7
E:\0.TA_Teguh\dataset3\I\Jalan8.csv,4386,4164,96,18,0.7836504759198766,0.0,I,8
E:\0.TA_Teguh\dataset3\I\Jalan9.csv,5396,4616,117,29,0.7297378671656769,0.0,I,9
E:\0.TA_Teguh\dataset3\I\Jalan10.csv,5214,4698,135,45,0.650886233676952,0.0,I,10
E:\0.TA_Teguh\dataset3\I\Jalan11.csv,6448,5032,123,42,0.6431868506912709,0.0,I,11
E:\0.TA_Teguh\dataset3\I\Jalan12.csv,4607,4254,122,26,0.7661321134462371,0.0,I,12
E:\0.TA_Teguh\dataset3\I\Jalan13.csv,7314,6810,134,16,0.8554207902373733,0.0,I,13
E:\0.TA_Teguh\dataset3\I\Jalan14.csv,5246,4891,121,23,0.7870426005172032,0.0,I,14
E:\0.TA_Teguh\dataset3\I\Jalan15.csv,11801,11102,285,33,0.8659022888061835,0.0,I,15
E:\0.TA_Teguh\dataset3\I\Jalan16.csv,13789,13043,274,19,0.9039832572996025,0.0,I,16
E:\0.TA_Teguh\dataset3\I\Jalan17.csv,12893,12265,228,9,0.931897362147691,0.0,I,17
E:\0.TA_Teguh\dataset3\I\Jalan18.csv,12079,11575,174,1,0.9605989849692015,0.0,I,18
E:\0.TA_Teguh\dataset3\I\Jalan19.csv,11062,10481,239,21,0.8918919962251818,0.0,I,19
E:\0.TA_Teguh\dataset3\I\Jalan20.csv,10722,10232,216,13,0.9151026583399895,0.0,I,20
E:\0.TA_Teguh\dataset3\I\Jalan21.csv,12599,12108,212,7,0.939620526283962,0.0,I,21
E:\0.TA_Teguh\dataset3\I\Jalan22.csv,11238,10887,133,0,0.9711080497908801,0.8636363636363636,I,22
E:\0.TA_Teguh\dataset3\I\Jalan23.csv,18905,17556,406,42,0.8717051019456087,0.0,I,23
E:\0.TA_Teguh\dataset3\I\Jalan24.csv,22905,21491,429,60,0.8380832054549526,0.0,I,24
E:\0.TA_Teguh\dataset3\I\Jalan25.csv,3812,3453,81,12,0.8337491613840158,0.0,I,25
E:\0.TA_Teguh\dataset3\I\Jalan26.csv,5822,5369,92,13,0.836446743030137,0.0,I,26
E:\0.TA_Teguh\dataset3\I\Jalan27.csv,5501,5065,86,9,0.8663210310625111,0.0,I,27
E:\0.TA_Teguh\dataset3\I\Jalan28.csv,949,645,82,51,0.3689092253289848,0.0,I,28
E:\0.TA_Teguh\dataset3\I\Jalan29.csv,2469,1837,97,40,0.5718243744958244,0.0,I,29
E:\0.TA_Teguh\dataset3\I\Jalan30.csv,3492,2727,97,29,0.6815493944016109,0.0,I,30
E:\0.TA_Teguh\dataset3\I\Jalan31.csv,4740,3824,82,19,0.7470550414628117,0.0,I,31
E:\0.TA_Teguh\dataset3\I\Jalan32.csv,3449,3256,80,16,0.7720060613346242,0.0,I,32
E:\0.TA_Teguh\dataset3\I\Jalan33.csv,5049,4276,91,20,0.7534411884662058,0.0,I,33
E:\0.TA_Teguh\dataset3\I\Jalan34.csv,3848,3540,96,28,0.6911322898621689,0.0,I,34
E:\0.TA_Teguh\dataset3\I\Jalan35.csv,3987,3364,88,20,0.7489680778507175,0.0,I,35
E:\0.TA_Teguh\dataset3\I\Jalan36.csv,3911,3636,86,17,0.7829146045923833,0.0,I,36
E:\0.TA_Teguh\dataset3\I\Jalan37.csv,4756,4248,94,21,0.7532744402084303,0.0,I,37
E:\0.TA_Teguh\dataset3\I\Jalan38.csv,4377,3997,91,19,0.766144224957043,0.0,I,38
E:\0.TA_Teguh\dataset3\I\Jalan39.csv,9455,8841,216,27,0.8544542841504063,0.0,I,39
