timestamp,frame,N_raw,N_roi,valid_minpts,N_inlier,conf
15:17:50.858349,2,1,1,0,0,0.0
15:17:50.913041,3,2,2,0,0,0.0
15:17:50.968069,4,2,2,0,0,0.0
15:17:51.134388,7,2,1,0,0,0.0
15:17:51.188353,8,1,1,0,0,0.0
15:17:51.245137,9,2,1,0,0,0.0
15:17:51.574800,15,1,1,0,0,0.0
15:17:51.683688,17,1,1,0,0,0.0
15:17:52.012996,23,1,1,0,0,0.0
15:17:52.068338,24,1,1,0,0,0.0
15:17:52.233151,27,1,1,0,0,0.0
15:17:52.288883,28,2,2,0,0,0.0
15:17:52.344785,29,4,4,0,0,0.0
15:17:52.399690,30,2,2,0,0,0.0
15:17:52.508688,32,1,1,0,0,0.0
15:17:52.620192,34,6,6,0,0,0.0
15:17:52.674654,35,1,1,0,0,0.0
15:17:52.728378,36,2,2,0,0,0.0
15:17:52.785674,37,9,9,1,7,0.7777777777777778
15:17:52.841181,38,16,16,1,16,1.0
15:17:52.897569,39,15,15,1,15,1.0
15:17:52.956007,40,49,49,1,46,0.9387755102040817
15:17:53.012265,41,39,39,1,39,1.0
15:17:53.066760,42,42,42,1,38,0.9047619047619048
15:17:53.116553,43,5,5,0,0,0.0
15:17:53.172521,44,9,9,1,9,1.0
15:17:53.229283,45,24,24,1,22,0.9166666666666666
15:17:53.285591,46,31,31,1,30,0.967741935483871
15:17:53.343565,47,54,54,1,52,0.9629629629629629
15:17:53.397145,48,38,38,1,34,0.8947368421052632
15:17:53.453218,49,49,49,1,46,0.9387755102040817
15:17:53.512818,50,74,74,1,73,0.9864864864864865
15:17:53.568359,51,84,84,1,81,0.9642857142857143
15:17:53.621232,52,58,57,1,53,0.9298245614035088
15:17:53.671921,53,42,41,1,39,0.9512195121951219
15:17:53.725014,54,25,25,1,25,1.0
15:17:53.781395,55,35,35,1,33,0.9428571428571428
15:17:53.838426,56,44,44,1,44,1.0
15:17:53.890168,57,26,26,1,25,0.9615384615384616
15:17:53.943705,58,21,21,1,19,0.9047619047619048
15:17:54.007361,59,84,84,1,82,0.9761904761904762
15:17:54.059652,60,55,55,1,52,0.9454545454545454
15:17:54.119899,61,97,97,1,97,1.0
