input_path,points_before,points_after,frames_total,frames_invalid,mean_conf,min_conf,subject,trial
E:\0.TA_Teguh\dataset3\B\Jalan1.csv,3882,3424,112,24,0.7395702450815956,0.0,B,1
E:\0.TA_Teguh\dataset3\B\Jalan2.csv,8110,7490,120,13,0.8430587900347644,0.0,B,2
E:\0.TA_Teguh\dataset3\B\Jalan3.csv,7762,6841,117,22,0.7734248036278537,0.0,B,3
E:\0.TA_Teguh\dataset3\B\Jalan4.csv,1097,573,111,81,0.2539461708193969,0.0,B,4
E:\0.TA_Teguh\dataset3\B\Jalan5.csv,2269,1517,123,62,0.4641881122917224,0.0,B,5
E:\0.TA_Teguh\dataset3\B\Jalan6.csv,3905,2508,140,59,0.5412892734584274,0.0,B,6
E:\0.TA_Teguh\dataset3\B\Jalan7.csv,6318,4499,140,54,0.5762227049702449,0.0,B,7
E:\0.TA_Teguh\dataset3\B\Jalan8.csv,3291,2978,109,35,0.6305498175404568,0.0,B,8
E:\0.TA_Teguh\dataset3\B\Jalan9.csv,5770,4586,121,35,0.6631594803784415,0.0,B,9
E:\0.TA_Teguh\dataset3\B\Jalan10.csv,4725,4155,134,50,0.5879139259096632,0.0,B,10
E:\0.TA_Teguh\dataset3\B\Jalan11.csv,4466,3698,133,46,0.6180089761299822,0.0,B,11
E:\0.TA_Teguh\dataset3\B\Jalan12.csv,5336,4733,130,40,0.6483248578310554,0.0,B,12
E:\0.TA_Teguh\dataset3\B\Jalan13.csv,6804,6101,138,35,0.7046623771083635,0.0,B,13
E:\0.TA_Teguh\dataset3\B\Jalan14.csv,4566,4019,137,42,0.6546113557865338,0.0,B,14
E:\0.TA_Teguh\dataset3\B\Jalan15.csv,11143,9361,329,86,0.6949577397495809,0.0,B,15
E:\0.TA_Teguh\dataset3\B\Jalan16.csv,11847,10954,285,49,0.7786654911515947,0.0,B,16
E:\0.TA_Teguh\dataset3\B\Jalan17.csv,12211,11446,238,19,0.8668444879951241,0.0,B,17
