input_path,points_before,points_after,frames_total,frames_invalid,mean_conf,min_conf,subject,trial
E:\0.TA_Teguh\dataset3\D\Jalan1.csv,3840,3146,120,39,0.6412020395650341,0.0,D,1
E:\0.TA_Teguh\dataset3\D\Jalan2.csv,7033,6353,123,25,0.7519389866863215,0.0,D,2
E:\0.TA_Teguh\dataset3\D\Jalan3.csv,7117,6174,126,33,0.6981198841975411,0.0,D,3
E:\0.TA_Teguh\dataset3\D\Jalan4.csv,1098,672,106,64,0.36962764913597496,0.0,D,4
E:\0.TA_Teguh\dataset3\D\Jalan5.csv,1795,1090,129,83,0.3382315670440746,0.0,D,5
E:\0.TA_Teguh\dataset3\D\Jalan6.csv,3916,3027,124,52,0.5500407910362984,0.0,D,6
E:\0.TA_Teguh\dataset3\D\Jalan7.csv,5536,4035,132,44,0.6273933764333574,0.0,D,7
E:\0.TA_Teguh\dataset3\D\Jalan8.csv,3953,3625,105,28,0.6955225871399459,0.0,D,8
E:\0.TA_Teguh\dataset3\D\Jalan9.csv,6108,4983,129,49,0.5827102241014843,0.0,D,9
E:\0.TA_Teguh\dataset3\D\Jalan10.csv,4146,3559,130,55,0.5397486979945473,0.0,D,10
E:\0.TA_Teguh\dataset3\D\Jalan11.csv,4193,3464,146,66,0.518757756669703,0.0,D,11
E:\0.TA_Teguh\dataset3\D\Jalan12.csv,5358,4969,121,19,0.7957457106756454,0.0,D,12
E:\0.TA_Teguh\dataset3\D\Jalan13.csv,5419,4685,138,33,0.7228250801094945,0.0,D,13
E:\0.TA_Teguh\dataset3\D\Jalan14.csv,3711,3338,111,22,0.7584198073893714,0.0,D,14
E:\0.TA_Teguh\dataset3\D\Jalan15.csv,9116,7279,356,136,0.586873847411436,0.0,D,15
E:\0.TA_Teguh\dataset3\D\Jalan16.csv,11748,10853,284,36,0.825581203716609,0.0,D,16
E:\0.TA_Teguh\dataset3\D\Jalan17.csv,10743,9928,241,25,0.8406299323790997,0.0,D,17
E:\0.TA_Teguh\dataset3\D\Jalan18.csv,10053,9376,188,12,0.8794032201256419,0.0,D,18
E:\0.TA_Teguh\dataset3\D\Jalan19.csv,10159,8409,301,65,0.7411101468541316,0.0,D,19
E:\0.TA_Teguh\dataset3\D\Jalan20.csv,10956,9931,286,40,0.8082912751030662,0.0,D,20
E:\0.TA_Teguh\dataset3\D\Jalan21.csv,14189,13243,253,11,0.9004319970079961,0.0,D,21
E:\0.TA_Teguh\dataset3\D\Jalan22.csv,11545,10848,202,2,0.9278744946205356,0.0,D,22
E:\0.TA_Teguh\dataset3\D\Jalan23.csv,20464,18276,529,119,0.7334410545432967,0.0,D,23
