input_path,points_before,points_after,frames_total,frames_invalid,mean_conf,min_conf,subject,trial
E:\0.TA_Teguh\dataset3\A\Jalan1.csv,3083,2604,111,41,0.610694364339388,0.0,A,1
E:\0.TA_Teguh\dataset3\A\Jalan2.csv,6582,5418,113,31,0.6983841990235113,0.0,A,2
E:\0.TA_Teguh\dataset3\A\Jalan3.csv,6634,5859,119,34,0.6902205785079905,0.0,A,3
E:\0.TA_Teguh\dataset3\A\Jalan4.csv,2278,1623,96,53,0.4377037198859761,0.0,A,4
E:\0.TA_Teguh\dataset3\A\Jalan5.csv,2191,1139,127,82,0.34206187402486643,0.0,A,5
E:\0.TA_Teguh\dataset3\A\Jalan6.csv,3492,2112,127,74,0.40259077173038693,0.0,A,6
E:\0.TA_Teguh\dataset3\A\Jalan7.csv,4143,3150,118,53,0.5283966774695851,0.0,A,7
E:\0.TA_Teguh\dataset3\A\Jalan8.csv,2944,2776,74,24,0.6547551303418913,0.0,A,8
E:\0.TA_Teguh\dataset3\A\Jalan9.csv,2540,1933,123,67,0.43548238881483725,0.0,A,9
E:\0.TA_Teguh\dataset3\A\Jalan10.csv,4160,3587,131,59,0.5275701712628967,0.0,A,10
E:\0.TA_Teguh\dataset3\A\Jalan11.csv,5655,4493,128,59,0.5184297287231547,0.0,A,11
E:\0.TA_Teguh\dataset3\A\Jalan12.csv,5041,4734,107,21,0.7772759102810475,0.0,A,12
E:\0.TA_Teguh\dataset3\A\Jalan13.csv,5401,4988,126,29,0.7420351628828034,0.0,A,13
E:\0.TA_Teguh\dataset3\A\Jalan14.csv,2631,2162,98,31,0.6581866954497323,0.0,A,14
E:\0.TA_Teguh\dataset3\A\Jalan15.csv,9628,8595,283,100,0.6211043370812562,0.0,A,15
E:\0.TA_Teguh\dataset3\A\Jalan16.csv,9668,8826,251,69,0.6949521749479635,0.0,A,16
E:\0.TA_Teguh\dataset3\A\Jalan17.csv,10895,10279,202,21,0.8572174628472644,0.0,A,17
E:\0.TA_Teguh\dataset3\A\Jalan18.csv,12556,12079,167,10,0.9099779212701073,0.0,A,18
E:\0.TA_Teguh\dataset3\A\Jalan19.csv,10378,9663,235,41,0.7925823845067974,0.0,A,19
E:\0.TA_Teguh\dataset3\A\Jalan20.csv,8890,8238,197,49,0.7211366027369127,0.0,A,20
E:\0.TA_Teguh\dataset3\A\Jalan21.csv,8192,7687,161,33,0.7645978233580193,0.0,A,21
E:\0.TA_Teguh\dataset3\A\Jalan22.csv,9206,8828,132,13,0.8689442134443072,0.0,A,22
E:\0.TA_Teguh\dataset3\A\Jalan23.csv,14863,13049,494,161,0.6477690892030582,0.0,A,23
E:\0.TA_Teguh\dataset3\A\Jalan24.csv,22402,21121,456,73,0.8077782274480713,0.0,A,24
E:\0.TA_Teguh\dataset3\A\Jalan25.csv,2631,2367,88,18,0.7673868101348721,0.0,A,25
E:\0.TA_Teguh\dataset3\A\Jalan26.csv,5570,4849,101,27,0.7049809874857319,0.0,A,26
E:\0.TA_Teguh\dataset3\A\Jalan27.csv,5599,4745,96,31,0.6531117721589577,0.0,A,27
E:\0.TA_Teguh\dataset3\A\Jalan28.csv,1659,1309,83,46,0.4305192666683602,0.0,A,28
E:\0.TA_Teguh\dataset3\A\Jalan29.csv,2539,2351,62,20,0.651839200605817,0.0,A,29
E:\0.TA_Teguh\dataset3\A\Jalan30.csv,3664,2835,89,33,0.6035343307271087,0.0,A,30
E:\0.TA_Teguh\dataset3\A\Jalan31.csv,2894,1829,97,44,0.5260303313779853,0.0,A,31
E:\0.TA_Teguh\dataset3\A\Jalan32.csv,1786,946,105,70,0.32112286773059373,0.0,A,32
E:\0.TA_Teguh\dataset3\A\Jalan33.csv,2567,2034,95,43,0.5243867500620755,0.0,A,33
E:\0.TA_Teguh\dataset3\A\Jalan34.csv,2958,2535,98,42,0.5477908983954219,0.0,A,34
E:\0.TA_Teguh\dataset3\A\Jalan35.csv,3601,2780,86,35,0.5707065564760735,0.0,A,35
E:\0.TA_Teguh\dataset3\A\Jalan36.csv,3556,3159,94,38,0.5756943294027544,0.0,A,36
E:\0.TA_Teguh\dataset3\A\Jalan37.csv,3261,2795,107,45,0.5608836902119921,0.0,A,37
E:\0.TA_Teguh\dataset3\A\Jalan38.csv,2659,2273,91,38,0.5613011975956178,0.0,A,38
E:\0.TA_Teguh\dataset3\A\Jalan39.csv,7500,6693,205,71,0.6299007302397998,0.0,A,39
E:\0.TA_Teguh\dataset3\A\Jalan40.csv,9134,8554,189,39,0.7617522211733494,0.0,A,40
E:\0.TA_Teguh\dataset3\A\Jalan41.csv,9418,8969,163,11,0.8971570545222401,0.0,A,41
E:\0.TA_Teguh\dataset3\A\Jalan42.csv,7015,6642,117,16,0.8346525316839999,0.0,A,42
E:\0.TA_Teguh\dataset3\A\Jalan43.csv,7256,6680,170,49,0.6864772407080407,0.0,A,43
E:\0.TA_Teguh\dataset3\A\Jalan44.csv,7058,6560,152,38,0.7214760260417615,0.0,A,44
E:\0.TA_Teguh\dataset3\A\Jalan45.csv,7368,6950,131,23,0.7943558568851656,0.0,A,45
E:\0.TA_Teguh\dataset3\A\Jalan46.csv,7359,7046,103,11,0.8640191324855188,0.0,A,46
E:\0.TA_Teguh\dataset3\A\Jalan47.csv,11785,10423,340,97,0.6873656835056037,0.0,A,47
E:\0.TA_Teguh\dataset3\A\Jalan48.csv,16057,14958,334,72,0.753843601283098,0.0,A,48
E:\0.TA_Teguh\dataset3\A\Jalan49.csv,3743,3191,124,41,0.6435209773142053,0.0,A,49
E:\0.TA_Teguh\dataset3\A\Jalan50.csv,8854,7733,148,36,0.7275045860359329,0.0,A,50
E:\0.TA_Teguh\dataset3\A\Jalan51.csv,8392,6868,155,44,0.6925461818425455,0.0,A,51
E:\0.TA_Teguh\dataset3\A\Jalan52.csv,2588,1992,123,70,0.41786856906134207,0.0,A,52
E:\0.TA_Teguh\dataset3\A\Jalan53.csv,3682,3460,103,33,0.6547996551776394,0.0,A,53
E:\0.TA_Teguh\dataset3\A\Jalan54.csv,5725,4462,139,52,0.598808187979519,0.0,A,54
E:\0.TA_Teguh\dataset3\A\Jalan55.csv,3700,2462,127,61,0.5005354041854752,0.0,A,55
E:\0.TA_Teguh\dataset3\A\Jalan56.csv,2359,1190,165,117,0.2835726585737023,0.0,A,56
E:\0.TA_Teguh\dataset3\A\Jalan57.csv,3464,2867,128,53,0.5643321495203855,0.0,A,57
E:\0.TA_Teguh\dataset3\A\Jalan58.csv,6269,5263,170,63,0.6049593489473362,0.0,A,58
E:\0.TA_Teguh\dataset3\A\Jalan59.csv,7253,6180,162,59,0.6088029008618993,0.0,A,59
E:\0.TA_Teguh\dataset3\A\Jalan60.csv,3560,2689,146,60,0.5649153679026776,0.0,A,60
E:\0.TA_Teguh\dataset3\A\Jalan61.csv,6112,5569,167,42,0.7231999297956214,0.0,A,61
E:\0.TA_Teguh\dataset3\A\Jalan62.csv,7868,7403,152,24,0.8113978684198525,0.0,A,62
E:\0.TA_Teguh\dataset3\A\Jalan63.csv,14137,12641,402,138,0.6334843755979671,0.0,A,63
E:\0.TA_Teguh\dataset3\A\Jalan64.csv,13245,12169,339,89,0.7089391199283278,0.0,A,64
E:\0.TA_Teguh\dataset3\A\Jalan65.csv,11440,10808,215,25,0.8492212021577416,0.0,A,65
E:\0.TA_Teguh\dataset3\A\Jalan66.csv,12670,12170,179,8,0.920430025844005,0.0,A,66
E:\0.TA_Teguh\dataset3\A\Jalan67.csv,12501,11606,301,70,0.7371219446352043,0.0,A,67
E:\0.TA_Teguh\dataset3\A\Jalan68.csv,11500,10842,218,35,0.8038649291751849,0.0,A,68
E:\0.TA_Teguh\dataset3\A\Jalan69.csv,10420,9974,164,15,0.8757851420887575,0.0,A,69
E:\0.TA_Teguh\dataset3\A\Jalan70.csv,9172,8827,133,9,0.9015191552012368,0.0,A,70
E:\0.TA_Teguh\dataset3\A\Jalan71.csv,19145,16684,635,238,0.5998344217428683,0.0,A,71
E:\0.TA_Teguh\dataset3\A\Jalan72.csv,26555,24775,579,117,0.7660022624066241,0.0,A,72
