input_path,points_before,points_after,frames_total,frames_invalid,mean_conf,min_conf,subject,trial
E:\0.TA_Teguh\dataset3\H\Jalan1.csv,5517,5003,127,27,0.7663465212368848,0.0,H,1
E:\0.TA_Teguh\dataset3\H\Jalan2.csv,8201,7448,133,21,0.8134223201061896,0.0,H,2
E:\0.TA_Teguh\dataset3\H\Jalan3.csv,7467,6573,128,34,0.7113009218952498,0.0,H,3
E:\0.TA_Teguh\dataset3\H\Jalan4.csv,940,392,103,86,0.15927184245424994,0.0,H,4
E:\0.TA_Teguh\dataset3\H\Jalan5.csv,2297,1085,114,68,0.3871218549668913,0.0,H,5
E:\0.TA_Teguh\dataset3\H\Jalan6.csv,3537,2466,107,36,0.6361009615997628,0.0,H,6
E:\0.TA_Teguh\dataset3\H\Jalan7.csv,3774,2983,99,29,0.6811021094964662,0.0,H,7
E:\0.TA_Teguh\dataset3\H\Jalan8.csv,3667,3301,83,19,0.7425574876558411,0.0,H,8
E:\0.TA_Teguh\dataset3\H\Jalan9.csv,6024,4822,96,24,0.7194978177692537,0.0,H,9
E:\0.TA_Teguh\dataset3\H\Jalan10.csv,3179,2560,125,62,0.4795492559863601,0.0,H,10
E:\0.TA_Teguh\dataset3\H\Jalan11.csv,4296,3614,116,42,0.6165249878694975,0.0,H,11
E:\0.TA_Teguh\dataset3\H\Jalan12.csv,4796,4330,119,34,0.6869689117550184,0.0,H,12
E:\0.TA_Teguh\dataset3\H\Jalan13.csv,6614,5771,131,37,0.6947888508288382,0.0,H,13
E:\0.TA_Teguh\dataset3\H\Jalan14.csv,2893,2408,105,45,0.547877131145282,0.0,H,14
E:\0.TA_Teguh\dataset3\H\Jalan15.csv,10615,9229,311,97,0.665134777777744,0.0,H,15
E:\0.TA_Teguh\dataset3\H\Jalan16.csv,10490,9416,292,90,0.6677367414156562,0.0,H,16
E:\0.TA_Teguh\dataset3\H\Jalan17.csv,11943,11203,225,29,0.8383979244895019,0.0,H,17
E:\0.TA_Teguh\dataset3\H\Jalan18.csv,10330,9699,192,17,0.8721646307140137,0.0,H,18
E:\0.TA_Teguh\dataset3\H\Jalan19.csv,8932,7772,260,79,0.6708039796464631,0.0,H,19
E:\0.TA_Teguh\dataset3\H\Jalan20.csv,9999,9011,250,62,0.7235636469018039,0.0,H,20
E:\0.TA_Teguh\dataset3\H\Jalan21.csv,10087,9399,218,36,0.8031566182342846,0.0,H,21
E:\0.TA_Teguh\dataset3\H\Jalan22.csv,10230,9543,191,25,0.8350158820959843,0.0,H,22
E:\0.TA_Teguh\dataset3\H\Jalan23.csv,19349,16995,465,97,0.7636233565375532,0.0,H,23
E:\0.TA_Teguh\dataset3\H\Jalan24.csv,21503,20130,417,83,0.773636015830377,0.0,H,24
E:\0.TA_Teguh\dataset3\H\Jalan25.csv,1808,1641,55,11,0.7787313756489391,0.0,H,25
E:\0.TA_Teguh\dataset3\H\Jalan26.csv,2018,1779,65,21,0.6549480586468803,0.0,H,26
E:\0.TA_Teguh\dataset3\H\Jalan27.csv,3788,3466,62,11,0.7921475049694825,0.0,H,27
E:\0.TA_Teguh\dataset3\H\Jalan28.csv,478,201,62,52,0.1521485738638944,0.0,H,28
E:\0.TA_Teguh\dataset3\H\Jalan29.csv,1171,552,70,50,0.2757131292988886,0.0,H,29
E:\0.TA_Teguh\dataset3\H\Jalan30.csv,1985,1430,71,29,0.5613349462086095,0.0,H,30
E:\0.TA_Teguh\dataset3\H\Jalan31.csv,2461,2039,67,23,0.6304038892165436,0.0,H,31
E:\0.TA_Teguh\dataset3\H\Jalan32.csv,2102,1927,58,19,0.6502564422969831,0.0,H,32
E:\0.TA_Teguh\dataset3\H\Jalan33.csv,2919,2374,63,22,0.6198454095418638,0.0,H,33
E:\0.TA_Teguh\dataset3\H\Jalan34.csv,1702,1402,72,37,0.4657780844859847,0.0,H,34
E:\0.TA_Teguh\dataset3\H\Jalan35.csv,3105,2431,86,35,0.5731041276196592,0.0,H,35
E:\0.TA_Teguh\dataset3\H\Jalan36.csv,2483,1976,93,43,0.5182940413163859,0.0,H,36
E:\0.TA_Teguh\dataset3\H\Jalan37.csv,4063,3541,91,27,0.6789562037529714,0.0,H,37
E:\0.TA_Teguh\dataset3\H\Jalan38.csv,2524,2214,78,33,0.5533062244443895,0.0,H,38
E:\0.TA_Teguh\dataset3\H\Jalan39.csv,6487,5415,206,85,0.5679910548178713,0.0,H,39
E:\0.TA_Teguh\dataset3\H\Jalan40.csv,6731,5955,190,62,0.6525860036717377,0.0,H,40
E:\0.TA_Teguh\dataset3\H\Jalan41.csv,8745,8185,182,21,0.848175031823762,0.0,H,41
E:\0.TA_Teguh\dataset3\H\Jalan42.csv,7982,7566,127,3,0.9354963088165865,0.0,H,42
E:\0.TA_Teguh\dataset3\H\Jalan43.csv,5993,5084,193,78,0.5725737037573156,0.0,H,43
E:\0.TA_Teguh\dataset3\H\Jalan44.csv,6790,6080,194,61,0.661653982123757,0.0,H,44
E:\0.TA_Teguh\dataset3\H\Jalan45.csv,7584,7040,172,30,0.7945758219456821,0.0,H,45
E:\0.TA_Teguh\dataset3\H\Jalan46.csv,7310,6852,139,12,0.8761891334943257,0.0,H,46
E:\0.TA_Teguh\dataset3\H\Jalan47.csv,11533,10052,310,84,0.6990591112133662,0.0,H,47
E:\0.TA_Teguh\dataset3\H\Jalan48.csv,15060,13819,296,60,0.7691805026467666,0.0,H,48
E:\0.TA_Teguh\dataset3\H\Jalan49.csv,5967,5509,134,20,0.8282703300656319,0.0,H,49
E:\0.TA_Teguh\dataset3\H\Jalan50.csv,10884,10143,188,40,0.7645282077267298,0.0,H,50
E:\0.TA_Teguh\dataset3\H\Jalan51.csv,8874,8054,169,34,0.7756729608484056,0.0,H,51
E:\0.TA_Teguh\dataset3\H\Jalan52.csv,1030,347,148,127,0.13657543885804754,0.0,H,52
E:\0.TA_Teguh\dataset3\H\Jalan53.csv,2154,907,192,151,0.20716378156670992,0.0,H,53
E:\0.TA_Teguh\dataset3\H\Jalan54.csv,4294,2440,188,111,0.39369407310563304,0.0,H,54
E:\0.TA_Teguh\dataset3\H\Jalan55.csv,6318,5294,182,67,0.6080882143035289,0.0,H,55
E:\0.TA_Teguh\dataset3\H\Jalan56.csv,6753,6206,166,53,0.6578578015739267,0.0,H,56
E:\0.TA_Teguh\dataset3\H\Jalan57.csv,8534,7191,179,64,0.6212063179758809,0.0,H,57
E:\0.TA_Teguh\dataset3\H\Jalan58.csv,5418,4560,190,79,0.5621611655654847,0.0,H,58
E:\0.TA_Teguh\dataset3\H\Jalan59.csv,6191,5204,160,51,0.6584875363345937,0.0,H,59
E:\0.TA_Teguh\dataset3\H\Jalan60.csv,4451,3762,159,68,0.5526087422747202,0.0,H,60
E:\0.TA_Teguh\dataset3\H\Jalan61.csv,10643,9720,212,41,0.7827775466594019,0.0,H,61
E:\0.TA_Teguh\dataset3\H\Jalan62.csv,7672,6950,191,49,0.7186354692338655,0.0,H,62
E:\0.TA_Teguh\dataset3\H\Jalan63.csv,11165,9276,453,198,0.5433989006459263,0.0,H,63
E:\0.TA_Teguh\dataset3\H\Jalan64.csv,11898,10751,371,117,0.6611860579737867,0.0,H,64
E:\0.TA_Teguh\dataset3\H\Jalan65.csv,11292,10249,318,93,0.6808460137758283,0.0,H,65
E:\0.TA_Teguh\dataset3\H\Jalan66.csv,11735,11080,211,21,0.8627972099450434,0.0,H,66
E:\0.TA_Teguh\dataset3\H\Jalan67.csv,9644,8504,303,113,0.6034085186497518,0.0,H,67
E:\0.TA_Teguh\dataset3\H\Jalan68.csv,10158,9071,302,98,0.6544952539910466,0.0,H,68
E:\0.TA_Teguh\dataset3\H\Jalan69.csv,10343,9541,256,50,0.774779171351061,0.0,H,69
E:\0.TA_Teguh\dataset3\H\Jalan70.csv,12928,12186,257,30,0.8490915945999831,0.0,H,70
E:\0.TA_Teguh\dataset3\H\Jalan71.csv,20434,17701,605,192,0.6571566167019263,0.0,H,71
E:\0.TA_Teguh\dataset3\H\Jalan72.csv,29150,26965,562,88,0.8180074626051995,0.0,H,72
