timestamp,frame,N_raw,N_roi,valid_minpts,N_inlier,conf
12:19:51.105541,2,1,1,0,0,0.0
12:19:51.600516,11,1,1,0,0,0.0
12:19:51.655473,12,3,3,0,0,0.0
12:19:51.765586,14,1,1,0,0,0.0
12:19:51.821218,15,1,1,0,0,0.0
12:19:51.877902,16,18,18,1,17,0.9444444444444444
12:19:51.930982,17,4,4,0,0,0.0
12:19:51.988421,18,22,22,1,19,0.8636363636363636
12:19:52.042477,19,12,12,1,12,1.0
12:19:52.101961,20,44,42,1,39,0.9285714285714286
12:19:52.156261,21,19,17,1,17,1.0
12:19:52.207666,22,9,9,0,0,0.0
12:19:52.266610,23,28,28,1,25,0.8928571428571429
12:19:52.322434,24,33,33,1,30,0.9090909090909091
12:19:52.379462,25,47,47,1,42,0.8936170212765957
12:19:52.433630,26,41,41,1,38,0.926829268292683
12:19:52.497214,27,95,95,1,90,0.9473684210526315
12:19:52.547521,28,64,64,1,58,0.90625
12:19:52.597155,29,28,27,1,25,0.9259259259259259
12:19:52.655271,30,58,56,1,54,0.9642857142857143
12:19:52.719374,31,110,109,1,107,0.981651376146789
12:19:52.768225,32,71,71,1,68,0.9577464788732394
12:19:52.826066,33,93,93,1,85,0.9139784946236559
12:19:52.885554,34,117,114,1,102,0.8947368421052632
12:19:52.945494,35,150,150,1,139,0.9266666666666666
12:19:52.998682,36,104,104,1,100,0.9615384615384616
12:19:53.052891,37,127,127,1,122,0.9606299212598425
12:19:53.109316,38,147,147,1,131,0.891156462585034
12:19:53.163500,39,137,137,1,124,0.9051094890510949
12:19:53.215118,40,111,111,1,101,0.9099099099099099
12:19:53.261063,41,49,49,1,46,0.9387755102040817
12:19:53.319367,42,84,84,1,78,0.9285714285714286
12:19:53.371855,43,61,61,1,56,0.9180327868852459
12:19:53.429664,44,81,81,1,75,0.9259259259259259
12:19:53.482758,45,67,66,1,63,0.9545454545454546
12:19:53.540811,46,91,91,1,88,0.967032967032967
12:19:53.601685,47,120,120,1,117,0.975
12:19:53.648469,48,66,66,1,61,0.9242424242424242
12:19:53.699290,49,51,51,1,50,0.9803921568627451
12:19:53.760723,50,88,85,1,81,0.9529411764705882
12:19:53.817483,51,96,96,1,94,0.9791666666666666
12:19:53.876543,52,125,125,1,122,0.976
12:19:53.929974,53,113,113,1,105,0.9292035398230089
12:19:53.983336,54,107,107,1,106,0.9906542056074766
12:19:54.037154,55,99,99,1,99,1.0
12:19:54.098778,56,140,139,1,127,0.9136690647482014
12:19:54.149962,57,109,109,1,108,0.9908256880733946
12:19:54.203700,58,104,104,1,103,0.9903846153846154
12:19:54.256400,59,90,90,1,88,0.9777777777777777
12:19:54.315994,60,117,117,1,115,0.9829059829059829
12:19:54.373762,61,136,136,1,131,0.9632352941176471
12:19:54.413569,62,34,34,1,33,0.9705882352941176
12:19:54.470988,63,56,56,1,54,0.9642857142857143
12:19:54.521987,64,26,25,1,25,1.0
12:19:54.577611,65,32,32,1,31,0.96875
12:19:54.633077,66,38,38,1,34,0.8947368421052632
12:19:54.696691,67,98,98,1,95,0.9693877551020408
12:19:54.750485,68,85,85,1,80,0.9411764705882353
12:19:54.806630,69,95,95,1,94,0.9894736842105263
12:19:54.860122,70,81,81,1,77,0.9506172839506173
12:19:54.916475,71,93,93,1,89,0.956989247311828
12:19:54.969052,72,78,78,1,75,0.9615384615384616
12:19:55.029030,73,114,114,1,112,0.9824561403508771
12:19:55.076179,74,55,55,1,53,0.9636363636363636
12:19:55.135633,75,91,91,1,90,0.989010989010989
12:19:55.188266,76,78,78,1,73,0.9358974358974359
12:19:55.246204,77,100,100,1,100,1.0
12:19:55.293638,78,42,42,1,39,0.9285714285714286
12:19:55.353636,79,77,77,1,75,0.974025974025974
12:19:55.407995,80,68,68,1,62,0.9117647058823529
12:19:55.459904,81,50,50,1,47,0.94
12:19:55.517246,82,66,66,1,65,0.9848484848484849
12:19:55.574114,83,76,76,1,72,0.9473684210526315
12:19:55.626965,84,65,65,1,64,0.9846153846153847
12:19:55.680881,85,47,47,1,47,1.0
12:19:55.729882,86,6,6,0,0,0.0
12:19:55.787839,87,40,40,1,39,0.975
12:19:55.841662,88,27,27,1,23,0.8518518518518519
12:19:55.899074,89,52,52,1,49,0.9423076923076923
12:19:55.955654,90,52,52,1,47,0.9038461538461539
12:19:56.011919,91,62,61,1,56,0.9180327868852459
12:19:56.066805,92,63,63,1,60,0.9523809523809523
12:19:56.115649,93,25,25,1,22,0.88
12:19:56.175275,94,56,50,1,49,0.98
12:19:56.230915,95,59,58,1,57,0.9827586206896551
12:19:56.291345,96,52,48,1,47,0.9791666666666666
12:19:56.338916,97,43,38,1,36,0.9473684210526315
12:19:56.389792,98,11,8,0,0,0.0
12:19:56.448588,99,40,29,1,29,1.0
12:19:56.634605,100,8,4,0,0,0.0
12:19:56.756813,101,10,5,0,0,0.0
12:19:56.786916,102,9,2,0,0,0.0
12:19:56.817072,103,8,3,0,0,0.0
12:19:56.847955,104,19,2,0,0,0.0
12:19:56.893680,105,31,3,0,0,0.0
12:19:56.925609,106,7,1,0,0,0.0
12:19:56.972220,107,6,1,0,0,0.0
12:19:57.001427,108,7,1,0,0,0.0
12:19:57.018450,109,43,0,0,0,0.0
12:19:57.064734,110,5,0,0,0,0.0
12:19:57.103017,111,25,0,0,0,0.0
12:19:57.159876,112,38,0,0,0,0.0
12:19:57.211969,113,13,0,0,0,0.0
12:19:57.271662,114,44,0,0,0,0.0
12:19:57.322653,115,17,1,0,0,0.0
12:19:57.380392,116,32,0,0,0,0.0
12:19:57.454162,117,30,0,0,0,0.0
