timestamp,frame,N_raw,N_roi,valid_minpts,N_inlier,conf
18:12:47.639760,5,2,2,0,0,0.0
18:12:47.695570,6,5,5,0,0,0.0
18:12:47.750681,7,6,6,0,0,0.0
18:12:47.805491,8,3,3,0,0,0.0
18:12:47.860243,9,1,1,0,0,0.0
18:12:47.970420,11,2,2,0,0,0.0
18:12:48.028011,12,21,12,1,12,1.0
18:12:48.081766,13,14,10,1,10,1.0
18:12:48.139195,14,31,17,1,16,0.9411764705882353
18:12:48.190722,15,5,5,0,0,0.0
18:12:48.247948,16,18,17,1,16,0.9411764705882353
18:12:48.300835,17,7,6,0,0,0.0
18:12:48.358451,18,24,15,1,14,0.9333333333333333
18:12:48.411726,19,7,6,0,0,0.0
18:12:48.466727,20,11,9,0,0,0.0
18:12:48.521009,21,5,5,0,0,0.0
18:12:48.578554,22,27,27,1,25,0.9259259259259259
18:12:48.632121,23,8,8,0,0,0.0
18:12:48.688054,24,7,6,0,0,0.0
18:12:48.742075,25,3,3,0,0,0.0
18:12:48.796675,26,5,5,0,0,0.0
18:12:48.853313,27,7,4,0,0,0.0
18:12:48.908402,28,7,3,0,0,0.0
18:12:48.967899,29,35,35,1,32,0.9142857142857143
18:12:49.023238,30,41,41,1,39,0.9512195121951219
18:12:49.075379,31,26,26,1,25,0.9615384615384616
18:12:49.132843,32,35,33,1,32,0.9696969696969697
18:12:49.182322,33,5,5,0,0,0.0
18:12:49.243411,34,43,43,1,40,0.9302325581395349
18:12:49.294026,35,8,8,0,0,0.0
18:12:49.351327,36,30,30,1,28,0.9333333333333333
18:12:49.406501,37,28,28,1,26,0.9285714285714286
18:12:49.458518,38,6,6,0,0,0.0
18:12:49.513848,39,9,9,0,0,0.0
18:12:49.569446,40,19,19,1,17,0.8947368421052632
18:12:49.625004,41,22,22,1,21,0.9545454545454546
18:12:49.680925,42,32,32,1,30,0.9375
18:12:49.735277,43,24,24,1,23,0.9583333333333334
18:12:49.791985,44,34,34,1,31,0.9117647058823529
18:12:49.847235,45,37,37,1,36,0.972972972972973
18:12:49.901906,46,31,31,1,28,0.9032258064516129
18:12:49.959710,47,55,55,1,51,0.9272727272727272
18:12:50.023332,48,106,104,1,103,0.9903846153846154
18:12:50.072021,49,63,61,1,58,0.9508196721311475
18:12:50.122318,50,35,35,1,33,0.9428571428571428
18:12:50.176343,51,27,24,1,23,0.9583333333333334
18:12:50.231921,52,36,34,1,29,0.8529411764705882
18:12:50.298127,53,88,84,1,82,0.9761904761904762
18:12:50.347490,54,72,72,1,68,0.9444444444444444
18:12:50.402702,55,69,69,1,65,0.9420289855072463
18:12:50.456540,56,65,65,1,56,0.8615384615384616
18:12:50.513742,57,78,78,1,72,0.9230769230769231
18:12:50.568604,58,77,77,1,73,0.948051948051948
18:12:50.623225,59,72,72,1,69,0.9583333333333334
18:12:50.676799,60,63,63,1,59,0.9365079365079365
18:12:50.736564,61,80,80,1,76,0.95
18:12:50.788751,62,75,75,1,68,0.9066666666666666
18:12:50.844056,63,78,78,1,73,0.9358974358974359
18:12:50.896827,64,62,62,1,58,0.9354838709677419
18:12:50.957603,65,101,101,1,96,0.9504950495049505
18:12:51.016067,66,126,126,1,123,0.9761904761904762
18:12:51.067354,67,96,96,1,92,0.9583333333333334
18:12:51.117411,68,65,65,1,57,0.8769230769230769
18:12:51.170997,69,55,55,1,48,0.8727272727272727
18:12:51.229642,70,80,80,1,73,0.9125
18:12:51.278988,71,42,42,1,40,0.9523809523809523
18:12:51.348407,72,147,147,1,135,0.9183673469387755
18:12:51.403266,73,137,136,1,135,0.9926470588235294
18:12:51.451941,74,78,78,1,76,0.9743589743589743
18:12:51.496833,75,22,20,1,18,0.9
18:12:51.554067,76,49,49,1,44,0.8979591836734694
18:12:51.614629,77,86,83,1,77,0.927710843373494
18:12:51.669406,78,78,75,1,73,0.9733333333333334
18:12:51.716640,79,28,28,1,28,1.0
18:12:51.768195,80,8,7,0,0,0.0
18:12:51.825955,81,30,30,1,27,0.9
18:12:51.887307,82,71,71,1,71,1.0
18:12:51.946602,83,97,94,1,93,0.9893617021276596
18:12:51.994937,84,52,51,1,47,0.9215686274509803
18:12:52.053310,85,75,75,1,69,0.92
18:12:52.115529,86,122,122,1,118,0.9672131147540983
18:12:52.159450,87,44,44,1,39,0.8863636363636364
18:12:52.219106,88,85,84,1,80,0.9523809523809523
18:12:52.275045,89,84,82,1,77,0.9390243902439024
18:12:52.327866,90,71,71,1,67,0.9436619718309859
18:12:52.382527,91,74,74,1,71,0.9594594594594594
18:12:52.438981,92,76,76,1,71,0.9342105263157895
18:12:52.490803,93,60,60,1,55,0.9166666666666666
18:12:52.549527,94,82,82,1,76,0.926829268292683
18:12:52.603803,95,75,75,1,70,0.9333333333333333
18:12:52.659391,96,77,77,1,71,0.922077922077922
18:12:52.718234,97,105,103,1,93,0.9029126213592233
18:12:52.772825,98,99,96,1,88,0.9166666666666666
18:12:52.827540,99,96,93,1,89,0.956989247311828
18:12:52.987430,100,88,86,1,82,0.9534883720930233
18:12:53.010330,101,74,73,1,63,0.863013698630137
18:12:53.041204,102,55,55,1,51,0.9272727272727272
18:12:53.069836,103,82,82,1,77,0.9390243902439024
18:12:53.101544,104,97,97,1,95,0.979381443298969
18:12:53.156152,105,94,94,1,89,0.9468085106382979
18:12:53.214576,106,119,119,1,115,0.9663865546218487
18:12:53.264510,107,82,82,1,80,0.975609756097561
18:12:53.323224,108,105,105,1,103,0.9809523809523809
18:12:53.375994,109,90,90,1,86,0.9555555555555556
18:12:53.432513,110,96,96,1,79,0.8229166666666666
18:12:53.481487,111,61,61,1,57,0.9344262295081968
18:12:53.537176,112,61,61,1,56,0.9180327868852459
18:12:53.590053,113,48,48,1,45,0.9375
18:12:53.644259,114,53,53,1,49,0.9245283018867925
18:12:53.699675,115,56,56,1,53,0.9464285714285714
18:12:53.753789,116,47,47,1,41,0.8723404255319149
18:12:53.809429,117,55,55,1,47,0.8545454545454545
18:12:53.868491,118,75,75,1,68,0.9066666666666666
18:12:53.921490,119,70,70,1,69,0.9857142857142858
18:12:53.982497,120,105,105,1,102,0.9714285714285714
18:12:54.037851,121,109,109,1,108,0.9908256880733946
18:12:54.087194,122,66,66,1,60,0.9090909090909091
18:12:54.135240,123,24,24,1,22,0.9166666666666666
18:12:54.195056,124,56,56,1,54,0.9642857142857143
18:12:54.245520,125,27,27,1,26,0.9629629629629629
18:12:54.305116,126,58,58,1,57,0.9827586206896551
18:12:54.357537,127,42,42,1,39,0.9285714285714286
18:12:54.414293,128,52,52,1,48,0.9230769230769231
18:12:54.470093,129,58,58,1,56,0.9655172413793104
18:12:54.524490,130,53,53,1,49,0.9245283018867925
18:12:54.582228,131,72,71,1,69,0.971830985915493
18:12:54.637945,132,71,71,1,64,0.9014084507042254
18:12:54.691221,133,57,56,1,51,0.9107142857142857
18:12:54.746048,134,59,56,1,51,0.9107142857142857
18:12:54.800199,135,58,47,1,44,0.9361702127659575
18:12:54.856360,136,64,49,1,46,0.9387755102040817
18:12:54.910889,137,57,41,1,39,0.9512195121951219
18:12:54.966514,138,55,33,1,32,0.9696969696969697
18:12:55.020666,139,57,23,1,22,0.9565217391304348
18:12:55.070378,140,27,14,1,13,0.9285714285714286
18:12:55.130037,141,57,32,1,29,0.90625
18:12:55.183153,142,41,23,1,23,1.0
18:12:55.237408,143,42,20,1,19,0.95
18:12:55.293225,144,45,28,1,27,0.9642857142857143
18:12:55.345621,145,46,21,1,19,0.9047619047619048
18:12:55.402334,146,50,15,1,15,1.0
18:12:55.453256,147,28,0,0,0,0.0
18:12:55.511459,148,43,7,0,0,0.0
18:12:55.563380,149,30,1,0,0,0.0
18:12:55.689902,150,69,0,0,0,0.0
18:12:55.718075,151,21,0,0,0,0.0
18:12:55.750212,152,8,0,0,0,0.0
18:12:55.783002,153,26,0,0,0,0.0
18:12:55.839759,154,38,0,0,0,0.0
18:12:55.896310,155,44,0,0,0,0.0
18:12:55.952532,156,55,0,0,0,0.0
18:12:56.005362,157,39,0,0,0,0.0
18:12:56.062062,158,53,0,0,0,0.0
18:12:56.112985,159,22,0,0,0,0.0
18:12:56.167421,160,27,0,0,0,0.0
18:12:56.222089,161,16,0,0,0,0.0
18:12:56.311832,162,47,0,0,0,0.0
18:12:56.379832,163,52,0,0,0,0.0
