input_path,points_before,points_after,frames_total,frames_invalid,mean_conf,min_conf,subject,trial
E:\0.TA_Teguh\dataset3\F\Jalan1.csv,4438,3851,100,29,0.6783130051973758,0.0,F,1
E:\0.TA_Teguh\dataset3\F\Jalan2.csv,7293,6286,108,21,0.7644531691520491,0.0,F,2
E:\0.TA_Teguh\dataset3\F\Jalan3.csv,5538,4913,96,19,0.765471215846433,0.0,F,3
E:\0.TA_Teguh\dataset3\F\Jalan4.csv,690,286,82,67,0.17082467877321764,0.0,F,4
E:\0.TA_Teguh\dataset3\F\Jalan5.csv,1610,921,110,72,0.3262717939524553,0.0,F,5
E:\0.TA_Teguh\dataset3\F\Jalan6.csv,3508,2543,112,49,0.5231772318681873,0.0,F,6
E:\0.TA_Teguh\dataset3\F\Jalan7.csv,3744,2912,111,49,0.522952053342268,0.0,F,7
E:\0.TA_Teguh\dataset3\F\Jalan8.csv,3576,3076,95,37,0.5732181623345038,0.0,F,8
E:\0.TA_Teguh\dataset3\F\Jalan9.csv,6563,6088,111,20,0.7752714238503591,0.0,F,9
E:\0.TA_Teguh\dataset3\F\Jalan10.csv,4198,3580,123,44,0.603057361298544,0.0,F,10
E:\0.TA_Teguh\dataset3\F\Jalan11.csv,4944,4557,110,27,0.7214276095626466,0.0,F,11
E:\0.TA_Teguh\dataset3\F\Jalan12.csv,4250,3693,114,45,0.5608130292897595,0.0,F,12
E:\0.TA_Teguh\dataset3\F\Jalan13.csv,5542,4872,126,31,0.7174251499406421,0.0,F,13
E:\0.TA_Teguh\dataset3\F\Jalan14.csv,3962,3509,123,34,0.677688809615251,0.0,F,14
E:\0.TA_Teguh\dataset3\F\Jalan15.csv,9348,8063,301,100,0.6313945054441867,0.0,F,15
E:\0.TA_Teguh\dataset3\F\Jalan16.csv,11023,9907,294,81,0.6821787339867678,0.0,F,16
E:\0.TA_Teguh\dataset3\F\Jalan17.csv,11835,10810,245,38,0.7926627769871523,0.0,F,17
E:\0.TA_Teguh\dataset3\F\Jalan18.csv,12211,11472,198,18,0.858116791535574,0.0,F,18
E:\0.TA_Teguh\dataset3\F\Jalan19.csv,8247,7265,258,92,0.6063859965719747,0.0,F,19
E:\0.TA_Teguh\dataset3\F\Jalan20.csv,9388,8507,220,41,0.7660291267473859,0.0,F,20
E:\0.TA_Teguh\dataset3\F\Jalan21.csv,9462,8812,173,14,0.8636447116977504,0.0,F,21
E:\0.TA_Teguh\dataset3\F\Jalan22.csv,9664,9101,161,18,0.8423937639799742,0.0,F,22
E:\0.TA_Teguh\dataset3\F\Jalan23.csv,18062,15953,439,99,0.7293248649302929,0.0,F,23
E:\0.TA_Teguh\dataset3\F\Jalan24.csv,22036,20057,434,86,0.7565026720109855,0.0,F,24
E:\0.TA_Teguh\dataset3\F\Jalan25.csv,3453,3031,81,12,0.8141324543292885,0.0,F,25
E:\0.TA_Teguh\dataset3\F\Jalan26.csv,5539,4934,93,21,0.7314352186283465,0.0,F,26
E:\0.TA_Teguh\dataset3\F\Jalan27.csv,4665,4116,90,24,0.7016429262363414,0.0,F,27
E:\0.TA_Teguh\dataset3\F\Jalan28.csv,473,82,79,74,0.05909182238296163,0.0,F,28
E:\0.TA_Teguh\dataset3\F\Jalan29.csv,1240,670,87,59,0.3009677189144041,0.0,F,29
E:\0.TA_Teguh\dataset3\F\Jalan30.csv,2841,2199,93,36,0.5747651615539093,0.0,F,30
E:\0.TA_Teguh\dataset3\F\Jalan31.csv,3337,2567,91,33,0.5977100692379093,0.0,F,31
E:\0.TA_Teguh\dataset3\F\Jalan32.csv,3182,2797,79,23,0.6585439631550082,0.0,F,32
E:\0.TA_Teguh\dataset3\F\Jalan33.csv,3324,2831,81,18,0.7417493913707432,0.0,F,33
E:\0.TA_Teguh\dataset3\F\Jalan34.csv,2533,2093,98,44,0.5138760623553479,0.0,F,34
E:\0.TA_Teguh\dataset3\F\Jalan35.csv,4576,4213,84,16,0.7630569220171031,0.0,F,35
E:\0.TA_Teguh\dataset3\F\Jalan36.csv,3777,3255,102,47,0.5010157836267939,0.0,F,36
E:\0.TA_Teguh\dataset3\F\Jalan37.csv,5719,4805,105,27,0.7107755837005221,0.0,F,37
E:\0.TA_Teguh\dataset3\F\Jalan38.csv,3100,2676,109,49,0.5177219377517598,0.0,F,38
E:\0.TA_Teguh\dataset3\F\Jalan39.csv,7426,6658,202,47,0.7177896282537525,0.0,F,39
E:\0.TA_Teguh\dataset3\F\Jalan40.csv,7142,6431,193,42,0.7351509439649088,0.0,F,40
E:\0.TA_Teguh\dataset3\F\Jalan41.csv,8526,7854,164,19,0.8303607807401103,0.0,F,41
E:\0.TA_Teguh\dataset3\F\Jalan42.csv,9107,8595,140,11,0.8720532405946578,0.0,F,42
E:\0.TA_Teguh\dataset3\F\Jalan43.csv,6074,5265,204,62,0.6523791083895202,0.0,F,43
E:\0.TA_Teguh\dataset3\F\Jalan44.csv,7950,7124,194,40,0.7427673222798746,0.0,F,44
E:\0.TA_Teguh\dataset3\F\Jalan45.csv,8160,7589,157,18,0.8346921009638828,0.0,F,45
E:\0.TA_Teguh\dataset3\F\Jalan46.csv,7447,6964,124,14,0.834804595806135,0.0,F,46
E:\0.TA_Teguh\dataset3\F\Jalan47.csv,14865,13213,370,96,0.6986603671441904,0.0,F,47
E:\0.TA_Teguh\dataset3\F\Jalan48.csv,15693,14227,331,61,0.7689593191267329,0.0,F,48
E:\0.TA_Teguh\dataset3\F\Jalan49.csv,5410,4723,123,30,0.722721333691447,0.0,F,49
E:\0.TA_Teguh\dataset3\F\Jalan50.csv,7666,7051,124,29,0.7294526575372801,0.0,F,50
E:\0.TA_Teguh\dataset3\F\Jalan51.csv,5928,5122,124,33,0.7002746116767441,0.0,F,51
E:\0.TA_Teguh\dataset3\F\Jalan52.csv,672,193,105,93,0.10612863366014626,0.0,F,52
E:\0.TA_Teguh\dataset3\F\Jalan53.csv,1947,1101,138,94,0.297278019863229,0.0,F,53
E:\0.TA_Teguh\dataset3\F\Jalan54.csv,4092,2896,130,54,0.5463006500385953,0.0,F,54
E:\0.TA_Teguh\dataset3\F\Jalan55.csv,4443,3475,133,56,0.5399733555536358,0.0,F,55
E:\0.TA_Teguh\dataset3\F\Jalan56.csv,3864,3239,101,40,0.5683172856363032,0.0,F,56
E:\0.TA_Teguh\dataset3\F\Jalan57.csv,6498,5662,117,30,0.7081191778200471,0.0,F,57
E:\0.TA_Teguh\dataset3\F\Jalan58.csv,3802,3231,136,62,0.513204737162442,0.0,F,58
E:\0.TA_Teguh\dataset3\F\Jalan59.csv,4491,3292,127,59,0.5131803757534131,0.0,F,59
E:\0.TA_Teguh\dataset3\F\Jalan60.csv,3606,3126,122,42,0.6206977130794606,0.0,F,60
E:\0.TA_Teguh\dataset3\F\Jalan61.csv,6686,5827,143,41,0.6794210567668664,0.0,F,61
E:\0.TA_Teguh\dataset3\F\Jalan62.csv,4638,4076,130,46,0.5986843624881268,0.0,F,62
E:\0.TA_Teguh\dataset3\F\Jalan63.csv,9391,8050,320,121,0.5841990863477629,0.0,F,63
E:\0.TA_Teguh\dataset3\F\Jalan64.csv,10980,9877,279,55,0.7511586545687731,0.0,F,64
E:\0.TA_Teguh\dataset3\F\Jalan65.csv,11212,10349,235,35,0.8012282448579112,0.0,F,65
E:\0.TA_Teguh\dataset3\F\Jalan66.csv,12077,11415,180,5,0.9207049449176038,0.0,F,66
E:\0.TA_Teguh\dataset3\F\Jalan67.csv,7122,6147,273,113,0.551503876964735,0.0,F,67
E:\0.TA_Teguh\dataset3\F\Jalan68.csv,9876,8832,260,61,0.7185649684276064,0.0,F,68
E:\0.TA_Teguh\dataset3\F\Jalan69.csv,10344,9540,207,28,0.8144585074019859,0.0,F,69
E:\0.TA_Teguh\dataset3\F\Jalan70.csv,10004,9391,166,13,0.866765548422092,0.0,F,70
E:\0.TA_Teguh\dataset3\F\Jalan71.csv,20465,18025,480,129,0.6904534265846399,0.0,F,71
E:\0.TA_Teguh\dataset3\F\Jalan72.csv,24481,22338,437,70,0.7947592150147563,0.0,F,72
