file,subject,N,frames,down,up,eq,empty,total_drop,total_fill,fallback_uniform_frames
Jalan1.csv,A,48,82,17,63,2,0,256,1506,0
Jalan10.csv,A,48,87,35,51,1,0,799,1289,0
Jalan11.csv,A,48,87,42,44,1,0,1653,1219,0
Jalan12.csv,A,48,98,51,46,1,0,1303,1205,0
Jalan13.csv,A,48,103,47,53,3,0,1163,1084,0
Jalan14.csv,A,48,81,11,69,1,0,131,1769,0
Jalan15.csv,A,48,239,86,152,1,0,1674,4187,0
Jalan16.csv,A,48,229,84,142,3,0,1796,3651,0
Jalan17.csv,A,48,194,97,94,3,0,2920,1869,0
Jalan18.csv,A,48,166,125,40,1,0,4954,780,0
Jalan19.csv,A,48,222,86,134,2,0,2386,3192,0
Jalan2.csv,A,48,85,58,26,1,0,1815,462,0
Jalan20.csv,A,48,174,97,75,2,0,2167,2118,0
Jalan21.csv,A,48,149,75,71,3,0,2518,1846,0
Jalan22.csv,A,48,125,93,31,1,0,3496,626,0
Jalan23.csv,A,48,424,104,317,3,0,1776,8448,0
Jalan24.csv,A,48,433,220,203,10,0,5332,4687,0
Jalan25.csv,A,48,74,13,60,1,0,148,1308,0
Jalan26.csv,A,48,76,57,19,0,0,1569,354,0
Jalan27.csv,A,48,71,48,20,3,0,1872,495,0
Jalan28.csv,A,48,52,8,44,0,0,101,1196,0
Jalan29.csv,A,48,48,25,23,0,0,724,628,0
Jalan3.csv,A,48,85,61,23,1,0,2196,417,0
Jalan30.csv,A,48,66,28,37,1,0,607,880,0
Jalan31.csv,A,48,64,8,55,1,0,110,1289,0
Jalan32.csv,A,48,53,1,52,0,0,19,1493,0
Jalan33.csv,A,48,66,15,49,2,0,181,1230,0
Jalan34.csv,A,48,63,24,39,0,0,414,861,0
Jalan35.csv,A,48,61,29,32,0,0,925,997,0
Jalan36.csv,A,48,71,33,38,0,0,872,1024,0
Jalan37.csv,A,48,77,28,49,0,0,614,1418,0
Jalan38.csv,A,48,60,20,40,0,0,367,929,0
Jalan39.csv,A,48,182,70,110,2,0,1435,3163,0
Jalan4.csv,A,48,60,10,50,0,0,150,1298,0
Jalan40.csv,A,48,178,83,94,1,0,2629,2437,0
Jalan41.csv,A,48,162,87,74,1,0,2926,1658,0
Jalan42.csv,A,48,112,70,42,0,0,2417,1066,0
Jalan43.csv,A,48,161,61,96,4,0,1897,2698,0
Jalan44.csv,A,48,135,68,66,1,0,2022,1799,0
Jalan45.csv,A,48,123,65,57,1,0,2585,1444,0
Jalan46.csv,A,48,96,69,26,1,0,2920,452,0
Jalan47.csv,A,48,295,93,201,1,0,1914,5311,0
Jalan48.csv,A,48,312,161,149,2,0,4383,4088,0
Jalan49.csv,A,48,96,21,69,6,0,354,1680,0
Jalan5.csv,A,48,67,0,67,0,0,0,1926,0
Jalan50.csv,A,48,114,84,29,1,0,2738,465,0
Jalan51.csv,A,48,117,76,41,0,0,2101,805,0
Jalan52.csv,A,48,76,21,55,0,0,214,1740,0
Jalan53.csv,A,48,73,33,39,1,0,821,845,0
Jalan54.csv,A,48,105,49,55,1,0,1036,1497,0
Jalan55.csv,A,48,85,15,67,3,0,245,1731,0
Jalan56.csv,A,48,76,4,72,0,0,12,2302,0
Jalan57.csv,A,48,90,23,65,2,0,290,1639,0
Jalan58.csv,A,48,119,53,66,0,0,1220,1597,0
Jalan59.csv,A,48,117,60,57,0,0,2061,1399,0
Jalan6.csv,A,48,71,17,51,3,0,222,1398,0
Jalan60.csv,A,48,118,13,104,1,0,194,2953,0
Jalan61.csv,A,48,141,52,88,1,0,937,2028,0
Jalan62.csv,A,48,132,76,55,1,0,2187,1096,0
Jalan63.csv,A,48,332,128,201,3,0,2554,5422,0
Jalan64.csv,A,48,310,120,188,2,0,2830,5122,0
Jalan65.csv,A,48,207,110,95,2,0,3059,2073,0
Jalan66.csv,A,48,179,119,59,1,0,4774,1142,0
Jalan67.csv,A,48,273,108,161,4,0,3142,4377,0
Jalan68.csv,A,48,202,103,96,3,0,3514,2243,0
Jalan69.csv,A,48,158,107,49,2,0,3586,1133,0
Jalan7.csv,A,48,87,30,57,0,0,603,1479,0
Jalan70.csv,A,48,133,85,46,2,0,3547,1038,0
Jalan71.csv,A,48,534,147,378,9,0,2266,10306,0
Jalan72.csv,A,48,538,244,290,4,0,6578,7138,0
Jalan8.csv,A,48,55,29,25,1,0,730,558,0
Jalan9.csv,A,48,73,11,62,0,0,165,1628,0
Jalan1.csv,B,48,94,26,68,0,0,465,1428,0
Jalan10.csv,B,48,96,43,53,0,0,1165,1466,0
Jalan11.csv,B,48,98,37,60,1,0,562,1443,0
Jalan12.csv,B,48,106,43,60,3,0,1426,1595,0
Jalan13.csv,B,48,112,66,42,4,0,1829,946,0
Jalan14.csv,B,48,105,41,63,1,0,910,1776,0
Jalan15.csv,B,48,296,79,215,2,0,1688,6050,0
Jalan16.csv,B,48,264,104,156,4,0,2719,4097,0
Jalan17.csv,B,48,229,116,107,6,0,2846,2159,0
Jalan18.csv,B,48,191,147,43,1,0,4933,825,0
Jalan19.csv,B,48,276,65,210,1,0,1609,6025,0
Jalan2.csv,B,48,111,79,31,1,0,2919,584,0
Jalan20.csv,B,48,248,83,161,4,0,1640,4539,0
Jalan21.csv,B,48,208,133,73,2,0,4053,1449,0
Jalan22.csv,B,48,184,138,45,1,0,4989,854,0
Jalan23.csv,B,48,471,180,288,3,0,3450,7001,0
Jalan24.csv,B,48,475,161,307,7,0,6370,7751,0
Jalan25.csv,B,48,77,26,50,1,0,333,1081,0
Jalan26.csv,B,48,84,56,28,0,0,2165,539,0
Jalan27.csv,B,48,80,58,20,2,0,2162,525,0
Jalan28.csv,B,48,59,1,58,0,0,17,2202,0
Jalan29.csv,B,48,70,6,64,0,0,48,1833,0
Jalan3.csv,B,48,98,77,21,0,0,2715,482,0
Jalan30.csv,B,48,73,21,51,1,0,308,1518,0
Jalan31.csv,B,48,77,32,44,1,0,560,949,0
Jalan32.csv,B,48,66,32,34,0,0,843,1009,0
Jalan33.csv,B,48,73,31,41,1,0,1061,1259,0
Jalan34.csv,B,48,71,28,43,0,0,670,1123,0
Jalan35.csv,B,48,71,19,51,1,0,292,1050,0
Jalan36.csv,B,48,74,23,51,0,0,402,1231,0
Jalan37.csv,B,48,85,37,48,0,0,853,1198,0
Jalan38.csv,B,48,77,32,45,0,0,634,1334,0
Jalan39.csv,B,48,237,75,158,4,0,1325,4771,0
Jalan4.csv,B,48,67,0,67,0,0,0,2420,0
Jalan40.csv,B,48,217,65,151,1,0,1726,4139,0
Jalan41.csv,B,48,192,90,97,5,0,2656,2029,0
Jalan42.csv,B,48,146,97,48,1,0,3090,829,0
Jalan43.csv,B,48,218,48,170,0,0,987,5235,0
Jalan44.csv,B,48,202,80,121,1,0,2266,2864,0
Jalan45.csv,B,48,185,107,78,0,0,2885,1588,0
Jalan46.csv,B,48,155,137,17,1,0,6090,221,0
Jalan47.csv,B,48,370,143,220,7,0,3078,5810,0
Jalan48.csv,B,48,402,162,234,6,0,5346,5991,0
Jalan49.csv,B,48,86,10,75,1,0,81,1975,0
Jalan5.csv,B,48,78,4,73,1,0,26,2122,0
Jalan50.csv,B,48,116,82,32,2,0,2717,767,0
Jalan51.csv,B,48,116,79,36,1,0,2214,838,0
Jalan52.csv,B,48,85,0,85,0,0,0,3001,0
Jalan53.csv,B,48,72,1,71,0,0,2,2368,0
Jalan54.csv,B,48,106,14,89,3,0,148,2222,0
Jalan55.csv,B,48,110,48,62,0,0,1153,1666,0
Jalan56.csv,B,48,95,42,52,1,0,1145,1272,0
Jalan57.csv,B,48,104,57,47,0,0,2152,1246,0
Jalan58.csv,B,48,116,46,69,1,0,1079,1854,0
Jalan59.csv,B,48,106,41,64,1,0,537,1497,0
Jalan6.csv,B,48,95,15,76,4,0,125,2033,0
Jalan60.csv,B,48,105,30,75,0,0,520,1863,0
Jalan61.csv,B,48,125,44,78,3,0,1133,1833,0
Jalan62.csv,B,48,120,52,66,2,0,1209,1673,0
Jalan63.csv,B,48,337,90,244,3,0,1531,6987,0
Jalan64.csv,B,48,304,98,203,3,0,2191,5206,0
Jalan65.csv,B,48,244,123,118,3,0,3190,2468,0
Jalan66.csv,B,48,208,111,95,2,0,3842,1843,0
Jalan67.csv,B,48,353,79,273,1,0,1861,7878,0
Jalan68.csv,B,48,276,101,173,2,0,2451,4498,0
Jalan69.csv,B,48,259,122,133,4,0,3157,2897,0
Jalan7.csv,B,48,93,49,43,1,0,1162,993,0
Jalan70.csv,B,48,216,144,68,4,0,4058,1343,0
Jalan71.csv,B,48,520,151,361,8,0,3199,8945,0
Jalan72.csv,B,48,515,186,328,1,0,5674,8843,0
Jalan8.csv,B,48,78,29,49,0,0,495,1142,0
Jalan9.csv,B,48,96,48,46,2,0,1463,1337,0
Jalan1.csv,C,48,130,36,93,1,0,561,2367,0
Jalan10.csv,C,48,114,45,68,1,0,1145,1814,0
Jalan11.csv,C,48,110,52,57,1,0,1546,1584,0
Jalan12.csv,C,48,124,46,78,0,0,1161,1932,0
Jalan13.csv,C,48,139,64,74,1,0,1276,1663,0
Jalan14.csv,C,48,119,33,86,0,0,595,2282,0
Jalan15.csv,C,48,361,93,264,4,0,1451,7006,0
Jalan16.csv,C,48,333,126,205,2,0,2931,5038,0
Jalan17.csv,C,48,305,138,163,4,0,3011,3499,0
Jalan18.csv,C,48,224,114,105,5,0,3248,2284,0
Jalan19.csv,C,48,326,92,230,4,0,1787,5637,0
Jalan2.csv,C,48,128,73,53,2,0,1941,1075,0
Jalan20.csv,C,48,302,74,220,8,0,1731,5353,0
Jalan21.csv,C,48,261,140,120,1,0,3750,2616,0
Jalan22.csv,C,48,224,140,83,1,0,4371,1662,0
Jalan23.csv,C,48,519,119,396,4,0,1994,10549,0
Jalan24.csv,C,48,576,202,370,4,0,5075,9065,0
Jalan25.csv,C,48,90,25,65,0,0,364,1467,0
Jalan26.csv,C,48,127,74,53,0,0,2070,1052,0
Jalan27.csv,C,48,94,58,36,0,0,1728,802,0
Jalan28.csv,C,48,64,0,64,0,0,0,2337,0
Jalan29.csv,C,48,60,3,57,0,0,15,1933,0
Jalan3.csv,C,48,147,103,40,4,0,3220,848,0
Jalan30.csv,C,48,77,5,72,0,0,42,2125,0
Jalan31.csv,C,48,95,22,73,0,0,235,2125,0
Jalan32.csv,C,48,80,45,34,1,0,1508,856,0
Jalan33.csv,C,48,85,35,48,2,0,1177,1256,0
Jalan34.csv,C,48,88,29,59,0,0,631,1708,0
Jalan35.csv,C,48,88,15,72,1,0,190,1727,0
Jalan36.csv,C,48,102,36,66,0,0,1363,1605,0
Jalan37.csv,C,48,94,40,52,2,0,705,1047,0
Jalan38.csv,C,48,78,20,58,0,0,314,1632,0
Jalan39.csv,C,48,241,66,171,4,0,1156,4874,0
Jalan4.csv,C,48,80,1,79,0,0,16,2700,0
Jalan40.csv,C,48,247,98,146,3,0,2260,3792,0
Jalan41.csv,C,48,200,91,109,0,0,1917,2238,0
Jalan42.csv,C,48,144,90,52,2,0,2208,1071,0
Jalan43.csv,C,48,237,76,158,3,0,1818,4189,0
Jalan44.csv,C,48,251,110,137,4,0,2537,3054,0
Jalan45.csv,C,48,206,89,115,2,0,2120,2584,0
Jalan46.csv,C,48,198,116,79,3,0,3347,1737,0
Jalan47.csv,C,48,395,88,303,4,0,1518,8698,0
Jalan48.csv,C,48,429,125,297,7,0,3745,7356,0
Jalan49.csv,C,48,122,41,78,3,0,713,1912,0
Jalan5.csv,C,48,65,0,64,1,0,0,1995,0
Jalan50.csv,C,48,155,78,77,0,0,2028,1785,0
Jalan51.csv,C,48,140,104,36,0,0,3137,861,0
Jalan52.csv,C,48,87,0,87,0,0,0,2758,0
Jalan53.csv,C,48,78,0,78,0,0,0,2301,0
Jalan54.csv,C,48,111,13,98,0,0,90,2891,0
Jalan55.csv,C,48,126,59,66,1,0,1020,1650,0
Jalan56.csv,C,48,109,40,68,1,0,1099,1752,0
Jalan57.csv,C,48,124,61,62,1,0,2318,1651,0
Jalan58.csv,C,48,125,48,76,1,0,1283,1977,0
Jalan59.csv,C,48,129,34,92,3,0,472,2230,0
Jalan6.csv,C,48,93,11,81,1,0,55,2267,0
Jalan60.csv,C,48,147,45,100,2,0,1259,2438,0
Jalan61.csv,C,48,129,57,72,0,0,1213,1683,0
Jalan62.csv,C,48,115,28,87,0,0,351,2305,0
Jalan63.csv,C,48,351,94,254,3,0,1335,6786,0
Jalan64.csv,C,48,333,102,229,2,0,2021,5666,0
Jalan65.csv,C,48,279,105,170,4,0,2013,3835,0
Jalan66.csv,C,48,230,117,109,4,0,2462,2430,0
Jalan67.csv,C,48,280,71,205,4,0,897,5176,0
Jalan68.csv,C,48,278,79,195,4,0,1260,4983,0
Jalan69.csv,C,48,257,95,159,3,0,1994,3634,0
Jalan7.csv,C,48,138,34,103,1,0,423,2574,0
Jalan70.csv,C,48,226,112,112,2,0,2716,2261,0
Jalan71.csv,C,48,557,153,399,5,0,2451,10325,0
