file,subject,N,frames,down,up,eq,empty,total_drop,total_fill,fallback_uniform_frames
Jalan1.csv,A,56,82,8,74,0,0,164,2070,0
Jalan10.csv,A,56,87,26,61,0,0,564,1750,0
Jalan11.csv,A,56,87,38,48,1,0,1326,1588,0
Jalan12.csv,A,56,98,43,55,0,0,929,1615,0
Jalan13.csv,A,56,103,35,68,0,0,819,1564,0
Jalan14.csv,A,56,81,5,74,2,0,63,2349,0
Jalan15.csv,A,56,239,68,170,1,0,1043,5468,0
Jalan16.csv,A,56,229,59,167,3,0,1208,4895,0
Jalan17.csv,A,56,194,78,112,4,0,2216,2717,0
Jalan18.csv,A,56,166,111,54,1,0,4012,1166,0
Jalan19.csv,A,56,222,64,154,4,0,1785,4367,0
Jalan2.csv,A,56,85,54,31,0,0,1366,693,0
Jalan20.csv,A,56,174,80,92,2,0,1453,2796,0
Jalan21.csv,A,56,149,61,86,2,0,1961,2481,0
Jalan22.csv,A,56,125,80,44,1,0,2804,934,0
Jalan23.csv,A,56,424,69,352,3,0,1057,11121,0
Jalan24.csv,A,56,433,177,253,3,0,3698,6517,0
Jalan25.csv,A,56,74,6,67,1,0,58,1810,0
Jalan26.csv,A,56,76,46,30,0,0,1155,548,0
Jalan27.csv,A,56,71,45,25,1,0,1497,688,0
Jalan28.csv,A,56,52,6,46,0,0,46,1557,0
Jalan29.csv,A,56,48,21,27,0,0,539,827,0
Jalan3.csv,A,56,85,49,34,2,0,1748,649,0
Jalan30.csv,A,56,66,22,43,1,0,401,1202,0
Jalan31.csv,A,56,64,6,58,0,0,54,1745,0
Jalan32.csv,A,56,53,1,52,0,0,11,1909,0
Jalan33.csv,A,56,66,9,57,0,0,86,1663,0
Jalan34.csv,A,56,63,14,49,0,0,258,1209,0
Jalan35.csv,A,56,61,25,34,2,0,698,1258,0
Jalan36.csv,A,56,71,27,44,0,0,634,1354,0
Jalan37.csv,A,56,77,23,54,0,0,411,1831,0
Jalan38.csv,A,56,60,15,45,0,0,222,1264,0
Jalan39.csv,A,56,182,57,123,2,0,921,4105,0
Jalan4.csv,A,56,60,6,53,1,0,84,1712,0
Jalan40.csv,A,56,178,69,105,4,0,2007,3239,0
Jalan41.csv,A,56,162,69,91,2,0,2298,2326,0
Jalan42.csv,A,56,112,62,48,2,0,1877,1422,0
Jalan43.csv,A,56,161,56,105,0,0,1428,3517,0
