timestamp,frame,cx,cy,cz,v_walk,step_event,step_time,step_length,step_count,cadence_spm
1762771714.823815,1,0.067328,0.156692,1.896703,,0,,,0,0.000000
1762771714.871268,2,-0.160829,0.246101,1.900769,5.164036,0,,,0,0.000000
1762771714.925560,3,-4.064709,5.502579,0.306053,120.599493,0,,,0,0.000000
1762771714.991677,4,-0.173681,1.297305,1.798509,86.652994,1,,,1,60000000.000000
1762771715.035331,5,0.000000,0.238181,1.954499,24.586128,0,,,1,1374.460611
1762771715.076967,6,1.888710,2.841965,2.319638,77.255447,0,,,1,703.480641
1762771715.140285,7,0.213778,6.458199,4.538514,62.941351,0,,,1,403.747501
1762771715.205133,8,0.032011,3.149804,1.823570,51.094483,0,,,1,281.088486
1762771715.258223,9,-0.160109,3.201409,1.741153,3.747033,0,,,1,225.101849
1762771715.325972,10,-0.158974,3.181228,1.764667,0.298356,0,,,1,179.482303
1762771715.367090,11,0.563300,3.143934,1.822708,17.589218,0,,,1,159.824006
1762771715.427481,12,-0.186499,3.141072,1.765189,12.415888,0,,,1,137.676680
1762771715.482621,13,-0.172526,2.833514,1.896667,5.583456,0,,,1,122.213495
1762771715.537047,14,-0.127699,2.938583,1.869474,2.098862,0,,,1,110.017032
1762771715.586115,15,-0.096843,2.774564,1.826345,3.401353,0,,,1,100.935701
1762771715.633888,16,-0.411800,5.014616,0.762646,47.351075,0,,,1,93.427313
1762771715.701519,17,-0.033906,3.061267,1.898202,29.417871,1,0.709842,20.882032,2,169.051769
1762771715.744316,18,-0.004677,3.017165,1.059119,1.236284,0,,,2,159.439127
1762771715.806943,19,-0.172526,3.155001,0.597030,3.468016,0,,,2,147.191329
1762771715.860142,20,0.041153,2.568538,1.991351,11.732884,0,,,2,138.174910
1762771715.918933,21,-0.173930,2.689241,1.780990,4.195160,0,,,2,129.414184
1762771715.968544,22,-0.222998,2.874065,1.917823,3.854495,0,,,2,122.841732
1762771716.028517,23,-0.131648,3.209889,1.839504,5.803082,0,,,2,115.736333
1762771716.084304,24,0.742469,3.075725,1.811660,15.852348,0,,,2,109.827117
1762771716.139936,25,0.326881,3.013770,1.797101,7.552733,0,,,2,104.506024
1762771716.200614,26,-0.129109,3.200912,1.744274,8.123250,0,,,2,99.260781
1762771716.256631,27,-0.113785,3.150618,1.774444,0.938584,0,,,2,94.865139
1762771716.312341,28,-0.132995,3.145274,1.771303,0.357918,0,,,2,90.863405
1762771716.359864,29,0.355447,3.079534,1.860266,10.370750,0,,,2,87.707343
1762771716.418431,30,-0.155979,3.192811,1.744274,8.943986,0,,,2,84.107043
1762771716.460378,31,0.660294,3.077201,1.853041,19.653760,0,,,2,81.704886
1762771716.524110,32,-0.082531,3.112917,1.777804,11.668842,0,,,2,78.306860
1762771716.571680,33,1.872920,6.299165,-0.082348,78.589086,0,,,2,75.949256
1762771716.635385,34,-0.156851,3.196862,1.770894,58.195229,1,0.933866,54.346519,3,109.508550
1762771716.683224,35,1.417796,3.174839,0.453545,32.918324,0,,,3,106.411474
1762771716.746616,36,0.066935,3.147709,1.821750,21.314051,0,,,3,102.567691
1762771716.794315,37,-2.180071,1.416799,-0.534155,59.463696,0,,,3,99.853656
1762771716.852421,38,-0.064554,3.219697,1.944721,47.836334,0,,,3,96.735537
1762771716.907910,39,-0.017785,2.499849,1.917061,12.999970,0,,,3,93.934294
1762771716.963462,40,0.084883,3.209214,1.931841,12.902588,0,,,3,91.287873
1762771717.015877,41,-0.184752,3.134982,1.767093,5.335526,0,,,3,88.924011
1762771717.072662,42,-0.033704,2.330562,1.881461,14.413673,0,,,3,86.497497
1762771717.127867,43,-0.111258,2.518849,1.751098,3.688731,0,,,3,84.262198
1762771717.175534,44,0.195672,3.217568,1.775789,16.010000,0,,,3,82.422981
1762771717.234257,45,2.738374,1.527162,-1.150880,51.995645,0,,,3,80.264706
1762771717.291545,46,0.121312,2.306219,1.060801,47.663942,0,,,3,78.265382
1762771717.334355,47,0.049839,3.176863,1.770156,20.405817,1,0.698970,14.263055,4,102.446886
1762771717.400006,48,-5.491196,3.699050,0.738396,84.774507,0,,,4,99.654158
1762771717.449598,49,-0.198600,0.116326,1.886041,128.876887,0,,,4,97.643514
1762771717.509044,50,-0.393952,0.310089,-0.510537,4.628547,0,,,4,95.337730
1762771717.567260,51,-0.352439,0.207175,1.429475,1.906186,0,,,4,93.182787
1762771717.620522,52,0.246560,1.320897,1.434575,23.743048,0,,,4,91.294872
1762771717.676314,53,0.294790,2.343957,1.358741,18.357136,0,,,4,89.397559
1762771717.731697,54,-0.728797,0.139821,1.456433,43.880561,0,,,4,87.590616
1762771717.779543,55,-0.449127,0.173379,1.831222,5.887120,0,,,4,86.087363
1762771717.827769,56,-0.010577,0.261021,1.455688,9.273435,0,,,4,84.623496
